ID,SectorBranchesSIC2008,Periods,Employee_1,EmployedPerson_2,Employee_3,EmployedPerson_4,Total_5,Total_6,RetailTradeTurnover_7,OtherTurnover_8,OtherRevenues_9,Total_10,PurchaseValueOfSales_11,Total_12,GrossWagesAndSalaries_13,Total_14,EmployerPaidSocialInsurancePremiums_15,PensionAndEarlyRetirementPremiums_16,OtherSocialInsuranceCosts_17,OtherPersonnelCosts_18,Total_19,CostsOfEnergyUse_20,HousingCosts_21,EquipmentAndInventoryCosts_22,TransportCosts_23,SalesCosts_24,CommunicationCosts_25,CostsOfOtherServices_26,OtherLiabilities_27,DepreciationFixedAssets_28,OperatingResults_29,NetFinancialIncome_30,BalanceOfProvisions_31,NetExtraordinaryIncome_32,PreTaxResults_33
132,380600,2011JJ00,6.1,8.4,4.0,5.8,899.0,894.0,832.0,62.0,5.0,800.0,484.0,140.0,108.0,25.0,14.0,11.0,0.0,7.0,157.0,8.0,60.0,4.0,8.0,33.0,6.0,12.0,26.0,20.0,99.0,-9.0,-2.0,2.0,90.0
133,380600,2012JJ00,6.7,8.8,4.2,6.0,910.0,904.0,845.0,59.0,5.0,830.0,478.0,148.0,116.0,24.0,17.0,7.0,1.0,7.0,178.0,10.0,70.0,6.0,8.0,37.0,6.0,19.0,23.0,25.0,80.0,-14.0,1.0,-1.0,66.0
134,380600,2013JJ00,6.6,8.6,4.2,5.9,834.0,829.0,781.0,48.0,5.0,765.0,444.0,138.0,108.0,23.0,16.0,7.0,1.0,6.0,161.0,9.0,62.0,5.0,7.0,33.0,5.0,17.0,22.0,22.0,68.0,-12.0,0.0,-4.0,53.0
135,380700,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,380700,2010JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,380700,2011JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,380700,2012JJ00,17.3,25.0,12.2,19.2,2314.0,2240.0,2089.0,151.0,74.0,2032.0,978.0,469.0,363.0,75.0,51.0,25.0,2.0,29.0,506.0,23.0,187.0,21.0,24.0,110.0,16.0,37.0,89.0,79.0,282.0,3.0,0.0,3.0,287.0
139,380700,2013JJ00,16.0,23.8,11.4,18.4,2157.0,2127.0,1948.0,178.0,31.0,1930.0,923.0,456.0,351.0,76.0,50.0,27.0,2.0,27.0,472.0,21.0,175.0,19.0,22.0,108.0,15.0,35.0,77.0,79.0,228.0,4.0,0.0,5.0,236.0
140,381600,2009JJ00,8.6,21.2,3.9,14.2,1231.0,1227.0,1136.0,91.0,4.0,1037.0,719.0,91.0,70.0,15.0,11.0,5.0,1.0,5.0,198.0,9.0,43.0,10.0,38.0,44.0,7.0,12.0,35.0,29.0,195.0,-6.0,0.0,3.0,192.0
141,381600,2010JJ00,9.1,23.1,4.2,15.6,1183.0,1180.0,1114.0,66.0,4.0,987.0,689.0,75.0,58.0,12.0,9.0,3.0,1.0,4.0,195.0,9.0,44.0,10.0,38.0,42.0,7.0,11.0,35.0,29.0,196.0,-8.0,0.0,4.0,192.0
142,381600,2011JJ00,9.2,23.1,4.2,15.5,1225.0,1221.0,1149.0,73.0,4.0,1027.0,714.0,84.0,65.0,14.0,10.0,4.0,1.0,5.0,199.0,9.0,45.0,10.0,38.0,43.0,7.0,12.0,35.0,30.0,198.0,-8.0,0.0,4.0,194.0
143,381600,2012JJ00,8.2,21.2,3.9,15.1,1173.0,1171.0,1107.0,64.0,2.0,963.0,657.0,82.0,64.0,14.0,10.0,4.0,1.0,3.0,192.0,8.0,43.0,8.0,41.0,43.0,8.0,11.0,31.0,32.0,210.0,-12.0,-3.0,15.0,210.0
144,381600,2013JJ00,8.3,21.9,4.0,15.8,1139.0,1137.0,1076.0,61.0,2.0,937.0,645.0,82.0,64.0,14.0,10.0,4.0,1.0,3.0,180.0,7.0,39.0,8.0,39.0,40.0,7.0,11.0,29.0,30.0,201.0,-11.0,-3.0,14.0,202.0
145,382500,2009JJ00,10.8,33.5,7.8,19.5,4224.0,4143.0,3744.0,400.0,81.0,3977.0,2786.0,356.0,240.0,53.0,35.0,19.0,2.0,61.0,761.0,14.0,69.0,22.0,39.0,345.0,52.0,73.0,147.0,75.0,247.0,-5.0,-3.0,2.0,241.0
146,382500,2010JJ00,11.9,36.7,8.3,26.3,4455.0,4360.0,3957.0,403.0,94.0,4142.0,2851.0,406.0,282.0,59.0,37.0,22.0,2.0,63.0,804.0,16.0,85.0,23.0,37.0,334.0,55.0,109.0,146.0,82.0,312.0,-5.0,0.0,-2.0,305.0
