ID,Betalingsplichtigen,Perioden,TotaalMilieubelastingenEnHeffingen_1,TotaleOpbrengstMilieubelastingen_2,TotaalBelastingenOpMilieugrondslag_3,Afvalstoffenbelasting_4,Brandstoffenbelasting_5,Energiebelasting_6,Emissierechten_7,LeidingwaterEnGrondwaterbelasting_8,Verpakkingenbelasting_9,Vliegbelasting_10,TotaalBelastingenMBTMobiliteit_11,AccijnsOpBenzineEnOvMineraleOlien_12,BelastPersonenautoSEnMotorrijwielen_13,Motorrijtuigenbelasting_14,Mineralenheffingen_15,TotaleOpbrengstMilieuheffingen_16,AfvalstoffenheffingEnReinigingsrechten_17,GeluidsheffingBurgerluchtvaart_18,GrondwaterheffingEnNazorgheffing_19,RioolheffingEnRioolrechten_20,Waterverontreinigingsheffing_21
78,301000 ,2017JJ00,632.0,601.0,163.0,4.0,0.0,150.0,1.0,8.0,0.0,,411.0,380.0,6.0,25.0,27.0,31.0,6.0,,-1.0,13.0,13.0
79,301000 ,2018JJ00,633.0,600.0,171.0,5.0,0.0,155.0,2.0,9.0,0.0,,413.0,378.0,7.0,28.0,16.0,33.0,6.0,,1.0,13.0,13.0
80,301000 ,2019JJ00,651.0,619.0,201.0,11.0,0.0,178.0,3.0,9.0,0.0,,403.0,370.0,6.0,27.0,15.0,32.0,6.0,,0.0,13.0,13.0
81,301000 ,2020JJ00,658.0,626.0,230.0,13.0,0.0,206.0,2.0,9.0,0.0,,378.0,347.0,4.0,27.0,18.0,32.0,6.0,,0.0,13.0,13.0
82,301000 ,2021JJ00,690.0,652.0,252.0,13.0,0.0,227.0,2.0,10.0,0.0,0.0,393.0,366.0,3.0,24.0,7.0,38.0,22.0,,2.0,7.0,7.0
83,301000 ,2022JJ00,650.0,632.0,290.0,13.0,0.0,266.0,2.0,9.0,0.0,0.0,341.0,320.0,3.0,18.0,1.0,18.0,18.0,,0.0,0.0,0.0
84,300002 ,1995JJ00,1003.0,759.0,465.0,41.0,292.0,0.0,0.0,132.0,,,294.0,168.0,52.0,74.0,,244.0,87.0,,5.0,18.0,135.0
85,300002 ,1996JJ00,1063.0,828.0,530.0,34.0,308.0,52.0,0.0,136.0,,,298.0,170.0,56.0,72.0,,235.0,86.0,,5.0,12.0,133.0
86,300002 ,1997JJ00,1076.0,820.0,539.0,24.0,312.0,83.0,0.0,120.0,,,281.0,165.0,73.0,43.0,,256.0,93.0,,7.0,13.0,143.0
87,300002 ,1998JJ00,1079.0,841.0,572.0,38.0,313.0,79.0,0.0,142.0,,,269.0,154.0,76.0,39.0,,238.0,88.0,,7.0,14.0,129.0
88,300002 ,1999JJ00,1143.0,888.0,600.0,44.0,275.0,136.0,0.0,145.0,,,288.0,179.0,78.0,31.0,,255.0,89.0,,19.0,14.0,133.0
89,300002 ,2000JJ00,1308.0,1029.0,740.0,112.0,273.0,203.0,0.0,152.0,,,289.0,188.0,74.0,27.0,,279.0,99.0,,27.0,16.0,137.0
90,300002 ,2001JJ00,1417.0,1129.0,898.0,93.0,445.0,202.0,0.0,158.0,,,231.0,153.0,63.0,15.0,,288.0,102.0,,33.0,17.0,136.0
91,300002 ,2002JJ00,1261.0,964.0,715.0,82.0,336.0,140.0,0.0,157.0,,,249.0,174.0,50.0,25.0,,297.0,90.0,,47.0,16.0,144.0
92,300002 ,2003JJ00,1316.0,1036.0,745.0,53.0,345.0,167.0,0.0,180.0,,,291.0,207.0,54.0,30.0,,280.0,94.0,,26.0,18.0,142.0
93,300002 ,2004JJ00,1255.0,968.0,686.0,36.0,54.0,415.0,0.0,181.0,,,282.0,177.0,55.0,50.0,,287.0,99.0,,27.0,18.0,143.0
94,300002 ,2005JJ00,1530.0,1248.0,966.0,55.0,10.0,720.0,0.0,181.0,,,282.0,176.0,57.0,49.0,,282.0,97.0,,28.0,18.0,139.0
95,300002 ,2006JJ00,1638.0,1342.0,1043.0,76.0,-5.0,783.0,0.0,189.0,,,299.0,183.0,64.0,52.0,,296.0,99.0,,27.0,20.0,150.0
96,300002 ,2007JJ00,1511.0,1216.0,819.0,59.0,0.0,571.0,0.0,189.0,,,397.0,258.0,76.0,63.0,,295.0,103.0,,28.0,20.0,144.0
97,300002 ,2008JJ00,1742.0,1466.0,1085.0,39.0,14.0,728.0,0.0,182.0,122.0,0.0,381.0,224.0,91.0,66.0,,276.0,104.0,,11.0,21.0,140.0
98,300002 ,2009JJ00,1577.0,1332.0,1017.0,17.0,0.0,619.0,0.0,172.0,209.0,0.0,315.0,170.0,73.0,72.0,,245.0,105.0,,9.0,21.0,110.0
99,300002 ,2010JJ00,1538.0,1285.0,994.0,14.0,1.0,572.0,0.0,180.0,227.0,,291.0,178.0,51.0,62.0,,253.0,105.0,,7.0,21.0,120.0
100,300002 ,2011JJ00,1643.0,1390.0,1057.0,7.0,1.0,608.0,53.0,169.0,219.0,,333.0,206.0,49.0,78.0,,253.0,105.0,,6.0,23.0,119.0
101,300002 ,2012JJ00,1394.0,1136.0,817.0,-7.0,1.0,537.0,47.0,24.0,215.0,,319.0,210.0,31.0,78.0,,258.0,105.0,,8.0,24.0,121.0
102,300002 ,2013JJ00,1404.0,1128.0,832.0,-2.0,126.0,631.0,48.0,27.0,2.0,,296.0,191.0,27.0,78.0,,276.0,105.0,,7.0,35.0,129.0
103,300002 ,2014JJ00,1569.0,1288.0,987.0,6.0,142.0,680.0,107.0,51.0,1.0,,301.0,200.0,22.0,79.0,,281.0,105.0,,12.0,35.0,129.0
