ID,Energieverbruikers,Perioden,Energie_1,SteenkoolEnBruinkool_2,Steenkoolcokes_3,Cokesovengas_4,Hoogovengas_5,OverigeSteenkoolderivaten_6,RuweAardolie_7,Aardgascondensaat_8,OverigeAardoliegrondstoffen_9,Lpg_10,Nafta_11,Benzine_12,Kerosine_13,GasolieEnLichteStookolie_14,Autodiesel_15,Stookolie_16,Restgas_17,Smeermiddelen_18,Bitumen_19,OverigeOlieproducten_20,Aardgas_21,HernieuwbareEnergie_22,Elektriciteit_23,StoomEnOfWarmWater_24,AnderePrimaireEnergiebronnen_25,OmzettingVerliezen_26
81,300002,2005JJ00,1898.0,29.0,36.0,8.0,11.0,2.0,,,1.0,68.0,212.0,3.0,0.0,3.0,16.0,8.0,151.0,3.0,,139.0,318.0,6.0,184.0,202.0,10.0,490.0
82,300002,2006JJ00,1792.0,25.0,33.0,8.0,11.0,2.0,,,2.0,54.0,150.0,3.0,1.0,3.0,17.0,8.0,167.0,3.0,,164.0,301.0,6.0,184.0,170.0,11.0,471.0
83,300002,2007JJ00,1886.0,30.0,37.0,8.0,11.0,3.0,,103.0,,59.0,219.0,4.0,3.0,3.0,17.0,8.0,183.0,2.0,,46.0,303.0,6.0,187.0,169.0,12.0,474.0
84,300002,2008JJ00,1801.0,24.0,36.0,8.0,12.0,3.0,,109.0,0.0,64.0,168.0,4.0,3.0,2.0,16.0,8.0,165.0,3.0,,50.0,290.0,6.0,186.0,166.0,14.0,466.0
85,300002,2009JJ00,1755.0,18.0,31.0,6.0,9.0,3.0,,100.0,,60.0,190.0,4.0,4.0,2.0,14.0,3.0,163.0,2.0,,48.0,277.0,6.0,166.0,150.0,15.0,483.0
86,300002,2010JJ00,1872.0,19.0,35.0,7.0,10.0,3.0,,101.0,8.0,58.0,220.0,3.0,3.0,1.0,15.0,7.0,166.0,2.0,,55.0,314.0,4.0,177.0,157.0,14.0,491.0
87,300002,2011JJ00,1772.0,24.0,37.0,7.0,10.0,3.0,,104.0,10.0,67.0,162.0,3.0,2.0,2.0,16.0,1.0,162.0,2.0,,53.0,313.0,4.0,175.0,152.0,14.0,448.0
88,305700,1990JJ00,30.0,,,,,,,,,,,0.0,,0.0,1.0,,,0.0,,,26.0,,1.0,1.0,,0.0
89,305700,1991JJ00,33.0,,,,,,,,,,,0.0,,0.0,1.0,,,0.0,,,29.0,,1.0,0.0,,0.0
90,305700,1992JJ00,36.0,,,,,,,,,,,0.0,,0.0,1.0,,,0.0,,,32.0,,1.0,1.0,,0.0
