ID,HerkomstBestemming,Perioden,NettoEnergieverbruik_1,GebruikVanLeidingwater_2,Afval_3,ZwareMetalenNaarWater_4,NutrientenNaarWater_5,KlimaatveranderingBroeikasgassen_6,VerzuringVerzurendeStoffen_7,Ozonlaagaantasting_8,FijnStof_9,OpbrengstMilieubelastingenHeffingen_10,Milieukosten_11,MilieuInvesteringen_12,ArbeidsvolumeWerkzamePersonen_13,BrutoToegevoegdeWaardeBasisprijzen_14,ArbeidsvolumeWerkzamePersonen_15,ProductieBasisprijzen_16,BrutoToegevoegdeWaardeBasisprijzen_17,InvesteringenInVasteActivaBruto_18
137,307610,2006JJ00,93.0,46.2,7612.0,1.0,1463.0,4464.0,0.1,0.0,2.0,302.0,,,,,119.0,49210.0,12186.0,1577.0
138,307610,2007JJ00,94.0,45.2,7629.0,1.0,1589.0,4577.0,0.1,0.0,2.0,275.0,,,,,117.0,50356.0,12547.0,1797.0
139,307610,2008JJ00,90.0,48.4,7484.0,0.0,1540.0,4395.0,0.1,0.0,2.0,378.0,,,,,117.0,50592.0,12305.0,1904.0
140,307610,2009JJ00,81.0,46.4,7609.0,0.0,1497.0,4087.0,0.1,0.0,1.9,429.0,,,,,117.0,50632.0,12414.0,1640.0
141,307610,2010JJ00,86.0,40.9,7650.0,0.0,1254.0,4311.0,0.1,0.0,1.9,437.0,,,,,116.0,50777.0,12364.0,1543.0
142,307610,2011JJ00,85.0,38.2,,,,4247.0,0.1,0.0,1.9,434.0,,,,,115.0,51741.0,12368.0,1457.0
143,307610,2012JJ00,85.0,,,,,4417.0,0.1,0.0,1.9,434.0,,,,,116.0,51108.0,12179.0,
144,312505,1995JJ00,9.0,,,1.0,114.0,408.0,0.0,0.0,0.1,11.0,,,,,34.0,4438.0,1237.0,126.0
145,312505,1996JJ00,10.0,,,1.0,82.0,417.0,0.0,0.0,0.0,20.0,,,,,32.0,4323.0,1196.0,119.0
146,312505,1997JJ00,10.0,,,1.0,65.0,417.0,0.0,0.0,0.0,17.0,,,,,32.0,4379.0,1213.0,119.0
147,312505,1998JJ00,10.0,,,1.0,70.0,433.0,0.0,0.0,0.0,18.0,,,,,30.0,4540.0,1285.0,144.0
148,312505,1999JJ00,9.0,,,1.0,67.0,353.0,0.0,0.0,0.0,22.0,,,,,29.0,4512.0,1291.0,160.0
149,312505,2000JJ00,9.0,,,1.0,73.0,389.0,0.0,0.0,0.1,22.0,,,,,28.0,4668.0,1344.0,140.0
150,312505,2001JJ00,8.0,,,1.0,66.0,316.0,0.0,0.0,0.1,25.0,,,,,27.0,4468.0,1327.0,123.0
151,312505,2002JJ00,8.0,,102.0,1.0,67.0,306.0,0.0,0.0,0.1,26.0,,,,,25.0,4289.0,1269.0,111.0
152,312505,2003JJ00,7.0,2.4,100.0,1.0,66.0,306.0,0.0,0.0,0.1,21.0,,,,,23.0,4106.0,1241.0,97.0
153,312505,2004JJ00,7.0,2.0,80.0,1.0,66.0,269.0,0.0,0.0,0.1,25.0,,,,,21.0,3836.0,1090.0,104.0
154,312505,2005JJ00,5.0,1.7,78.0,1.0,47.0,229.0,0.0,0.0,0.1,32.0,,,,,19.0,3768.0,1097.0,104.0
