ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
256,GM0441,28310,9480,20420,7020,4850,530,110,110,110,100,140,150,150,140,20400,25200,6900,26500,9200,800,700,24,4,15,3980,636,720,80,30,70,20,300
257,GM0279,6070,2470,3910,1550,1120,90,20,20,20,20,30,20,30,40,3800,25200,1500,25800,2300,100,200,4,1,20,710,82,90,10,0,10,10,100
258,GM0606,52070,15890,37030,12400,8750,1470,850,790,870,890,880,800,900,950,36600,22600,11800,23200,13900,3000,2700,40,8,21,10760,2885,980,130,100,130,40,650
259,GM0088,570,140,530,100,80,0,0,0,0,0,0,0,0,0,500,23800,100,24000,200,0,0,0,0,23,80,9,0,0,0,0,0,10
260,GM1676,20020,6250,15430,4610,3240,320,100,110,100,100,140,140,140,140,15600,25900,4500,26400,6000,600,600,18,4,22,3130,511,310,20,90,20,40,300
261,GM0965,6440,1830,4900,1540,1020,110,30,30,30,40,40,40,40,50,5000,23900,1600,25500,1700,200,100,5,1,14,1040,145,120,10,10,10,10,100
262,GM1702,7440,2320,4650,1750,1130,90,10,10,10,10,30,30,30,20,4900,25400,1700,27700,2300,200,200,8,1,15,950,94,260,10,20,10,20,90
263,GM0845,18050,6330,11910,4610,3220,250,50,40,40,50,70,70,70,70,11900,27700,4400,29400,5900,400,400,14,3,22,2320,302,330,30,70,20,40,250
264,GM1883,59110,15550,45200,13170,8790,1120,560,540,560,590,620,600,610,660,45900,23300,13400,24800,15000,2500,2100,45,9,19,12010,3133,1940,230,80,230,60,880
265,GM0610,15500,5780,10320,3770,2800,300,140,130,140,140,160,150,160,160,11000,23700,3700,25100,5300,500,500,12,3,24,2820,549,770,30,30,30,40,310
