ID,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1,VolumeIndexcijfers_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,PrijsmutatieTOVVoorafgaandJaar_5,WaardeIndexcijfers_6,WaardemutatieTOVVoorafgaandJaar_7
62,A041724,2010JJ00,22482,90.4,4.7,97.2,1.0,87.8,5.8
63,A041724,2011JJ00,22620,94.6,4.7,93.4,-3.9,88.4,0.6
64,A041724,2012JJ00,23550,97.5,3.0,94.4,1.1,92.0,4.1
65,A041724,2013JJ00,24479,100.9,3.5,94.8,0.4,95.6,3.9
66,A041724,2014JJ00,24870,101.4,0.5,95.8,1.1,97.1,1.6
67,A041724,2015JJ00,25601,100.0,-1.4,100.0,4.4,100.0,2.9
68,A041724,2016JJ00,26413,104.8,4.8,98.5,-1.5,103.2,3.2
69,A041724,2017JJ00,26870,107.5,2.6,97.7,-0.8,105.0,1.7
70,A041724,2018JJ00,27986,110.4,2.8,99.0,1.3,109.3,4.2
71,A041724,2019JJ00,29369,114.1,3.3,100.5,1.6,114.7,4.9
72,A041724,2020JJ00,31177,108.2,-5.2,112.6,11.9,121.8,6.2
73,A041724,2021JJ00,32129,115.3,6.6,108.8,-3.3,125.5,3.1
74,A041724,2022JJ00,33463,117.2,1.6,111.6,2.5,130.7,4.2
75,A041725,1998JJ00,2479,43.2,,91.3,,39.5,
76,A041725,1999JJ00,2666,44.2,2.3,96.0,5.1,42.4,7.5
