ID,Klimaatsectoren,EmissiesNaarLucht,Perioden,EmissieBroeikasgassen_1
471,A050124  ,A044107  ,2006JJ00,0.1
472,A050124  ,A044107  ,2007JJ00,0.1
473,A050124  ,A044107  ,2008JJ00,0.1
474,A050124  ,A044107  ,2009JJ00,0.1
475,A050124  ,A044107  ,2010JJ00,0.1
476,A050124  ,A044107  ,2011JJ00,0.1
477,A050124  ,A044107  ,2012JJ00,0.1
478,A050124  ,A044107  ,2013JJ00,0.1
479,A050124  ,A044107  ,2014JJ00,0.1
480,A050124  ,A044107  ,2015JJ00,0.1
481,A050124  ,A044107  ,2016JJ00,0.1
482,A050124  ,A044107  ,2017JJ00,0.1
483,A050124  ,A044107  ,2018JJ00,0.1
484,A050124  ,A044107  ,2019JJ00,0.1
485,A050124  ,A044107  ,2020JJ00,0.1
486,A050124  ,A044107  ,2021JJ00,0.1
487,A050124  ,A044107  ,2022JJ00,0.1
488,A050124  ,A044107  ,2023JJ00,0.1
489,A050124  ,A044107  ,2024JJ00,0.1
490,A050124  ,A052484  ,1990JJ00,0.0
491,A050124  ,A052484  ,1991JJ00,0.0
