ID,RegioS,Perioden,InGebruikGenomenWindmolens_1,UitGebruikGenomenWindmolens_2,OpgesteldeWindmolensEindeVanJaar_3,InGebruikGenomenRotoroppervlak_4,UitGebruikGenomenRotoroppervlak_5,OpgesteldRotoroppervlakEindeJaar_6,InGebruikGenomenVermogen_7,UitGebruikGenomenVermogen_8,OpgesteldVermogenEindeJaar_9,GenormaliseerdeProductie_10,NietGenormaliseerdeProductie_11,Productiefactor_12,ProductiePerRotoroppervlak_13,AantalVollasturen_14
176,PV24,1991JJ00,85.0,27.0,93.0,42.0,12.0,43.0,26.0,8.0,26.0,,,,,
177,PV24,1992JJ00,1.0,1.0,93.0,0.0,0.0,43.0,0.0,0.0,26.0,,,,,
178,PV24,1993JJ00,9.0,,102.0,2.0,,45.0,1.0,,27.0,,,,,
179,PV24,1994JJ00,5.0,2.0,105.0,2.0,0.0,47.0,1.0,0.0,27.0,,,,,
180,PV24,1995JJ00,37.0,,142.0,25.0,,72.0,10.0,,37.0,,,,,
181,PV24,1996JJ00,32.0,2.0,172.0,44.0,1.0,115.0,18.0,0.0,55.0,,,,,
182,PV24,1997JJ00,32.0,35.0,169.0,46.0,17.0,144.0,22.0,11.0,66.0,,,,,
183,PV24,1998JJ00,34.0,1.0,202.0,69.0,1.0,212.0,28.0,1.0,93.0,,,,,
184,PV24,1999JJ00,24.0,,226.0,53.0,,264.0,22.0,,116.0,,,,,
185,PV24,2000JJ00,17.0,,243.0,47.0,,311.0,22.0,,137.0,,,,,
186,PV24,2001JJ00,19.0,,262.0,56.0,,366.0,16.0,,153.0,,,,,
187,PV24,2002JJ00,89.0,3.0,348.0,274.0,2.0,639.0,119.0,1.0,271.0,349.0,324.0,19.6,722.0,1716.0
188,PV24,2003JJ00,93.0,6.0,435.0,265.0,10.0,894.0,106.0,5.0,373.0,538.0,523.0,18.0,660.0,1578.0
189,PV24,2004JJ00,82.0,7.0,510.0,194.0,9.0,1079.0,85.0,3.0,455.0,708.0,752.0,20.3,751.0,1783.0
190,PV24,2005JJ00,38.0,8.0,540.0,90.0,4.0,1166.0,39.0,1.0,493.0,762.0,774.0,18.5,685.0,1623.0
191,PV24,2006JJ00,45.0,1.0,584.0,194.0,2.0,1358.0,97.0,1.0,589.0,899.0,968.0,20.1,753.0,1765.0
192,PV24,2007JJ00,13.0,,597.0,62.0,,1420.0,27.0,,616.0,1017.0,1103.0,21.1,799.0,1844.0
193,PV24,2008JJ00,,1.0,596.0,,0.0,1420.0,,0.0,615.0,1054.0,1141.0,21.1,803.0,1853.0
194,PV24,2009JJ00,1.0,,597.0,2.0,,1422.0,1.0,,616.0,979.0,1001.0,18.5,704.0,1625.0
195,PV24,2010JJ00,,17.0,580.0,,24.0,1398.0,,13.0,604.0,942.0,835.0,15.8,597.0,1383.0
196,PV24,2011JJ00,7.0,9.0,578.0,25.0,35.0,1388.0,15.0,7.0,612.0,989.0,1069.0,20.1,771.0,1765.0
197,PV24,2012JJ00,18.0,12.0,584.0,117.0,29.0,1476.0,48.0,14.0,646.0,998.0,1008.0,18.5,716.0,1628.0
198,PV24,2013JJ00,44.0,,628.0,343.0,,1819.0,132.0,,778.0,1263.0,1324.0,19.8,744.0,1734.0
199,PV24,2014JJ00,10.0,,638.0,114.0,,1934.0,61.0,,839.0,1365.0,1362.0,19.6,737.0,1717.0
200,PV24,2015JJ00,45.0,62.0,621.0,471.0,36.0,2368.0,220.0,20.0,1039.0,1755.0,1913.0,23.3,906.0,2043.0
201,PV24,2016JJ00,32.0,5.0,648.0,355.0,10.0,2713.0,151.0,4.0,1186.0,1974.0,1928.0,19.2,731.0,1687.0
202,PV24,2017JJ00,,7.0,641.0,,10.0,2704.0,,4.0,1182.0,2282.0,2502.0,24.1,925.0,2120.0
203,PV24,2018JJ00,6.0,7.0,640.0,62.0,10.0,2756.0,19.0,4.0,1198.0,2361.0,2483.0,23.9,914.0,2093.0
204,PV24,2019JJ00,0.0,15.0,625.0,0.0,58.0,2698.0,0.0,23.0,1175.0,2424.0,2589.0,24.8,944.0,2170.0
205,PV24,2020JJ00,13.0,27.0,611.0,47.0,75.0,2670.0,28.0,34.0,1169.0,2544.0,2780.0,27.1,1041.0,2380.0
206,PV24,2021JJ00,44.0,42.0,613.0,544.0,147.0,3067.0,184.0,68.0,1285.0,2375.0,2285.0,22.1,835.0,1934.0
207,PV24,2022JJ00,90.0,76.0,627.0,1386.0,221.0,4232.0,392.0,93.0,1584.0,2933.0,3043.0,24.0,827.0,2105.0
208,PV24,2023JJ00,75.0,62.0,640.0,1473.0,197.0,5507.0,436.0,87.0,1933.0,4027.0,4572.0,30.3,958.0,2654.0
209,PV24,2024JJ00,39.0,4.0,675.0,804.0,8.0,6303.0,231.0,3.0,2161.0,5221.0,5471.0,29.2,881.0,2563.0
210,PV25,1990JJ00,,,,,,,,,,,,,,
211,PV25,1991JJ00,,,,,,,,,,,,,,
212,PV25,1992JJ00,,,,,,,,,,,,,,
213,PV25,1993JJ00,,,,,,,,,,,,,,
214,PV25,1994JJ00,,,,,,,,,,,,,,
215,PV25,1995JJ00,,,,,,,,,,,,,,
216,PV25,1996JJ00,,,,,,,,,,,,,,
217,PV25,1997JJ00,,,,,,,,,,,,,,
218,PV25,1998JJ00,,,,,,,,,,,,,,
219,PV25,1999JJ00,,,,,,,,,,,,,,
220,PV25,2000JJ00,,,,,,,,,,,,,,
221,PV25,2001JJ00,,,,,,,,,,,,,,
222,PV25,2002JJ00,,,5.0,,,1.0,,,0.0,,,,,
223,PV25,2003JJ00,,2.0,3.0,,0.0,1.0,,0.0,0.0,,,,,
224,PV25,2004JJ00,,1.0,2.0,,0.0,0.0,,0.0,0.0,,,,,
225,PV25,2005JJ00,6.0,,8.0,27.0,,27.0,12.0,,12.0,,,,,
226,PV25,2006JJ00,,,8.0,,,27.0,,,12.0,,,,,
227,PV25,2007JJ00,,,8.0,,,27.0,,,12.0,,,,,
228,PV25,2008JJ00,12.0,,20.0,63.0,,90.0,24.0,,36.0,38.0,41.0,17.9,645.0,1572.0
229,PV25,2009JJ00,,1.0,19.0,,0.0,90.0,,0.0,36.0,64.0,65.0,20.7,725.0,1810.0
230,PV25,2010JJ00,,,19.0,,,90.0,,,36.0,61.0,54.0,17.2,602.0,1503.0
231,PV25,2011JJ00,,,19.0,,,90.0,,,36.0,64.0,69.0,21.7,761.0,1900.0
232,PV25,2012JJ00,,,19.0,,,90.0,,,36.0,64.0,64.0,20.3,715.0,1781.0
233,PV25,2013JJ00,,,19.0,,,90.0,,,36.0,60.0,63.0,20.1,703.0,1757.0
234,PV25,2014JJ00,8.0,,27.0,51.0,,141.0,16.0,,52.0,78.0,78.0,20.9,702.0,1828.0
235,PV25,2015JJ00,2.0,1.0,28.0,16.0,0.0,157.0,6.0,0.0,58.0,109.0,120.0,24.6,796.0,2153.0
236,PV25,2016JJ00,11.0,,39.0,63.0,,220.0,24.0,,82.0,114.0,112.0,20.1,656.0,1761.0
237,PV25,2017JJ00,,,39.0,,,220.0,,,82.0,138.0,151.0,21.1,687.0,1846.0
238,PV25,2018JJ00,,0.0,39.0,,0.0,220.0,,0.0,82.0,146.0,153.0,21.4,696.0,1871.0
239,PV25,2019JJ00,0.0,0.0,39.0,0.0,0.0,220.0,0.0,0.0,82.0,152.0,163.0,22.7,739.0,1987.0
240,PV25,2020JJ00,15.0,1.0,53.0,218.0,0.0,438.0,61.0,0.0,143.0,305.0,334.0,27.9,806.0,2447.0
241,PV25,2021JJ00,8.0,0.0,61.0,86.0,1.0,523.0,28.0,0.0,171.0,375.0,361.0,25.2,718.0,2209.0
242,PV25,2022JJ00,17.0,0.0,78.0,187.0,0.0,711.0,64.0,0.0,234.0,439.0,455.0,23.7,681.0,2074.0
243,PV25,2023JJ00,3.0,0.0,81.0,40.0,0.0,751.0,13.0,0.0,247.0,550.0,624.0,29.6,856.0,2597.0
244,PV25,2024JJ00,0.0,0.0,81.0,0.0,0.0,751.0,0.0,0.0,247.0,566.0,594.0,27.3,789.0,2402.0
245,PV26,1990JJ00,,,,,,,,,,,,,,
246,PV26,1991JJ00,,,,,,,,,,,,,,
247,PV26,1992JJ00,,,,,,,,,,,,,,
248,PV26,1993JJ00,,,,,,,,,,,,,,
249,PV26,1994JJ00,,,,,,,,,,,,,,
250,PV26,1995JJ00,,,,,,,,,,,,,,
251,PV26,1996JJ00,,,,,,,,,,,,,,
252,PV26,1997JJ00,,,,,,,,,,,,,,
253,PV26,1998JJ00,,,,,,,,,,,,,,
254,PV26,1999JJ00,,,,,,,,,,,,,,
255,PV26,2000JJ00,,,,,,,,,,,,,,
256,PV26,2001JJ00,,,,,,,,,,,,,,
257,PV26,2002JJ00,,,1.0,,,0.0,,,0.0,,,,,
258,PV26,2003JJ00,,,1.0,,,0.0,,,0.0,,,,,
259,PV26,2004JJ00,1.0,,2.0,0.0,,0.0,0.0,,0.0,,,,,
260,PV26,2005JJ00,,,2.0,,,0.0,,,0.0,,,,,
261,PV26,2006JJ00,,,2.0,,,0.0,,,0.0,,,,,
262,PV26,2007JJ00,3.0,,5.0,15.0,,15.0,6.0,,6.0,,,,,
263,PV26,2008JJ00,,1.0,4.0,,0.0,15.0,,0.0,6.0,,,,,
264,PV26,2009JJ00,1.0,,5.0,6.0,,22.0,3.0,,9.0,,,,,
265,PV26,2010JJ00,,,5.0,,,22.0,,,9.0,,,,,
266,PV26,2011JJ00,,,5.0,,,22.0,,,9.0,,,,,
267,PV26,2012JJ00,,,5.0,,,22.0,,,9.0,18.0,19.0,23.2,854.0,2039.0
268,PV26,2013JJ00,3.0,,8.0,19.0,,41.0,6.0,,15.0,23.0,25.0,25.3,877.0,2220.0
269,PV26,2014JJ00,,,8.0,,,41.0,,,15.0,28.0,28.0,21.3,691.0,1868.0
270,PV26,2015JJ00,5.0,,13.0,32.0,,73.0,10.0,,25.0,54.0,59.0,26.9,815.0,2357.0
271,PV26,2016JJ00,,,13.0,,,73.0,,,25.0,51.0,50.0,22.8,694.0,2007.0
272,PV26,2017JJ00,3.0,,16.0,40.0,,113.0,9.0,,34.0,49.0,54.0,23.8,709.0,2085.0
273,PV26,2018JJ00,,0.0,16.0,,0.0,113.0,,0.0,34.0,74.0,78.0,26.1,689.0,2284.0
274,PV26,2019JJ00,0.0,0.0,16.0,0.0,0.0,113.0,0.0,0.0,34.0,78.0,83.0,27.8,736.0,2439.0
275,PV26,2020JJ00,1.0,1.0,16.0,0.0,0.0,113.0,0.0,0.0,34.0,88.0,96.0,32.0,849.0,2814.0
276,PV26,2021JJ00,0.0,0.0,16.0,0.0,0.0,113.0,0.0,0.0,34.0,76.0,73.0,24.3,642.0,2132.0
277,PV26,2022JJ00,0.0,0.0,16.0,0.0,0.0,113.0,0.0,0.0,34.0,76.0,78.0,26.3,693.0,2301.0
