ID,Energiedragers,Perioden,EnergieverbruikInDeSectorHuishoudens_1
358,9 ,1997JJ00,6.8
359,9 ,1998JJ00,6.87
360,9 ,1999JJ00,6.84
361,9 ,2000JJ00,7.14
362,9 ,2001JJ00,8.24
363,9 ,2002JJ00,8.12
364,9 ,2003JJ00,8.85
365,9 ,2004JJ00,9.09
366,9 ,2005JJ00,8.81
367,9 ,2006JJ00,8.82
368,9 ,2007JJ00,8.65
369,9 ,2008JJ00,9.85
370,9 ,2009JJ00,10.02
371,9 ,2010JJ00,12.17
372,9 ,2011JJ00,10.46
373,9 ,2012JJ00,12.11
374,9 ,2013JJ00,13.62
375,9 ,2014JJ00,10.92
376,9 ,2015JJ00,12.08
377,9 ,2016JJ00,12.27
