ID,EigendomWoning,Bouwjaar,RegioS,Perioden,TotaalWoningenMetEnergielabel_1,WoningenMetEnergielabelAEnB_2,WoningenMetEnergielabelCEnD_3,WoningenMetEnergielabelEFG_4
428,4, 4,CR08,2011JJ00,4019,88,1038,2893
429,4, 4,CR09,2011JJ00,2691,71,1482,1138
430,4, 4,CR10,2011JJ00,5810,236,1679,3895
431,4, 4,CR11,2011JJ00,2842,66,1085,1691
432,4, 4,CR12,2011JJ00,14593,657,7314,6622
433,4, 4,CR13,2011JJ00,10319,259,4108,5952
434,4, 4,CR14,2011JJ00,6554,380,3161,3013
435,4, 4,CR15,2011JJ00,13186,281,5508,7397
436,4, 4,CR16,2011JJ00,3548,140,1416,1992
437,4, 4,CR17,2011JJ00,14885,1072,5197,8616
438,4, 4,CR18,2011JJ00,4977,161,3356,1460
439,4, 4,CR19,2011JJ00,1788,49,998,741
440,4, 4,CR20,2011JJ00,5955,74,2466,3415
441,4, 4,CR21,2011JJ00,2751,18,765,1968
442,4, 4,CR22,2011JJ00,4109,8,760,3341
443,4, 4,CR23,2011JJ00,22264,1119,8393,12752
444,4, 4,CR24,2011JJ00,2570,102,1091,1377
445,4, 4,CR25,2011JJ00,6808,156,3023,3629
446,4, 4,CR26,2011JJ00,19236,77,5576,13583
447,4, 4,CR27,2011JJ00,3702,54,1433,2215
448,4, 4,CR28,2011JJ00,2638,38,928,1672
449,4, 4,CR29,2011JJ00,25027,1442,11069,12516
450,4, 4,CR30,2011JJ00,12506,113,6238,6155
451,4, 4,CR31,2011JJ00,1439,16,605,818
452,4, 4,CR32,2011JJ00,6162,88,3031,3043
453,4, 4,CR33,2011JJ00,8782,288,2298,6196
454,4, 4,CR34,2011JJ00,8343,278,3403,4662
455,4, 4,CR35,2011JJ00,7422,383,3630,3409
456,4, 4,CR36,2011JJ00,14967,118,5346,9503
457,4, 4,CR37,2011JJ00,4120,155,2319,1646
458,4, 4,CR38,2011JJ00,2464,61,685,1718
459,4, 4,CR39,2011JJ00,15915,313,5812,9790
460,4, 4,CR40,2011JJ00,1877,18,266,1593
461,4, 4,GA01,2011JJ00,4927,83,1820,3024
462,4, 4,GA02,2011JJ00,2874,88,1386,1400
463,4, 4,GA03,2011JJ00,3241,48,900,2293
464,4, 4,GA04,2011JJ00,5294,227,3261,1806
465,4, 4,GA05,2011JJ00,3458,21,1093,2344
466,4, 4,GA06,2011JJ00,2517,24,900,1593
467,4, 4,GA07,2011JJ00,5356,233,2568,2555
468,4, 4,GA08,2011JJ00,1783,553,427,803
469,4, 4,GA09,2011JJ00,5807,193,2137,3477
470,4, 4,GA10,2011JJ00,23823,1014,8731,14078
471,4, 4,GA11,2011JJ00,2178,17,663,1498
472,4, 4,GA12,2011JJ00,4279,102,1714,2463
473,4, 4,GA13,2011JJ00,18769,72,5321,13376
474,4, 4,GA14,2011JJ00,18842,1372,8616,8854
475,4, 4,GA15,2011JJ00,8231,31,4582,3618
476,4, 4,GA16,2011JJ00,3354,188,536,2630
477,4, 4,GA17,2011JJ00,5286,144,2383,2759
478,4, 4,GA18,2011JJ00,4318,258,1738,2322
479,4, 4,GA19,2011JJ00,10746,25,3775,6946
480,4, 4,GA20,2011JJ00,2877,87,791,1999
481,4, 4,GA21,2011JJ00,6126,103,2194,3829
482,4, 4,GA22,2011JJ00,5285,97,2429,2759
483,4, 4,SG01,2011JJ00,6430,135,2198,4097
484,4, 4,SG02,2011JJ00,4024,155,1530,2339
485,4, 4,SG03,2011JJ00,4048,52,1163,2833
