ID,Bedrijfstype,RegioS,Perioden,TotaalMestproductie_1,DunneMestInDeStal_2,DunneMestInDeWei_3,VasteMestInDeStal_4,Stikstofuitscheiding_5,TotaalGasvormigeStikstofverliezen_6,TotaalVerliezenInStalEnOpslag_7,AmmoniakUitgedruktInN_8,OverigeStikstofverliezen_9,AmmoniakverliesTijdensBeweidingN_10,StikstofInGeproduceerdeMestN_11,FosfaatuitscheidingP205_12,PlaatsingsruimteStikstofN_13,PlaatsingsruimteFosfaatP205_14,AandeelBedrijvenZonderOverproductie_15,ResterendePlaatsingsruimteStikstof_16,ResterendePlaatsingsruimteFosfaat_17,AandeelBedrijvenMetOverproductie_18,Stikstofoverschot_19,Fosfaatoverschot_20,SaldoPlaatsingsruimteStikstof_21,SaldoPlaatsingsruimteStikstofPerHa_22,SaldoPlaatsingsruimteFosfaat_23,SaldoPlaatsingsruimteFosfaatPerHa_24
2212,T20,PV23  ,2005JJ00,1778.0,1553.0,89.0,136.0,18210.0,3860.0,3840.0,3510.0,340.0,20.0,14360.0,7570.0,,1210.0,2.0,,10.0,98.0,11590.0,6360.0,,,-6360.0,-476.0
2213,T20,PV23  ,2006JJ00,1760.0,1543.0,82.0,135.0,18210.0,3900.0,3890.0,3550.0,340.0,10.0,14320.0,7720.0,2480.0,1250.0,2.0,20.0,10.0,98.0,11920.0,6620.0,-11900.0,-940.0,-6610.0,-522.0
2214,T20,PV23  ,2007JJ00,1857.0,1637.0,79.0,141.0,19400.0,4100.0,4090.0,3720.0,370.0,10.0,15310.0,8050.0,2640.0,1300.0,2.0,20.0,10.0,98.0,12740.0,6890.0,-12720.0,-939.0,-6880.0,-508.0
2215,T20,PV23  ,2008JJ00,1885.0,1662.0,73.0,150.0,20370.0,4260.0,4250.0,3870.0,380.0,10.0,16120.0,8500.0,2510.0,1190.0,1.0,10.0,0.0,99.0,13690.0,7390.0,-13680.0,-1057.0,-7390.0,-571.0
2216,T20,PV23  ,2009JJ00,1914.0,1714.0,53.0,148.0,20430.0,4370.0,4360.0,3980.0,380.0,10.0,16070.0,8780.0,2310.0,1110.0,1.0,10.0,0.0,99.0,13850.0,7750.0,-13850.0,-1153.0,-7750.0,-645.0
2217,T20,PV23  ,2010JJ00,1915.0,1706.0,55.0,154.0,20890.0,4100.0,4090.0,3690.0,390.0,10.0,16810.0,8960.0,2520.0,1080.0,3.0,40.0,20.0,97.0,14520.0,7920.0,-14470.0,-1106.0,-7900.0,-604.0
2218,T20,PV23  ,2011JJ00,1901.0,1697.0,43.0,161.0,21360.0,3780.0,3770.0,3380.0,400.0,10.0,17580.0,8890.0,2400.0,1010.0,3.0,20.0,10.0,97.0,15380.0,7920.0,-15360.0,-1221.0,-7910.0,-629.0
2219,T20,PV23  ,2012JJ00,1831.0,1641.0,38.0,152.0,20160.0,3500.0,3500.0,3110.0,380.0,10.0,16660.0,7890.0,2230.0,880.0,3.0,30.0,10.0,97.0,14640.0,7040.0,-14610.0,-1244.0,-7030.0,-598.0
2220,T20,PV23  ,2013JJ00,1819.0,1629.0,33.0,157.0,20130.0,3080.0,3070.0,2700.0,380.0,10.0,17060.0,8140.0,2100.0,770.0,3.0,30.0,10.0,97.0,15290.0,7390.0,-15260.0,-1374.0,-7390.0,-665.0
2221,T20,PV23  ,2014JJ00,1878.0,1670.0,35.0,172.0,20400.0,3060.0,3050.0,2670.0,380.0,10.0,17350.0,8340.0,2070.0,790.0,2.0,20.0,10.0,98.0,15580.0,7580.0,-15560.0,-1378.0,-7580.0,-671.0
