ID,Standaardisatie,RegionaleIndeling,ContactMetHuisarts_1,GemHuisartscontactInBevolking_2,GemHuisartscontactBijContact_3,ContactMetSpecialist_4,GemSpecialistcontactInBevolking_5,GemSpecialistcontactBijContact_6,ContactMetTandarts_7,GemTandartscontactInBevolking_8,GemTandartscontactBijContact_9,ContactMetFysiotherapeut_10,GemFysiotherapeutcontactInBevolking_11,GemFysiotherapeutcontactBijContact_12,ContactMetRiagg_13,ContactMetAlternatieveGenezers_14,Ziekenhuisopname_15,AantalZiekenhuisopnamenInBevolking_16,AantalZiekenhuisopnamenVanPatienten_17,MedicijngebruikVoorgeschreven_18,MedicijngebruikNietVoorgeschreven_19,ContactConsultatiebureau_20,GemiddeldeLengteVanMannen_21,GemiddeldeLengteVanVrouwen_22,GemiddeldGewichtVanMannen_23,GemiddeldGewichtVanVrouwen_24,OndergewichtMannen_25,NormaalgewichtMannen_26,OvergewichtMannen_27,ErnstigOvergewichtMannen_28,OndergewichtVrouwen_29,NormaalgewichtVrouwen_30,OvergewichtVrouwen_31,ErnstigOvergewichtVrouwen_32,MinderGoedeGezondheid_33,Astma_34,Neusholteontsteking_35,HartkwaalOfHartinfarct_36,HogeBloeddruk_37,GevolgenVanEenBeroerte_38,Maagzweer_39,ErnstigeDarmstoornissen_40,GalstenenGalblaasontsteking_41,LeverziekteOfLevercirrhose_42,Nierstenen_43,Nierziekte_44,ChronischeBlaasontsteking_45,Verzakking_46,Suikerziekte_47,Schildklierafwijking_48,Rugaandoening_49,GewrichtsslijtageArthrose_50,GewrichtsontstekingArthritis_51,ChronischeReuma_52,Epilepsie_53,DuizeligheidMetVallen_54,Migraine_55,ErnstigeHuidziekte_56,KwaadaardigeAandoeningOfKanker_57,PersonenMet1OfMeerOESOScores_58,PersonenMetBeperkingenInHoren_59,PersonenMetBeperkingenInZien_60,PersonenMetBeperkingInBewegelijkheid_61,ZonderKunstgebit_62,MetAlleenKunstgebitBovenOfOnder_63,MetKunstgebitBovenEnOnder_64,MetAlleenEenAndereGebitsprothese_65,GemiddeldeGeboortelengte_66,GemiddeldGeboortegewicht_67,Geboortegewicht2500Gr_68,Pilgebruik_69,BorstvoedingBijGeboorte_70,BorstvoedingOpLeeftijdVan6Weken_71,BorstvoedingOpLeeftijdVan3Maanden_72,BorstvoedingOpLeeftijdVan6Maanden_73,Rokers_74,ZwareRokers_75,GeenAlcoholDrinkers_76,ZwareDrinkers_77
84,2,0026,76,4.2,5.5,38,1.9,5.1,78,2.2,2.8,14,2.4,15.7,1,8,7,0.1,1.1,35,32,,179.4,165.4,78.2,66.0,2,58,36,4,4,57,30,9,19,8,7,3,7,0,1,2,1,0,1,0,1,0,3,2,9,9,3,1,1,2,6,3,1,15,3,6,9,65,5,17,13,,,,45,,,,,38,13,16,14
85,2,0027,77,4.0,5.1,36,1.8,4.9,77,2.7,3.7,15,2.3,14.5,1,6,6,0.1,1.3,34,37,,181.3,166.8,81.3,68.2,1,58,35,6,4,58,27,11,16,9,8,3,6,0,1,1,0,0,1,0,2,2,2,2,8,7,3,1,1,2,6,2,1,14,3,4,9,62,8,18,13,,,,38,,,,,31,14,17,9
86,2,0028,77,4.5,5.7,37,1.6,4.2,80,2.6,3.1,17,2.5,15.1,2,9,7,0.1,1.1,34,42,,181.5,168.1,80.8,67.8,2,57,35,6,3,63,25,9,18,8,9,2,8,1,1,2,1,0,1,0,1,1,2,1,7,9,2,1,0,2,7,2,1,12,2,5,7,67,7,14,13,,,,41,,,,,34,14,14,14
87,2,0029,77,4.1,5.2,43,1.9,4.1,71,1.9,2.9,20,3.0,15.4,3,8,7,0.1,1.1,38,38,,179.1,165.7,79.2,66.5,1,57,36,6,4,62,26,9,24,8,13,2,7,1,2,2,1,1,1,0,1,0,3,2,9,9,3,1,1,3,7,3,2,14,2,5,9,63,6,18,13,,,,39,,,,,39,14,12,16
88,2,0030,75,3.4,4.5,37,1.6,4.2,78,2.3,2.9,17,2.9,16.5,2,6,5,0.1,1.0,33,32,,180.5,164.8,81.3,66.3,1,52,40,6,2,66,25,7,17,7,10,3,8,0,1,2,0,0,0,0,1,1,0,2,8,9,2,0,0,1,5,2,1,13,2,4,7,62,7,16,15,,,,51,,,,,30,9,14,10
89,2,0031,76,4.9,6.4,41,1.7,4.4,80,2.1,2.8,17,2.2,11.8,1,7,7,0.1,1.1,34,35,,181.4,166.6,82.6,68.2,0,56,36,7,3,62,26,9,14,9,9,1,10,1,0,1,1,0,1,1,1,1,2,2,6,7,3,1,1,1,6,1,0,9,1,4,6,69,3,14,13,,,,34,,,,,34,9,14,9
90,2,0032,76,3.5,4.6,33,1.3,4.1,74,2.3,2.9,13,2.4,15.6,3,5,6,0.1,0.8,33,28,,180.1,165.6,79.6,68.7,2,59,35,5,5,58,32,5,19,8,9,2,6,0,0,2,1,0,1,0,1,1,2,2,11,6,3,1,1,2,6,2,1,14,2,7,8,62,5,23,10,,,,49,,,,,38,12,17,17
91,2,0033,74,3.2,4.2,32,1.2,3.8,76,2.0,2.7,12,2.2,16.2,2,9,4,0.0,1.0,28,35,,181.2,163.9,79.9,66.0,0,68,27,5,3,62,28,7,18,6,10,2,7,0,1,3,1,0,0,0,1,1,1,1,8,8,3,1,0,3,6,1,1,11,2,4,6,62,6,22,10,,,,44,,,,,30,11,13,17
92,2,0034,73,3.8,5.3,33,1.5,4.5,80,2.1,2.6,13,1.7,14.6,2,9,3,0.0,1.2,30,30,,180.1,167.6,80.8,66.5,2,52,39,8,4,63,27,7,17,6,10,2,8,0,1,1,1,0,1,0,3,1,2,1,10,7,2,1,0,2,6,3,0,11,2,3,8,66,2,19,13,,,,42,,,,,33,11,12,17
93,2,0035,78,3.5,4.4,43,2.4,5.5,82,2.4,3.1,17,3.3,28.8,2,9,6,0.1,1.1,33,37,,180.7,168.4,81.4,68.1,0,57,40,3,2,63,31,4,15,8,12,2,8,0,1,2,0,1,1,0,2,2,2,1,6,6,2,1,0,1,7,2,1,9,3,4,5,63,5,13,18,,,,37,,,,,31,10,14,13
