ID,Slachtdieren,Perioden,AantalSlachtingen_1,GeslachtGewicht_2
360,A028972,2017MM10,181.2,36569.0
361,A028972,2017MM11,206.9,42045.0
362,A028972,2017MM12,181.4,36621.0
363,A028972,2017JJ00,2158.0,438871.0
364,A028972,2018MM01,179.2,36510.0
365,A028972,2018MM02,157.2,32002.0
366,A028972,2018MM03,211.0,42816.0
367,A028972,2018MM04,162.2,33377.0
368,A028972,2018MM05,189.1,38676.0
369,A028972,2018MM06,190.5,39942.0
370,A028972,2018MM07,176.8,36966.0
371,A028972,2018MM08,196.6,40318.0
372,A028972,2018MM09,186.4,38683.0
373,A028972,2018MM10,214.9,43768.0
374,A028972,2018MM11,196.0,40100.0
375,A028972,2018MM12,177.8,34932.0
376,A028972,2018JJ00,2237.7,458090.0
377,A028972,2019MM01,176.2,35330.0
378,A028972,2019MM02,160.8,32200.0
379,A028972,2019MM03,165.1,33102.0
380,A028972,2019MM04,193.3,37976.0
381,A028972,2019MM05,184.0,36743.0
382,A028972,2019MM06,163.0,32826.0
383,A028972,2019MM07,171.2,33796.0
384,A028972,2019MM08,163.9,32754.0
385,A028972,2019MM09,179.4,35965.0
386,A028972,2019MM10,193.7,39180.0
387,A028972,2019MM11,183.7,37755.0
388,A028972,2019MM12,188.9,36674.0
389,A028972,2019JJ00,2123.3,424299.0
390,A028972,2020MM01,185.2,38765.0
391,A028972,2020MM02,168.8,34221.0
392,A028972,2020MM03,164.6,34455.0
393,A028972,2020MM04,149.9,30921.0
394,A028972,2020MM05,161.5,33330.0
395,A028972,2020MM06,175.2,36118.0
396,A028972,2020MM07,175.3,36471.0
397,A028972,2020MM08,171.2,34949.0
398,A028972,2020MM09,189.7,39161.0
399,A028972,2020MM10,196.0,41402.0
400,A028972,2020MM11,163.2,34935.0
401,A028972,2020MM12,188.1,38107.0
402,A028972,2020JJ00,2088.6,432835.0
403,A028972,2021MM01,151.0,31773.0
404,A028972,2021MM02,148.4,30440.0
405,A028972,2021MM03,192.7,39447.0
406,A028972,2021MM04,167.6,34829.0
407,A028972,2021MM05,166.0,34198.0
408,A028972,2021MM06,183.3,38668.0
409,A028972,2021MM07,165.7,34298.0
410,A028972,2021MM08,165.7,34039.0
411,A028972,2021MM09,188.4,38540.0
412,A028972,2021MM10,175.6,36450.0
413,A028972,2021MM11,193.1,39271.0
414,A028972,2021MM12,195.7,37685.0
415,A028972,2021JJ00,2093.3,429640.0
416,A028972,2022MM01,160.9,31636.0
417,A028972,2022MM02,157.5,31199.0
418,A028972,2022MM03,192.4,37702.0
419,A028972,2022MM04,171.0,34245.0
420,A028972,2022MM05,180.9,36558.0
421,A028972,2022MM06,176.7,35253.0
422,A028972,2022MM07,158.0,31486.0
423,A028972,2022MM08,178.8,35889.0
424,A028972,2022MM09,188.0,38031.0
425,A028972,2022MM10,174.4,35594.0
426,A028972,2022MM11,185.3,37667.0
427,A028972,2022MM12,184.9,36247.0
428,A028972,2022JJ00,2108.7,421506.0
429,A028972,2023MM01,174.6,35182.0
430,A028972,2023MM02,167.2,33310.0
431,A028972,2023MM03,196.1,39414.0
432,A028972,2023MM04,154.6,31077.0
433,A028972,2023MM05,186.7,37899.0
434,A028972,2023MM06,173.2,36294.0
435,A028972,2023MM07,162.1,33267.0
436,A028972,2023MM08,181.5,36650.0
437,A028972,2023MM09,180.1,37209.0
438,A028972,2023MM10,188.9,38909.0
439,A028972,2023MM11,191.7,39602.0
440,A028972,2023MM12,185.7,38575.0
441,A028972,2023JJ00,2142.5,437439.0
442,A028972,2024MM01,187.6,38388.0
443,A028972,2024MM02,173.3,35479.0
444,A028972,2024MM03,187.2,37835.0
445,A028972,2024MM04,178.4,36844.0
446,A028972,2024MM05,169.8,35205.0
447,A028972,2024MM06,157.8,32953.0
448,A028972,2024MM07,167.2,34549.0
449,A028972,2024MM08,168.9,34880.0
450,A028972,2024MM09,171.9,35309.0
451,A028972,2024MM10,197.2,40683.0
452,A028972,2024MM11,170.7,35132.0
453,A028972,2024MM12,179.5,36075.0
454,A028972,2024JJ00,2109.5,433333.0
455,A028972,2025MM01,159.4,32531.0
456,A028972,2025MM02,149.8,30560.0
457,A028972,2025MM03,159.1,32235.0
458,A028972,2025MM04,166.6,33952.0
459,A028972,2025MM05,156.0,31914.0
460,A028972,2025MM06,149.6,31013.0
461,A028972,2025MM07,158.5,33173.0
462,A028972,2025MM08,146.4,30678.0
463,A028972,2025MM09,172.7,36342.0
464,A028972,2025MM10,181.5,38329.0
465,A028972,2025MM11,160.4,33737.0
466,A048695,1990MM01,99.9,30356.0
467,A048695,1990MM02,88.7,27009.0
468,A048695,1990MM03,97.0,29640.0
469,A048695,1990MM04,86.7,26283.0
