ID,TypeWoning,Perioden,PrijsindexVerkoopprijzen_1,OntwikkelingTOVVoorgaandePeriode_2,OntwikkelingTOVEenJaarEerder_3,VerkochteWoningen_4,OntwikkelingTOVVoorgaandePeriode_5,OntwikkelingTOVEenJaarEerder_6,GemiddeldeVerkoopprijs_7,TotaleWaardeVerkoopprijzen_8
277,ZW10290,2021KW03,166.3,6.6,17.8,38443,3.0,-15.6,423077,16264
278,ZW10290,2021KW04,172.9,4.0,19.9,36575,-4.9,-19.2,429181,15697
279,ZW10290,2021JJ00,161.2,15.5,15.5,162034,-4.2,-4.2,406541,65873
280,ZW10290,2022KW01,180.2,4.2,20.5,30617,-16.3,-38.4,451006,13808
281,ZW10290,2022KW02,185.1,2.7,18.7,33498,9.4,-10.3,455539,15260
282,ZW10290,2022KW03,186.6,0.8,12.3,36563,9.2,-4.9,467156,17081
283,ZW10290,2022KW04,182.5,-2.2,5.6,35973,-1.6,-1.6,442955,15934
284,ZW10290,2022JJ00,183.6,13.9,13.9,136651,-15.7,-15.7,454319,62083
285,ZW10290,2023KW01,179.6,-1.6,-0.3,29378,-18.3,-4.0,439422,12909
286,ZW10290,2023KW02,176.0,-2.0,-5.0,31721,8.0,-5.3,429468,13623
287,ZW10290,2023KW03,178.0,1.2,-4.6,32691,3.1,-10.6,444328,14526
288,ZW10290,2023KW04,181.1,1.7,-0.8,34445,5.4,-4.2,452371,15582
289,ZW10290,2023JJ00,178.7,-2.7,-2.7,128235,-6.2,-6.2,441688,56640
290,ZW25805,1995KW01,42.8,,,10076,,,85536,862
291,ZW25805,1995KW02,43.1,0.9,,12119,20.3,,86765,1052
292,ZW25805,1995KW03,44.3,2.6,,13050,7.7,,90443,1180
293,ZW25805,1995KW04,44.8,1.1,,15110,15.8,,90616,1369
294,ZW25805,1995JJ00,43.7,,,50355,,,88628,4463
295,ZW25805,1996KW01,45.9,2.5,7.3,11655,-22.9,15.7,91218,1063
296,ZW25805,1996KW02,47.5,3.5,10.2,14537,24.7,20.0,93744,1363
297,ZW25805,1996KW03,49.0,3.1,10.7,15542,6.9,19.1,97533,1516
298,ZW25805,1996KW04,50.1,2.2,11.9,16482,6.0,9.1,99077,1633
299,ZW25805,1996JJ00,48.1,10.0,10.0,58216,15.6,15.6,95760,5575
300,ZW25805,1997KW01,51.7,3.2,12.7,11877,-27.9,1.9,102154,1213
301,ZW25805,1997KW02,52.8,2.1,11.1,15663,31.9,7.7,104779,1641
302,ZW25805,1997KW03,54.4,3.1,11.0,16397,4.7,5.5,107788,1767
303,ZW25805,1997KW04,55.6,2.2,11.0,17628,7.5,7.0,109689,1934
304,ZW25805,1997JJ00,53.6,11.4,11.4,61565,5.8,5.8,106480,6555
