ID,RegioS,TypeVerwarmingsinstallatie,Perioden,Woningen_1
514,PV20  ,A050117,2021JJ00,1.0
515,PV20  ,A050117,2022JJ00,1.3
516,PV20  ,A050118,2017JJ00,0.0
517,PV20  ,A050118,2018JJ00,0.0
518,PV20  ,A050118,2019JJ00,0.0
519,PV20  ,A050118,2020JJ00,0.0
520,PV20  ,A050118,2021JJ00,0.1
521,PV20  ,A050118,2022JJ00,0.1
522,PV20  ,A050119,2017JJ00,0.3
523,PV20  ,A050119,2018JJ00,0.6
524,PV20  ,A050119,2019JJ00,1.0
525,PV20  ,A050119,2020JJ00,1.3
526,PV20  ,A050119,2021JJ00,1.9
527,PV20  ,A050119,2022JJ00,2.9
528,PV20  ,A052175,2017JJ00,0.8
529,PV20  ,A052175,2018JJ00,1.3
530,PV20  ,A052175,2019JJ00,1.7
531,PV20  ,A052175,2020JJ00,2.1
532,PV20  ,A052175,2021JJ00,3.2
533,PV20  ,A052175,2022JJ00,4.2
534,PV20  ,A050120,2017JJ00,3.2
535,PV20  ,A050120,2018JJ00,2.5
536,PV20  ,A050120,2019JJ00,2.4
537,PV20  ,A050120,2020JJ00,2.2
538,PV20  ,A050120,2021JJ00,2.1
539,PV20  ,A050120,2022JJ00,2.3
540,PV21  ,A050112,2017JJ00,92.5
541,PV21  ,A050112,2018JJ00,92.0
542,PV21  ,A050112,2019JJ00,91.6
543,PV21  ,A050112,2020JJ00,91.0
544,PV21  ,A050112,2021JJ00,90.6
545,PV21  ,A050112,2022JJ00,89.3
546,PV21  ,A050113,2017JJ00,3.5
547,PV21  ,A050113,2018JJ00,3.5
548,PV21  ,A050113,2019JJ00,3.6
549,PV21  ,A050113,2020JJ00,3.8
550,PV21  ,A050113,2021JJ00,3.6
551,PV21  ,A050113,2022JJ00,3.5
552,PV21  ,A050114,2017JJ00,0.0
553,PV21  ,A050114,2018JJ00,0.1
554,PV21  ,A050114,2019JJ00,0.1
555,PV21  ,A050114,2020JJ00,0.1
556,PV21  ,A050114,2021JJ00,0.1
557,PV21  ,A050114,2022JJ00,0.1
558,PV21  ,A050115,2017JJ00,0.0
559,PV21  ,A050115,2018JJ00,0.0
560,PV21  ,A050115,2019JJ00,0.0
561,PV21  ,A050115,2020JJ00,0.0
562,PV21  ,A050115,2021JJ00,0.0
563,PV21  ,A050115,2022JJ00,0.0
564,PV21  ,A050116,2017JJ00,0.5
565,PV21  ,A050116,2018JJ00,0.6
566,PV21  ,A050116,2019JJ00,0.7
567,PV21  ,A050116,2020JJ00,0.7
568,PV21  ,A050116,2021JJ00,0.7
