ID,LandbouwgoederenEnDiensten,Perioden,OutputTegenAfProducentwaarde_1,OutputBasisprijzen_2,OutputTegenAfProducentwaarde_3,OutputBasisprijzen_4,OutputTegenAfProducentwaarde_5,OutputBasisprijzen_6,OutputTegenAfProducentwaarde_7,OutputBasisprijzen_8
1743,A045480,1998JJ00,147.0,148.0,188.0,189.0,9.1,9.3,78.4,78.0
1744,A045480,1999JJ00,178.0,180.0,231.0,234.0,23.2,23.8,77.0,76.7
1745,A045480,2000JJ00,214.0,216.0,265.0,269.0,14.8,14.8,80.7,80.4
1746,A045480,2001JJ00,249.0,252.0,305.0,309.0,15.0,15.1,81.7,81.4
1747,A045480,2002JJ00,274.0,276.0,321.0,325.0,5.3,5.2,85.4,84.9
1748,A045480,2003JJ00,280.0,282.0,322.0,327.0,0.3,0.5,86.9,86.4
1749,A045480,2004JJ00,306.0,307.0,350.0,355.0,8.6,8.7,87.3,86.4
1750,A045480,2005JJ00,357.0,358.0,394.0,400.0,12.5,12.7,90.7,89.4
1751,A045480,2006JJ00,467.0,479.0,496.0,510.0,26.0,27.3,94.1,93.9
1752,A045480,2007JJ00,603.0,621.0,622.0,636.0,25.4,24.8,96.9,97.5
1753,A045480,2008JJ00,800.0,864.0,793.0,827.0,27.4,29.9,100.9,104.5
1754,A045480,2009JJ00,787.0,837.0,762.0,789.0,-3.9,-4.6,103.3,106.1
1755,A045480,2010JJ00,877.0,941.0,892.0,934.0,17.0,18.4,98.4,100.8
1756,A045480,2011JJ00,910.0,974.0,896.0,937.0,0.5,0.3,101.5,104.0
1757,A045480,2012JJ00,864.0,918.0,839.0,874.0,-6.4,-6.7,103.0,105.1
1758,A045480,2013JJ00,864.0,915.0,847.0,882.0,0.9,0.9,102.0,103.8
1759,A045480,2014JJ00,836.0,881.0,837.0,872.0,-1.2,-1.1,99.9,101.0
1760,A045480,2015JJ00,814.0,849.0,814.0,849.0,-2.7,-2.6,100.0,100.0
1761,A045480,2016JJ00,716.0,781.0,785.0,820.0,-3.5,-3.4,91.2,95.2
1762,A045480,2017JJ00,738.0,798.0,812.0,845.0,3.4,3.0,90.9,94.5
1763,A045480,2018JJ00,764.0,833.0,815.0,853.0,0.4,0.9,93.7,97.7
1764,A045480,2019JJ00,781.0,823.0,810.0,842.0,-0.7,-1.2,96.5,97.8
1765,A045480,2020JJ00,748.0,831.0,790.0,851.0,-2.5,1.1,94.7,97.7
1766,A045480,2021JJ00,1005.0,1060.0,760.0,834.0,-3.8,-2.0,132.3,127.2
1767,A045480,2022JJ00,1813.0,1973.0,764.0,846.0,0.5,1.4,237.3,233.3
1768,A045480,2023JJ00,1431.0,1582.0,736.0,813.0,-3.7,-3.8,194.5,194.5
1769,A045481,1995JJ00,38.0,38.0,48.0,48.0,,,78.7,78.7
1770,A045481,1996JJ00,41.0,41.0,53.0,53.0,10.6,10.6,78.7,78.7
1771,A045481,1997JJ00,41.0,41.0,53.0,53.0,0.0,0.0,76.8,76.8
1772,A045481,1998JJ00,49.0,49.0,62.0,62.0,17.1,17.1,80.0,80.0
1773,A045481,1999JJ00,48.0,48.0,59.0,59.0,-4.0,-4.0,81.7,81.7
1774,A045481,2000JJ00,47.0,47.0,59.0,59.0,0.0,0.0,80.0,80.0
1775,A045481,2001JJ00,52.0,52.0,62.0,62.0,4.2,4.2,84.8,84.8
1776,A045481,2002JJ00,52.0,52.0,62.0,62.0,0.0,0.0,84.8,84.8
1777,A045481,2003JJ00,52.0,52.0,64.0,64.0,3.8,3.8,81.7,81.7
1778,A045481,2004JJ00,52.0,52.0,64.0,64.0,0.0,0.0,81.8,81.8
1779,A045481,2005JJ00,52.0,52.0,63.0,63.0,-1.9,-1.9,83.3,83.3
1780,A045481,2006JJ00,60.0,60.0,71.0,71.0,13.2,13.2,84.7,84.7
1781,A045481,2007JJ00,63.0,63.0,70.0,70.0,-1.7,-1.7,90.4,90.4
1782,A045481,2008JJ00,70.0,70.0,72.0,72.0,3.1,3.1,97.3,97.3
