ID,Geslacht,Leeftijd,Herkomst,Perioden,TotaalUniekeGebruikersToevoegingen_1,Civiel_2,Ambtshalve_3,Straf_4,Erfrecht_5,PersonenEnFamilierecht_6,Verbintenissenrecht_7,Arbeidsrecht_8,Huurrecht_9,Faillissementsrecht_10,Goederenrecht_11,OverigCiviel_12,SocialeVoorzieningen_13,Vreemdelingenrecht_14,SocialeVerzekeringen_15,Bestuursrecht_16,Woonrecht_17,FiscaalRecht_18,Ambtenarenrecht_19,Milieurecht_20,StrafrechtVerdachten_21,StrafrechtOverig_22,Onbekend_23
162,1100,60400,1100,2009JJ00,28160,23540,2480,4670,40,10640,3780,2550,1160,90,10,140,2280,3510,1400,900,190,190,70,0,4870,2240,10
163,1100,60400,1100,2010JJ00,27190,22840,2540,4100,30,10700,3680,2100,1140,70,10,150,2110,3450,1230,900,180,250,60,0,4390,2230,0
164,1100,60400,1100,2011JJ00,25970,21530,2630,3990,30,10210,3350,1730,1130,30,10,190,2340,3190,1160,820,120,150,70,0,4350,2170,0
165,1100,60400,1101,2007JJ00,21890,18580,1820,3320,20,6970,2820,1770,880,100,0,110,2270,3750,1550,640,170,120,60,0,3500,1560,20
166,1100,60400,1101,2008JJ00,22130,18530,2070,3520,20,7710,2980,1880,890,90,10,100,1970,3270,1230,670,150,150,60,0,3820,1690,20
167,1100,60400,1101,2009JJ00,22040,18350,2020,3710,30,7730,2950,2000,880,70,10,100,1950,3110,1220,760,150,170,70,0,3900,1790,0
168,1100,60400,1101,2010JJ00,21320,17830,2080,3280,20,7790,2900,1630,860,50,0,120,1830,3060,1070,760,140,220,50,0,3530,1790,0
169,1100,60400,1101,2011JJ00,20290,16730,2150,3180,20,7410,2610,1270,840,20,10,150,2030,2840,990,690,100,130,60,0,3500,1730,0
170,1100,60400,1251,2007JJ00,4840,4090,440,770,0,1500,610,520,220,10,0,20,560,500,600,120,60,30,10,0,800,390,0
171,1100,60400,1251,2008JJ00,4930,4070,500,850,0,1690,680,600,220,10,0,20,520,350,440,130,40,30,10,0,930,370,0
172,1100,60400,1251,2009JJ00,4910,3970,530,930,10,1630,690,580,230,10,0,20,510,290,470,180,50,50,20,0,1010,450,0
173,1100,60400,1251,2010JJ00,4640,3730,540,860,0,1620,650,450,240,10,0,30,490,210,370,170,50,70,10,0,980,410,0
174,1100,60400,1251,2011JJ00,4480,3450,610,910,0,1550,540,360,230,10,0,40,540,180,360,150,30,40,10,0,1030,440,0
175,1100,60400,7011,2007JJ00,1530,1010,270,470,0,460,260,120,80,10,0,10,110,0,40,30,10,0,0,0,510,180,0
176,1100,60400,7011,2008JJ00,1620,1090,280,460,0,540,270,150,80,10,0,10,100,0,30,30,0,10,10,0,520,190,0
177,1100,60400,7011,2009JJ00,1610,1110,280,440,0,560,230,150,70,0,0,10,120,10,60,30,10,10,10,0,500,200,0
178,1100,60400,7011,2010JJ00,1560,1080,260,410,0,560,270,130,70,0,0,20,120,0,40,40,0,10,0,0,470,190,0
179,1100,60400,7011,2011JJ00,1560,1050,310,410,10,520,240,110,80,0,0,10,130,0,30,40,10,10,10,0,500,190,0
180,1100,60400,5007,2007JJ00,3600,2840,450,690,10,1420,570,330,170,10,0,20,320,120,120,100,20,20,20,0,770,350,10
181,1100,60400,5007,2008JJ00,3620,2800,500,740,10,1520,530,280,170,10,0,20,270,130,140,100,30,30,20,0,840,380,0
182,1100,60400,5007,2009JJ00,3600,2800,490,770,10,1490,580,340,170,20,0,20,260,110,130,110,20,20,20,0,820,400,0
183,1100,60400,5007,2010JJ00,3400,2640,500,680,0,1500,520,250,150,10,0,20,230,90,120,90,20,20,10,0,730,430,0
184,1100,60400,5007,2011JJ00,3240,2470,490,600,10,1420,440,210,150,0,0,40,290,60,110,70,0,20,20,0,700,390,0
185,1100,60400,6043,2007JJ00,4460,3820,350,640,0,1520,640,350,150,50,0,30,460,480,520,120,30,20,10,0,670,320,0
186,1100,60400,6043,2008JJ00,4470,3830,360,640,0,1760,690,330,140,40,0,20,370,400,420,110,20,30,20,0,690,320,0
187,1100,60400,6043,2009JJ00,4440,3760,350,670,10,1790,580,380,130,30,0,20,350,430,350,140,20,40,10,0,710,320,0
188,1100,60400,6043,2010JJ00,4390,3760,340,610,10,1840,630,330,150,20,0,30,340,400,330,130,30,60,10,0,640,320,0
189,1100,60400,6043,2011JJ00,4050,3470,330,540,0,1730,570,250,130,10,10,30,350,390,260,140,20,30,10,0,590,280,0
190,1100,60400,1271,2007JJ00,7460,6820,320,740,10,2070,750,450,260,10,0,30,820,2660,280,270,60,50,10,0,740,330,10
191,1100,60400,1271,2008JJ00,7500,6740,440,830,10,2210,810,520,280,30,0,30,720,2390,210,290,70,60,10,0,840,440,10
192,1100,60400,1271,2009JJ00,7480,6710,380,900,10,2270,870,550,280,10,0,30,710,2280,210,300,50,50,10,0,860,410,0
193,1100,60400,1271,2010JJ00,7320,6620,440,730,10,2280,840,470,250,10,0,40,660,2360,210,340,40,60,10,0,720,450,0
194,1100,60400,1271,2011JJ00,6980,6280,410,710,0,2180,810,360,250,0,0,30,720,2220,220,280,40,40,10,0,690,420,0
195,1100,60400,1272,2007JJ00,6310,5430,440,960,20,2780,790,510,260,30,0,30,370,780,200,150,30,30,10,0,980,430,20
196,1100,60400,1272,2008JJ00,6170,5220,490,910,10,2870,800,520,280,20,0,30,340,520,200,140,30,30,10,0,970,440,30
197,1100,60400,1272,2009JJ00,6120,5190,460,960,10,2910,840,550,280,20,0,40,330,390,180,140,40,20,10,0,960,460,10
198,1100,60400,1272,2010JJ00,5870,5010,470,810,10,2910,780,460,280,20,0,30,280,390,170,140,50,30,10,0,860,440,0
199,1100,60400,1272,2011JJ00,5680,4810,480,820,10,2810,750,460,290,10,0,50,310,350,170,140,20,20,10,0,860,440,0
200,1100,60500,1000,2007JJ00,51520,44310,3630,7110,160,22290,7230,3730,2320,280,40,340,4270,2710,4150,1120,320,290,150,0,7280,3500,190
201,1100,60500,1000,2008JJ00,51910,44250,4020,7320,210,23290,7590,3930,2380,250,50,360,4150,2040,3420,1250,250,330,150,10,7650,3660,210
202,1100,60500,1000,2009JJ00,53260,45770,3770,7480,190,24890,8070,4480,2400,240,60,400,3910,1940,2970,1340,280,330,160,10,7630,3640,70
203,1100,60500,1000,2010JJ00,52570,45200,4040,6720,220,25730,8100,3560,2300,140,60,440,3770,1770,2760,1420,240,340,130,0,7010,3810,10
204,1100,60500,1000,2011JJ00,51180,43690,4230,6680,200,25290,7250,3290,2290,90,40,620,3740,1740,2570,1300,190,250,130,0,7100,3760,10
205,1100,60500,6030,2007JJ00,28300,24060,2090,4010,110,15200,3640,1880,1200,160,30,200,1480,60,1380,460,110,110,70,0,4110,2060,170
206,1100,60500,6030,2008JJ00,28420,24000,2320,4060,170,15460,3810,1860,1210,170,40,210,1380,40,1140,520,90,140,60,0,4220,2200,190
207,1100,60500,6030,2009JJ00,29230,24930,2180,4120,140,16490,4050,2080,1220,140,50,230,1260,20,960,550,100,140,80,0,4240,2070,50
208,1100,60500,6030,2010JJ00,29250,25120,2280,3590,150,17270,4080,1640,1170,90,50,260,1220,10,880,590,80,130,70,0,3760,2160,10
209,1100,60500,6030,2011JJ00,28330,24090,2400,3640,150,16770,3660,1580,1110,60,40,330,1250,10,780,530,70,80,50,0,3880,2160,0
210,1100,60500,1100,2007JJ00,23220,20250,1540,3090,40,7090,3590,1850,1120,120,10,130,2790,2640,2770,660,210,180,80,0,3170,1440,20
211,1100,60500,1100,2008JJ00,23490,20250,1700,3260,40,7840,3780,2070,1170,90,10,160,2770,2000,2280,730,160,200,90,0,3430,1460,20
212,1100,60500,1100,2009JJ00,24020,20840,1600,3360,50,8400,4020,2400,1190,110,10,180,2650,1920,2020,790,190,190,80,0,3390,1570,20
213,1100,60500,1100,2010JJ00,23320,20070,1760,3140,60,8470,4020,1920,1140,50,10,170,2550,1760,1880,840,160,210,60,0,3250,1650,0
214,1100,60500,1100,2011JJ00,22860,19610,1830,3040,50,8520,3580,1710,1180,30,10,290,2490,1730,1790,780,120,170,80,0,3210,1600,0
215,1100,60500,1101,2007JJ00,17350,15150,1150,2300,20,4610,2770,1410,830,90,10,100,2300,2110,2430,530,180,150,60,0,2390,1050,10
216,1100,60500,1101,2008JJ00,17760,15370,1260,2440,20,5180,2970,1630,890,60,10,120,2350,1690,2020,590,140,170,80,0,2560,1070,10
217,1100,60500,1101,2009JJ00,18120,15740,1190,2570,20,5620,3150,1820,900,80,10,130,2260,1670,1760,630,150,150,60,0,2580,1170,10
218,1100,60500,1101,2010JJ00,17570,15120,1320,2410,40,5660,3130,1450,860,30,10,130,2130,1560,1640,690,120,180,50,0,2500,1220,0
219,1100,60500,1101,2011JJ00,17290,14860,1390,2310,30,5760,2770,1320,890,20,10,210,2110,1530,1580,670,100,140,70,0,2450,1200,0
220,1100,60500,1251,2007JJ00,3400,3100,140,340,0,840,500,360,150,10,0,10,520,290,800,100,50,40,10,0,340,150,0
