ID,Perioden,NederlandHICP_1,EurozoneMUICP_2,EuropeseUnieEICP_3,NederlandHICP_4,EurozoneMUICP_5,EuropeseUnieEICP_6
369,2024MM06,97.21,98.31,97.87,3.4,2.5,2.6
370,2024MM07,98.43,98.29,97.99,3.5,2.6,2.8
371,2024MM08,98.79,98.42,98.1,3.3,2.2,2.4
372,2024MM09,97.91,98.33,98.02,3.3,1.7,2.1
373,2024MM10,98.52,98.67,98.37,3.3,2.0,2.3
374,2024MM11,97.5,98.35,98.18,3.8,2.2,2.5
375,2024MM12,97.84,98.69,98.48,3.9,2.4,2.7
376,2024JJ00,97.1,97.92,97.6,3.2,2.4,2.6
377,2025MM01,97.09,98.42,98.43,3.0,2.5,2.8
378,2025MM02,98.47,98.84,98.88,3.5,2.3,2.7
379,2025MM03,99.0,99.45,99.38,3.4,2.2,2.5
380,2025MM04,100.76,100.01,99.86,4.1,2.2,2.4
381,2025MM05,99.82,99.96,99.85,2.9,1.9,2.2
382,2025MM06,99.81,100.26,100.14,2.7,2.0,2.3
383,2025MM07,100.94,100.29,100.3,2.6,2.0,2.4
384,2025MM08,101.18,100.43,100.48,2.4,2.0,2.4
385,2025MM09,100.81,100.52,100.56,3.0,2.2,2.6
386,2025MM10,101.52,100.74,100.81,3.0,2.1,2.5
387,2025MM11,100.06,100.45,100.58,2.6,2.1,2.4
388,2025MM12,100.53,100.63,100.73,2.7,2.0,2.3
389,2025JJ00,100.0,100.0,100.0,3.0,2.1,2.5
390,2026MM01,99.21,100.08,,2.2,1.7,
