ID,Geslacht,Leeftijd,Zorgvormen,Perioden,JongerenMetKostenZvwGGZ_1,GedeclareerdeEnToegekendeKosten_2
272,4000,52041,ZVW03 ,2011JJ00,37245.0,185860.0
273,4000,52041,ZVW03 ,2012JJ00,37815.0,181806.0
274,4000,52041,ZVW03 ,2013JJ00,38640.0,205011.0
275,4000,52041,ZVW03 ,2014JJ00,,
276,4000,52041,ZVW04 ,2011JJ00,75.0,11.0
277,4000,52041,ZVW04 ,2012JJ00,255.0,113.0
278,4000,52041,ZVW04 ,2013JJ00,1075.0,820.0
279,4000,52041,ZVW04 ,2014JJ00,45.0,27.0
280,4000,52041,ZVW05 ,2011JJ00,,
281,4000,52041,ZVW05 ,2012JJ00,,
282,4000,52041,ZVW05 ,2013JJ00,,
283,4000,52041,ZVW05 ,2014JJ00,13425.0,8939.0
284,4000,52041,ZVW06 ,2011JJ00,,
285,4000,52041,ZVW06 ,2012JJ00,,
286,4000,52041,ZVW06 ,2013JJ00,,
287,4000,52041,ZVW06 ,2014JJ00,32070.0,130278.0
