ID,TypeOfDwellings,Periods,PriceIndexOfExistingOwnHomes_1,ChangesComparedToOnePeriodEarlier_2,ChangesComparedToOneYearEarlier_3,NumberOfDwellingsSold_4,ChangesComparedToOnePeriodEarlier_5,ChangesComparedToOneYearEarlier_6,AveragePurchasePrice_7,TotalValuePurchasePrices_8
314,3 ,2011JJ00,98.0,-2.0,-2.0,38570,-4.0,-4.0,222444,8580
315,3 ,2012KW01,95.4,-1.1,-3.6,7650,-25.0,-15.9,218387,1671
316,3 ,2012KW02,93.8,-1.8,-4.8,11268,47.3,21.1,216085,2435
317,3 ,2012KW03,90.5,-3.5,-7.8,7013,-37.8,-29.6,201719,1415
318,3 ,2012KW04,90.2,-0.4,-6.5,11606,65.5,13.8,204864,2378
319,3 ,2012JJ00,92.5,-5.7,-5.7,37537,-2.7,-2.7,210400,7898
320,3 ,2013KW01,88.3,-2.1,-7.5,7222,-37.8,-5.6,199896,1444
321,3 ,2013KW02,86.8,-1.7,-7.5,6742,-6.6,-40.2,194792,1313
322,3 ,2013KW03,87.0,0.2,-3.9,9247,37.2,31.9,199309,1843
323,3 ,2013KW04,87.2,0.2,-3.4,11603,25.5,0.0,199316,2313
324,3 ,2013JJ00,87.3,-5.6,-5.6,34814,-7.3,-7.3,198558,6913
325,3 ,2014KW01,87.7,0.7,-0.7,9702,-16.4,34.3,203633,1976
326,3 ,2014KW02,88.0,0.3,1.4,10870,12.0,61.2,206774,2248
327,3 ,2014KW03,89.2,1.4,2.5,12892,18.6,39.4,213184,2748
328,3 ,2014KW04,89.6,0.5,2.8,16054,24.5,38.4,211339,3393
329,3 ,2014JJ00,88.6,1.5,1.5,49518,42.2,42.2,209308,10364
330,3 ,2015KW01,90.0,0.5,2.6,11394,-29.0,17.4,208921,2380
331,3 ,2015KW02,90.9,0.9,3.3,13021,14.3,19.8,214595,2794
332,3 ,2015KW03,92.4,1.6,3.6,16853,29.4,30.7,219187,3694
333,3 ,2015KW04,93.2,0.9,4.0,16774,-0.5,4.5,220371,3696
334,3 ,2015JJ00,91.6,3.4,3.4,58042,17.2,17.2,216484,12565
335,3 ,2016KW01,94.4,1.2,4.8,13984,-16.6,22.7,222667,3114
336,3 ,2016KW02,95.5,1.2,5.1,16226,16.0,24.6,226307,3672
337,3 ,2016KW03,97.9,2.5,6.0,19933,22.8,18.3,233887,4662
338,3 ,2016KW04,99.3,1.4,6.5,20004,0.4,19.3,230126,4603
339,3 ,2016JJ00,96.8,5.6,5.6,70147,20.9,20.9,228824,16051
340,3 ,2017KW01,101.2,1.9,7.2,18070,-9.7,29.2,239064,4320
341,3 ,2017KW02,103.0,1.8,7.8,19076,5.6,17.6,240665,4591
342,3 ,2017KW03,105.6,2.5,7.8,20369,6.8,2.2,247581,5043
343,3 ,2017KW04,107.3,1.7,8.1,22260,9.3,11.3,245718,5470
344,3 ,2017JJ00,104.2,7.7,7.7,79775,13.7,13.7,243478,19423
345,4 ,1995KW01,38.3,,,4060,,,92146,374
346,4 ,1995KW02,39.2,2.3,,4740,16.7,,94472,448
347,4 ,1995KW03,40.0,2.1,,5549,17.1,,96197,534
348,4 ,1995KW04,40.4,1.1,,6127,10.4,,96089,589
349,4 ,1995JJ00,39.5,,,20476,,,94962,1944
350,4 ,1996KW01,41.7,3.1,8.8,4630,-24.4,14.0,97878,453
351,4 ,1996KW02,42.6,2.2,8.7,5863,26.6,23.7,98931,580
352,4 ,1996KW03,44.3,3.9,10.7,6293,7.3,13.4,104719,659
353,4 ,1996KW04,44.9,1.5,11.1,6861,9.0,12.0,105509,724
354,4 ,1996JJ00,43.3,9.9,9.9,23647,15.5,15.5,102174,2416
355,4 ,1997KW01,46.4,3.3,11.3,4696,-31.6,1.4,109066,512
356,4 ,1997KW02,47.7,2.9,12.0,6373,35.7,8.7,111024,708
357,4 ,1997KW03,49.2,3.1,11.1,6570,3.1,4.4,114905,755
358,4 ,1997KW04,50.1,1.9,11.7,7025,6.9,2.4,116363,817
359,4 ,1997JJ00,48.3,11.5,11.5,24664,4.3,4.3,113206,2792
360,4 ,1998KW01,51.0,1.7,10.0,5023,-28.5,7.0,118216,594
361,4 ,1998KW02,52.3,2.6,9.7,6398,27.4,0.4,121411,777
362,4 ,1998KW03,54.0,3.3,9.8,6988,9.2,6.4,124967,873
363,4 ,1998KW04,55.3,2.4,10.4,7571,8.3,7.8,127622,966
364,4 ,1998JJ00,53.2,10.0,10.0,25980,5.3,5.3,123560,3210
365,4 ,1999KW01,57.5,3.9,12.7,5360,-29.2,6.7,131412,704
366,4 ,1999KW02,60.0,4.3,14.7,6650,24.1,3.9,136471,908
367,4 ,1999KW03,62.9,4.8,16.4,7338,10.3,5.0,144437,1060
368,4 ,1999KW04,65.6,4.4,18.6,7359,0.3,-2.8,151482,1115
369,4 ,1999JJ00,61.5,15.7,15.7,26707,2.8,2.8,141780,3787
370,4 ,2000KW01,67.9,3.5,18.1,4883,-33.6,-8.9,157940,771
371,4 ,2000KW02,70.4,3.7,17.4,5943,21.7,-10.6,164790,979
372,4 ,2000KW03,73.5,4.4,16.9,6124,3.0,-16.5,175377,1074
373,4 ,2000KW04,75.7,2.9,15.3,6733,9.9,-8.5,178137,1199
374,4 ,2000JJ00,71.9,16.9,16.9,23683,-11.3,-11.3,169910,4024
375,4 ,2001KW01,77.0,1.7,13.3,4564,-32.2,-6.5,178816,816
376,4 ,2001KW02,78.7,2.2,11.7,6155,34.9,3.6,183190,1128
377,4 ,2001KW03,80.4,2.3,9.4,6894,12.0,12.6,189601,1307
378,4 ,2001KW04,80.8,0.5,6.8,7073,2.6,5.1,187755,1328
379,4 ,2001JJ00,79.2,10.2,10.2,24686,4.2,4.2,185480,4579
380,4 ,2002KW01,82.5,2.1,7.2,5511,-22.1,20.7,192623,1062
381,4 ,2002KW02,84.1,1.9,6.9,6073,10.2,-1.3,197396,1199
382,4 ,2002KW03,85.7,2.0,6.6,6540,7.7,-5.1,203119,1328
383,4 ,2002KW04,84.9,-0.9,5.1,6826,4.4,-3.5,197546,1348
384,4 ,2002JJ00,84.3,6.4,6.4,24950,1.1,1.1,197883,4937
385,4 ,2003KW01,86.2,1.5,4.5,4925,-27.8,-10.6,201149,991
386,4 ,2003KW02,87.1,1.1,3.6,5783,17.4,-4.8,201847,1167
387,4 ,2003KW03,87.5,0.5,2.1,6556,13.4,0.2,204208,1339
388,4 ,2003KW04,88.6,1.3,4.4,6980,6.5,2.3,205854,1437
389,4 ,2003JJ00,87.4,3.6,3.6,24244,-2.8,-2.8,203498,4934
390,4 ,2004KW01,90.0,1.6,4.4,4696,-32.7,-4.7,212583,998
391,4 ,2004KW02,90.7,0.7,4.1,5738,22.2,-0.8,212361,1219
392,4 ,2004KW03,92.3,1.8,5.4,6265,9.2,-4.4,217008,1360
393,4 ,2004KW04,92.3,0.0,4.2,6690,6.8,-4.2,209100,1399
394,4 ,2004JJ00,91.3,4.5,4.5,23389,-3.5,-3.5,212718,4975
395,4 ,2005KW01,93.1,0.9,3.5,5308,-20.7,13.0,213401,1133
396,4 ,2005KW02,94.1,1.0,3.8,6599,24.3,15.0,217933,1438
397,4 ,2005KW03,95.4,1.3,3.3,7451,12.9,18.9,223981,1669
398,4 ,2005KW04,96.1,0.7,4.0,7486,0.5,11.9,225818,1690
399,4 ,2005JJ00,94.7,3.7,3.7,26844,14.8,14.8,220914,5930
400,4 ,2006KW01,97.4,1.4,4.5,5798,-22.5,9.2,229381,1330
401,4 ,2006KW02,98.3,0.9,4.4,6522,12.5,-1.2,231567,1510
402,4 ,2006KW03,99.7,1.4,4.5,6824,4.6,-8.4,238601,1628
403,4 ,2006KW04,99.8,0.2,3.9,6992,2.5,-6.6,232194,1624
404,4 ,2006JJ00,98.8,4.3,4.3,26136,-2.6,-2.6,233086,6092
405,4 ,2007KW01,101.2,1.4,3.9,5714,-18.3,-1.4,238969,1365
406,4 ,2007KW02,102.3,1.1,4.1,6401,12.0,-1.9,241518,1546
407,4 ,2007KW03,103.8,1.4,4.1,6785,6.0,-0.6,248759,1688
408,4 ,2007KW04,103.7,-0.1,3.9,6962,2.6,-0.4,242264,1687
409,4 ,2007JJ00,102.7,4.0,4.0,25862,-1.0,-1.0,243055,6286
410,4 ,2008KW01,105.2,1.4,4.0,5208,-25.2,-8.9,247006,1286
411,4 ,2008KW02,105.2,0.0,2.8,6311,21.2,-1.4,249445,1574
412,4 ,2008KW03,106.3,1.0,2.4,6484,2.7,-4.4,250376,1623
413,4 ,2008KW04,105.6,-0.7,1.8,5946,-8.3,-14.6,246025,1463
414,4 ,2008JJ00,105.6,2.7,2.7,23949,-7.4,-7.4,248318,5947
415,4 ,2009KW01,104.4,-1.1,-0.7,3615,-39.2,-30.6,243066,879
416,4 ,2009KW02,101.9,-2.4,-3.1,4032,11.5,-36.1,233989,943
417,4 ,2009KW03,100.8,-1.1,-5.1,4486,11.3,-30.8,230195,1033
418,4 ,2009KW04,100.5,-0.3,-4.8,4922,9.7,-17.2,230754,1136
419,4 ,2009JJ00,101.9,-3.5,-3.5,17055,-28.8,-28.8,233981,3991
420,4 ,2010KW01,99.7,-0.8,-4.5,3587,-27.1,-0.8,229557,823
421,4 ,2010KW02,100.3,0.6,-1.6,4116,14.7,2.1,236939,975
422,4 ,2010KW03,100.3,0.0,-0.5,4349,5.7,-3.1,242058,1053
423,4 ,2010KW04,99.7,-0.6,-0.8,4533,4.2,-7.9,232324,1053
424,4 ,2010JJ00,100.0,-1.9,-1.9,16585,-2.8,-2.8,235424,3904
425,4 ,2011KW01,98.8,-0.9,-0.9,3640,-19.7,1.5,234464,853
426,4 ,2011KW02,98.9,0.1,-1.4,3948,8.5,-4.1,239453,945
427,4 ,2011KW03,97.8,-1.1,-2.5,4101,3.9,-5.7,233607,958
428,4 ,2011KW04,96.1,-1.8,-3.7,4259,3.9,-6.0,223621,952
429,4 ,2011JJ00,97.9,-2.1,-2.1,15948,-3.8,-3.8,232583,3709
430,4 ,2012KW01,94.9,-1.2,-4.0,3180,-25.3,-12.6,229628,730
431,4 ,2012KW02,93.9,-1.1,-5.1,4900,54.1,24.1,229484,1124
432,4 ,2012KW03,89.6,-4.5,-8.4,3059,-37.6,-25.4,204252,625
433,4 ,2012KW04,89.9,0.2,-6.5,5080,66.1,19.3,208913,1061
434,4 ,2012JJ00,92.1,-6.0,-6.0,16219,1.7,1.7,218310,3541
435,4 ,2013KW01,87.7,-2.4,-7.6,3275,-35.5,3.0,206847,677
436,4 ,2013KW02,85.9,-2.0,-8.5,2934,-10.4,-40.1,202314,594
437,4 ,2013KW03,86.0,0.2,-4.0,4053,38.1,32.5,202704,822
438,4 ,2013KW04,86.2,0.2,-4.1,4951,22.2,-2.5,204988,1015
439,4 ,2013JJ00,86.4,-6.1,-6.1,15213,-6.2,-6.2,204264,3107
440,4 ,2014KW01,86.5,0.4,-1.3,3883,-21.6,18.6,206743,803
441,4 ,2014KW02,87.2,0.7,1.5,4683,20.6,59.6,210275,985
442,4 ,2014KW03,88.0,0.9,2.2,5219,11.4,28.8,217585,1136
443,4 ,2014KW04,88.6,0.7,2.8,6609,26.6,33.5,213313,1410
444,4 ,2014JJ00,87.6,1.3,1.3,20394,34.1,34.1,212458,4333
445,4 ,2015KW01,89.2,0.7,3.1,4677,-29.2,20.4,217100,1015
446,4 ,2015KW02,89.5,0.3,2.7,5386,15.2,15.0,222678,1199
447,4 ,2015KW03,91.5,2.3,4.1,6748,25.3,29.3,229148,1546
448,4 ,2015KW04,91.6,0.0,3.4,6722,-0.4,1.7,224602,1510
449,4 ,2015JJ00,90.5,3.3,3.3,23533,15.4,15.4,223974,5271
450,4 ,2016KW01,93.3,1.9,4.5,5288,-21.3,13.1,232082,1227
451,4 ,2016KW02,94.4,1.2,5.4,6369,20.4,18.3,235471,1500
452,4 ,2016KW03,96.6,2.4,5.6,7867,23.5,16.6,245752,1933
453,4 ,2016KW04,97.6,1.1,6.7,7663,-2.6,14.0,242017,1855
454,4 ,2016JJ00,95.5,5.6,5.6,27187,15.5,15.5,239632,6515
455,4 ,2017KW01,99.6,2.0,6.8,7176,-6.4,35.7,252880,1815
456,4 ,2017KW02,101.6,2.0,7.6,7497,4.5,17.7,255345,1914
457,4 ,2017KW03,104.0,2.4,7.7,8074,7.7,2.6,259113,2092
458,4 ,2017KW04,105.8,1.7,8.4,8847,9.6,15.5,259854,2299
459,4 ,2017JJ00,102.7,7.6,7.6,31594,16.2,16.2,257011,8120
460,5 ,1995KW01,37.2,,,3611,,,98194,355
461,5 ,1995KW02,37.6,0.9,,4763,31.9,,98695,470
462,5 ,1995KW03,38.9,3.5,,5182,8.8,,105896,549
463,5 ,1995KW04,39.6,2.0,,5723,10.4,,103738,594
464,5 ,1995JJ00,38.3,,,19279,,,102034,1967
465,5 ,1996KW01,40.7,2.6,9.2,4046,-29.3,12.0,108108,437
466,5 ,1996KW02,41.9,3.1,11.7,5164,27.6,8.4,111363,575
467,5 ,1996KW03,43.2,3.0,11.2,5676,9.9,9.5,116526,661
468,5 ,1996KW04,44.5,2.9,12.2,5809,2.3,1.5,117008,680
469,5 ,1996JJ00,42.6,11.1,11.1,20695,7.3,7.3,113727,2354
470,5 ,1997KW01,45.8,2.9,12.5,3898,-32.9,-3.7,120608,470
471,5 ,1997KW02,46.9,2.6,11.9,5432,39.4,5.2,124786,678
472,5 ,1997KW03,48.2,2.7,11.5,5861,7.9,3.3,129519,759
473,5 ,1997KW04,49.4,2.5,11.0,6023,2.8,3.7,130794,788
474,5 ,1997JJ00,47.6,11.7,11.7,21214,2.5,2.5,127032,2695
475,5 ,1998KW01,50.9,3.0,11.2,4186,-30.5,7.4,133441,559
476,5 ,1998KW02,51.9,2.1,10.6,5502,31.4,1.3,133629,735
477,5 ,1998KW03,54.0,3.9,12.0,5833,6.0,-0.5,145139,847
478,5 ,1998KW04,55.5,2.8,12.3,6229,6.8,3.4,145452,906
479,5 ,1998JJ00,53.0,11.5,11.5,21750,2.5,2.5,140066,3046
480,5 ,1999KW01,57.1,3.0,12.3,4458,-28.4,6.5,152275,679
481,5 ,1999KW02,59.6,4.4,14.8,5753,29.0,4.6,157218,904
482,5 ,1999KW03,62.8,5.3,16.3,6293,9.4,7.9,170287,1072
483,5 ,1999KW04,65.5,4.4,18.1,6389,1.5,2.6,176414,1127
484,5 ,1999JJ00,61.2,15.4,15.4,22893,5.3,5.3,165205,3782
485,5 ,2000KW01,68.0,3.9,19.1,4210,-34.1,-5.6,182938,770
486,5 ,2000KW02,71.2,4.7,19.5,5246,24.6,-8.8,192652,1011
487,5 ,2000KW03,74.1,4.0,18.0,5518,5.2,-12.3,201373,1111
488,5 ,2000KW04,75.5,2.0,15.3,6003,8.8,-6.0,204261,1226
489,5 ,2000JJ00,72.2,17.9,17.9,20977,-8.4,-8.4,196319,4118
490,5 ,2001KW01,77.6,2.7,14.1,3951,-34.2,-6.2,208188,823
491,5 ,2001KW02,79.1,2.0,11.1,5316,34.5,1.3,210826,1121
492,5 ,2001KW03,81.7,3.3,10.3,5666,6.6,2.7,218204,1236
493,5 ,2001KW04,82.4,0.8,9.1,6230,10.0,3.8,218669,1362
494,5 ,2001JJ00,80.2,11.1,11.1,21163,0.9,0.9,214618,4542
495,5 ,2002KW01,83.7,1.6,7.9,4801,-22.9,21.5,223506,1073
496,5 ,2002KW02,85.0,1.6,7.5,5370,11.9,1.0,228508,1227
497,5 ,2002KW03,85.8,0.8,4.9,5747,7.0,1.4,233035,1339
498,5 ,2002KW04,86.0,0.3,4.4,5534,-3.7,-11.2,227866,1261
499,5 ,2002JJ00,85.1,6.1,6.1,21452,1.4,1.4,228436,4900
500,5 ,2003KW01,86.5,0.6,3.3,4207,-24.0,-12.4,229354,965
501,5 ,2003KW02,87.1,0.7,2.5,5046,19.9,-6.0,230577,1163
502,5 ,2003KW03,88.1,1.1,2.7,5317,5.4,-7.5,233996,1244
503,5 ,2003KW04,88.9,0.9,3.3,6287,18.2,13.6,234569,1475
504,5 ,2003JJ00,87.7,3.0,3.0,20857,-2.8,-2.8,232405,4847
