ID,RegioS,Perioden,TotaleOppervlakte_1,TotaalAgrarischGebruik_2,Glastuinbouw_3,OverigAgrarischGebruik_4,Bossen_5,TotaalBebouwdeGrond_6,Woongebied_7,Delfstoffenwinning_8,Bedrijfsterreinen_9,DienstverlenendeSector_10,OverigeOpenbareVoorzieningen_11,SociaalCultureleVoorzieningen_12,TotaalVerkeer_13,SpoorTramEnMetrowegen_14,VerhardeWegen_15,OnverhardeEnHalfverhardeWegen_16,Vliegvelden_17,TotaalRecreatie_18,ParkenEnPlantsoenen_19,Sportterreinen_20,Dagrecreatie_21,Volkstuinen_22,Verblijfsrecreatie_23,TotaalNatuurlijkTerrein_24,DroogNatuurlijkTerrein_25,NatNatuurlijkTerrein_26,TotaalOverigeGronden_27,Stortplaatsen_28,Wrakkenopslagplaatsen_29,Begraafplaatsen_30,BouwterreinVoorBedrijfsterreinen_31,BouwterreinVoorOverigeBestemmingen_32,OverigeGronden_33,TotaalWater_34,IJsselmeer_35,SpaarbekkensWaterreservoirs_36,WaterMetRecreatieveHoofdfunctie_37,OverigWaterBrederDan6Meter_38,WaddenzeeEemsDollard_39,OosterEnWesterschelde_40,Noordzee_41
2449,LB2706,1993JJ00,815983.0,401107.0,881.0,400226.0,4819.0,124987.0,85729.0,65.0,25783.0,4663.0,3794.0,4953.0,33165.0,4956.0,27607.0,602.0,0.0,39706.0,12020.0,13675.0,8378.0,4588.0,1045.0,12646.0,266.0,12380.0,27731.0,2114.0,224.0,1684.0,12968.0,6538.0,4203.0,171824.0,96464.0,0.0,4148.0,71212.0,0.0,0.0,0.0
2450,LB2706,1996JJ00,826768.0,389696.0,651.0,389045.0,8242.0,130939.0,89425.0,65.0,27915.0,4642.0,2857.0,6035.0,35354.0,5266.0,29071.0,1017.0,0.0,39080.0,13248.0,14155.0,6201.0,4462.0,1014.0,13800.0,38.0,13762.0,26705.0,2975.0,204.0,1645.0,10318.0,7691.0,3872.0,182952.0,107426.0,0.0,4115.0,71411.0,0.0,0.0,0.0
2451,LB2707,1989JJ00,275177.0,86955.0,84.0,86871.0,28689.0,53791.0,41888.0,0.0,5457.0,640.0,1792.0,4014.0,12833.0,2131.0,9614.0,549.0,539.0,12861.0,2286.0,4686.0,3150.0,1244.0,1495.0,18466.0,8951.0,9515.0,4625.0,303.0,50.0,984.0,209.0,2472.0,607.0,56943.0,17325.0,0.0,239.0,39379.0,0.0,0.0,0.0
2452,LB2707,1993JJ00,275067.0,86067.0,106.0,85961.0,29156.0,54970.0,42621.0,0.0,5645.0,867.0,1777.0,4060.0,13444.0,2220.0,10136.0,549.0,539.0,13458.0,2315.0,4699.0,3591.0,1279.0,1574.0,17859.0,8613.0,9246.0,3264.0,303.0,50.0,992.0,162.0,1258.0,499.0,56837.0,17323.0,0.0,932.0,38582.0,0.0,0.0,0.0
2453,LB2707,1996JJ00,281183.0,85240.0,139.0,85101.0,31483.0,55306.0,42703.0,0.0,5848.0,1065.0,2226.0,3464.0,14028.0,2432.0,10456.0,601.0,539.0,13643.0,2746.0,4824.0,3449.0,1062.0,1562.0,16791.0,8172.0,8619.0,2977.0,342.0,62.0,953.0,164.0,996.0,460.0,61715.0,22441.0,0.0,1012.0,38262.0,0.0,0.0,0.0
2454,LB2708,1989JJ00,356652.0,94454.0,286.0,94168.0,36655.0,82773.0,58653.0,39.0,14740.0,1923.0,1923.0,5495.0,13239.0,2282.0,10899.0,58.0,0.0,21551.0,6324.0,8588.0,1901.0,1588.0,3150.0,73607.0,72954.0,653.0,5001.0,314.0,0.0,1269.0,1616.0,1190.0,612.0,29380.0,0.0,0.0,78.0,13777.0,0.0,0.0,15525.0
2455,LB2708,1993JJ00,380515.0,82733.0,399.0,82334.0,36658.0,85873.0,60622.0,31.0,15732.0,2008.0,1968.0,5512.0,13156.0,2297.0,10806.0,53.0,0.0,23124.0,6360.0,9961.0,1832.0,1786.0,3185.0,72228.0,71662.0,566.0,6989.0,314.0,0.0,1269.0,1606.0,3183.0,617.0,59752.0,0.0,0.0,78.0,13384.0,0.0,0.0,46290.0
2456,LB2708,1996JJ00,380506.0,78718.0,721.0,77997.0,38521.0,88493.0,62134.0,31.0,16385.0,2041.0,2085.0,5817.0,15452.0,2273.0,12547.0,479.0,153.0,23877.0,5811.0,10561.0,2309.0,1737.0,3459.0,70782.0,70214.0,568.0,3957.0,523.0,0.0,1262.0,1197.0,633.0,342.0,60706.0,0.0,0.0,85.0,14347.0,0.0,0.0,46274.0
2457,LB2801,1989JJ00,680581.0,406141.0,2303.0,403838.0,13602.0,50357.0,38942.0,0.0,7724.0,804.0,1121.0,1766.0,26798.0,863.0,25236.0,699.0,0.0,18748.0,4436.0,4941.0,5792.0,1276.0,2303.0,26633.0,9101.0,17532.0,6740.0,353.0,43.0,564.0,2500.0,1191.0,2089.0,131560.0,0.0,1968.0,568.0,106280.0,0.0,0.0,22744.0
2458,LB2801,1993JJ00,696761.0,401787.0,2514.0,399273.0,13490.0,52713.0,40175.0,0.0,8703.0,804.0,1206.0,1825.0,26958.0,863.0,25417.0,678.0,0.0,20698.0,4546.0,6212.0,5779.0,1614.0,2547.0,26266.0,8769.0,17497.0,7382.0,334.0,57.0,572.0,2253.0,2097.0,2069.0,147468.0,0.0,1968.0,568.0,105047.0,0.0,0.0,39885.0
2459,LB2801,1996JJ00,696762.0,396662.0,3327.0,393335.0,21129.0,56240.0,43036.0,0.0,9575.0,842.0,1087.0,1700.0,27002.0,822.0,26028.0,152.0,0.0,19912.0,4518.0,6294.0,4938.0,1522.0,2640.0,21468.0,8080.0,13388.0,7206.0,335.0,49.0,694.0,2175.0,1864.0,2089.0,147143.0,0.0,1884.0,608.0,104766.0,0.0,0.0,39885.0
2460,LB2802,1989JJ00,440999.0,97034.0,3371.0,93663.0,7366.0,142142.0,76984.0,88.0,52732.0,4361.0,3021.0,4956.0,30863.0,8489.0,21609.0,162.0,603.0,34843.0,15348.0,12074.0,2808.0,4054.0,559.0,5987.0,4541.0,1446.0,32272.0,87.0,168.0,1703.0,18780.0,6001.0,5533.0,90491.0,0.0,71.0,87.0,73302.0,0.0,0.0,17031.0
