ID,Sectoren,COFOGOverheidsfuncties,Perioden,Overheidsconsumptie_1
3339,30,12800 ,2004JJ00,48.0
3340,30,12800 ,2005JJ00,46.0
3341,30,12800 ,2006JJ00,51.0
3342,30,12800 ,2007JJ00,60.0
3343,30,12800 ,2008JJ00,67.0
3344,30,12800 ,2009JJ00,65.0
3345,30,12800 ,2010JJ00,55.0
3346,30,12800 ,2011JJ00,58.0
3347,30,12800 ,2012JJ00,56.0
3348,30,12900 ,1995JJ00,-9.0
3349,30,12900 ,1996JJ00,-8.0
3350,30,12900 ,1997JJ00,-11.0
3351,30,12900 ,1998JJ00,-6.0
3352,30,12900 ,1999JJ00,-8.0
3353,30,12900 ,2000JJ00,-10.0
3354,30,12900 ,2001JJ00,-8.0
3355,30,12900 ,2002JJ00,-7.0
3356,30,12900 ,2003JJ00,-9.0
3357,30,12900 ,2004JJ00,-12.0
3358,30,12900 ,2005JJ00,-14.0
3359,30,12900 ,2006JJ00,-36.0
3360,30,12900 ,2007JJ00,-13.0
3361,30,12900 ,2008JJ00,0.0
3362,30,12900 ,2009JJ00,4.0
3363,30,12900 ,2010JJ00,0.0
3364,30,12900 ,2011JJ00,3.0
3365,30,12900 ,2012JJ00,3.0
3366,30,13000 ,1995JJ00,24.0
3367,30,13000 ,1996JJ00,32.0
3368,30,13000 ,1997JJ00,33.0
3369,30,13000 ,1998JJ00,61.0
3370,30,13000 ,1999JJ00,89.0
3371,30,13000 ,2000JJ00,53.0
3372,30,13000 ,2001JJ00,77.0
3373,30,13000 ,2002JJ00,98.0
3374,30,13000 ,2003JJ00,116.0
3375,30,13000 ,2004JJ00,115.0
3376,30,13000 ,2005JJ00,102.0
3377,30,13000 ,2006JJ00,54.0
3378,30,13000 ,2007JJ00,55.0
3379,30,13000 ,2008JJ00,36.0
3380,30,13000 ,2009JJ00,189.0
3381,30,13000 ,2010JJ00,219.0
3382,30,13000 ,2011JJ00,204.0
3383,30,13000 ,2012JJ00,191.0
3384,30,13100 ,1995JJ00,1977.0
3385,30,13100 ,1996JJ00,2100.0
3386,30,13100 ,1997JJ00,2124.0
3387,30,13100 ,1998JJ00,2176.0
3388,30,13100 ,1999JJ00,2243.0
3389,30,13100 ,2000JJ00,2411.0
3390,30,13100 ,2001JJ00,2665.0
3391,30,13100 ,2002JJ00,2951.0
3392,30,13100 ,2003JJ00,3177.0
3393,30,13100 ,2004JJ00,3244.0
3394,30,13100 ,2005JJ00,3326.0
3395,30,13100 ,2006JJ00,3282.0
3396,30,13100 ,2007JJ00,3586.0
3397,30,13100 ,2008JJ00,3815.0
3398,30,13100 ,2009JJ00,4147.0
3399,30,13100 ,2010JJ00,4189.0
3400,30,13100 ,2011JJ00,4395.0
3401,30,13100 ,2012JJ00,4295.0
3402,30,13200 ,1995JJ00,7.0
3403,30,13200 ,1996JJ00,7.0
3404,30,13200 ,1997JJ00,7.0
3405,30,13200 ,1998JJ00,9.0
3406,30,13200 ,1999JJ00,12.0
3407,30,13200 ,2000JJ00,19.0
3408,30,13200 ,2001JJ00,63.0
3409,30,13200 ,2002JJ00,31.0
3410,30,13200 ,2003JJ00,37.0
3411,30,13200 ,2004JJ00,36.0
3412,30,13200 ,2005JJ00,37.0
3413,30,13200 ,2006JJ00,42.0
3414,30,13200 ,2007JJ00,19.0
3415,30,13200 ,2008JJ00,22.0
3416,30,13200 ,2009JJ00,24.0
3417,30,13200 ,2010JJ00,24.0
3418,30,13200 ,2011JJ00,30.0
3419,30,13200 ,2012JJ00,31.0
3420,30,13300 ,1995JJ00,494.0
3421,30,13300 ,1996JJ00,509.0
3422,30,13300 ,1997JJ00,532.0
3423,30,13300 ,1998JJ00,594.0
3424,30,13300 ,1999JJ00,633.0
3425,30,13300 ,2000JJ00,675.0
3426,30,13300 ,2001JJ00,700.0
3427,30,13300 ,2002JJ00,780.0
3428,30,13300 ,2003JJ00,889.0
3429,30,13300 ,2004JJ00,897.0
3430,30,13300 ,2005JJ00,882.0
3431,30,13300 ,2006JJ00,880.0
3432,30,13300 ,2007JJ00,920.0
3433,30,13300 ,2008JJ00,981.0
3434,30,13300 ,2009JJ00,1042.0
3435,30,13300 ,2010JJ00,1111.0
3436,30,13300 ,2011JJ00,1169.0
3437,30,13300 ,2012JJ00,1191.0
3438,30,13400 ,1995JJ00,0.0
3439,30,13400 ,1996JJ00,0.0
3440,30,13400 ,1997JJ00,1.0
3441,30,13400 ,1998JJ00,1.0
3442,30,13400 ,1999JJ00,1.0
3443,30,13400 ,2000JJ00,1.0
3444,30,13400 ,2001JJ00,1.0
3445,30,13400 ,2002JJ00,1.0
