ID,CentraleDecentraleProductie,Energiedragers,Perioden,TotaalElektriciteitEnWarmteTJ_1,ElektriciteitMWh_2,ElektriciteitTJ_3,Elektriciteit_4,WarmteTJ_5,InzetTJ_6
178,E007022,E006565,2014JJ00,56527.0,11707203.0,42146.0,11.3,14381.0,72929.0
179,E007022,E006565,2015JJ00,66109.0,13686938.0,49273.0,12.4,16836.0,73077.0
180,E007022,E006565,2016JJ00,69265.0,14781194.0,53212.0,12.8,16052.0,74474.0
181,E007022,E006565,2017JJ00,81527.0,17438536.0,62779.0,14.9,18749.0,73655.0
182,E007022,E006565,2018JJ00,85559.0,18881842.0,67975.0,16.5,17585.0,72042.0
183,E007022,E006565,2019JJ00,102845.0,22803191.0,82091.0,18.8,20754.0,85261.0
184,E007022,E006565,2020JJ00,140616.0,32729486.0,117826.0,26.5,22790.0,112414.0
185,E007022,E006565,2021JJ00,172036.0,40433031.0,145559.0,33.1,26477.0,133298.0
186,E007022,E006565,2022JJ00,196175.0,48094544.0,173140.0,39.6,23035.0,122722.0
187,E007022,E006565,2023JJ00,225065.0,56951687.0,205026.0,46.8,20039.0,99613.0
188,E007022,E006565,2024JJ00,243700.0,62099273.0,223557.0,50.1,20143.0,89341.0
189,E007022,E006590,1998JJ00,13.0,3500.0,13.0,0.0,,
190,E007022,E006590,1999JJ00,19.0,5270.0,19.0,0.0,,
191,E007022,E006590,2000JJ00,28.0,7710.0,28.0,0.0,,
192,E007022,E006590,2001JJ00,47.0,13060.0,47.0,0.0,,
193,E007022,E006590,2002JJ00,61.0,17040.0,61.0,0.0,,
194,E007022,E006590,2003JJ00,111.0,30740.0,111.0,0.0,,
195,E007022,E006590,2004JJ00,119.0,33140.0,119.0,0.0,,
196,E007022,E006590,2005JJ00,123.0,34199.0,123.0,0.0,,
197,E007022,E006590,2006JJ00,127.0,35223.0,127.0,0.0,,
198,E007022,E006590,2007JJ00,129.0,35712.0,129.0,0.0,,
199,E007022,E006590,2008JJ00,140.0,38889.0,140.0,0.0,,
200,E007022,E006590,2009JJ00,160.0,44444.0,160.0,0.0,,
201,E007022,E006590,2010JJ00,214.0,59444.0,214.0,0.1,,
202,E007022,E006590,2011JJ00,361.0,100344.0,361.0,0.1,,
203,E007022,E006590,2012JJ00,914.0,253753.0,914.0,0.2,,
204,E007022,E006590,2013JJ00,1857.0,515900.0,1857.0,0.5,,
205,E007022,E006590,2014JJ00,2825.0,784762.0,2825.0,0.8,,
206,E007022,E006590,2015JJ00,3991.0,1108520.0,3991.0,1.0,,
207,E007022,E006590,2016JJ00,5767.0,1601808.0,5767.0,1.4,,
208,E007022,E006590,2017JJ00,7936.0,2204346.0,7936.0,1.9,,
209,E007022,E006590,2018JJ00,13348.0,3707792.0,13348.0,3.2,,
210,E007022,E006590,2019JJ00,19438.0,5399406.0,19438.0,4.4,,
211,E007022,E006590,2020JJ00,30841.0,8567013.0,30841.0,6.9,,
212,E007022,E006590,2021JJ00,40694.0,11303873.0,40694.0,9.3,,
213,E007022,E006590,2022JJ00,59972.0,16658849.0,59972.0,13.7,,
214,E007022,E006590,2023JJ00,70586.0,19607192.0,70586.0,16.1,,
215,E007022,E006590,2024JJ00,78560.0,21822201.0,78560.0,17.6,,
216,E007022,E006588,1998JJ00,2304.0,640000.0,2304.0,0.7,,
217,E007022,E006588,1999JJ00,2322.0,645000.0,2322.0,0.7,,
218,E007022,E006588,2000JJ00,2984.0,829000.0,2984.0,0.9,,
219,E007022,E006588,2001JJ00,2970.0,825000.0,2970.0,0.9,,
220,E007022,E006588,2002JJ00,3406.0,946000.0,3406.0,1.0,,
221,E007022,E006588,2003JJ00,4745.0,1318000.0,4745.0,1.3,,
222,E007022,E006588,2004JJ00,6721.0,1867000.0,6721.0,1.8,,
223,E007022,E006588,2005JJ00,7441.0,2067000.0,7441.0,2.1,,
224,E007022,E006588,2006JJ00,9842.0,2734000.0,9842.0,2.8,,
225,E007022,E006588,2007JJ00,12373.0,3437000.0,12373.0,3.3,,
226,E007022,E006588,2008JJ00,15330.0,4258333.0,15330.0,3.9,,
227,E007022,E006588,2009JJ00,16500.0,4583333.0,16500.0,4.0,,
228,E007022,E006588,2010JJ00,14375.0,3993056.0,14375.0,3.4,,
229,E007022,E006588,2011JJ00,18361.0,5100171.0,18361.0,4.5,,
230,E007022,E006588,2012JJ00,17935.0,4981829.0,17935.0,4.9,,
231,E007022,E006588,2013JJ00,20258.0,5627148.0,20258.0,5.6,,
232,E007022,E006588,2014JJ00,20870.0,5797334.0,20870.0,5.6,,
233,E007022,E006588,2015JJ00,27179.0,7549858.0,27179.0,6.8,,
234,E007022,E006588,2016JJ00,29414.0,8170446.0,29414.0,7.1,,
235,E007022,E006588,2017JJ00,38048.0,10568801.0,38048.0,9.0,,
236,E007022,E006588,2018JJ00,37975.0,10548511.0,37975.0,9.2,,
237,E007022,E006588,2019JJ00,41429.0,11507927.0,41429.0,9.5,,
238,E007022,E006588,2020JJ00,55000.0,15277726.0,55000.0,12.4,,
239,E007022,E006588,2021JJ00,65244.0,18123360.0,65244.0,14.8,,
240,E007022,E006588,2022JJ00,77637.0,21565971.0,77637.0,17.7,,
241,E007022,E006588,2023JJ00,106683.0,29634139.0,106683.0,24.4,,
242,E007022,E006588,2024JJ00,120634.0,33509406.0,120634.0,27.1,,
243,E007022,E006587,1998JJ00,404.0,112310.0,404.0,0.1,,
244,E007022,E006587,1999JJ00,325.0,90249.0,325.0,0.1,,
245,E007022,E006587,2000JJ00,513.0,142393.0,513.0,0.2,,
246,E007022,E006587,2001JJ00,422.0,117324.0,422.0,0.1,,
247,E007022,E006587,2002JJ00,395.0,109636.0,395.0,0.1,,
248,E007022,E006587,2003JJ00,259.0,72023.0,259.0,0.1,,
249,E007022,E006587,2004JJ00,345.0,95732.0,345.0,0.1,,
250,E007022,E006587,2005JJ00,317.0,88000.0,317.0,0.1,,
251,E007022,E006587,2006JJ00,379.0,105199.0,379.0,0.1,,
252,E007022,E006587,2007JJ00,385.0,107000.0,385.0,0.1,,
253,E007022,E006587,2008JJ00,360.0,100000.0,360.0,0.1,,
254,E007022,E006587,2009JJ00,350.0,97222.0,350.0,0.1,,
255,E007022,E006587,2010JJ00,375.0,104167.0,375.0,0.1,,
256,E007022,E006587,2011JJ00,205.0,57000.0,205.0,0.1,,
257,E007022,E006587,2012JJ00,376.0,104388.0,376.0,0.1,,
258,E007022,E006587,2013JJ00,412.0,114312.0,412.0,0.1,,
259,E007022,E006587,2014JJ00,403.0,111925.0,403.0,0.1,,
260,E007022,E006587,2015JJ00,334.0,92700.0,334.0,0.1,,
261,E007022,E006587,2016JJ00,360.0,100079.0,360.0,0.1,,
262,E007022,E006587,2017JJ00,219.0,60757.0,219.0,0.1,,
263,E007022,E006587,2018JJ00,260.0,72348.0,260.0,0.1,,
264,E007022,E006587,2019JJ00,267.0,74182.0,267.0,0.1,,
265,E007022,E006587,2020JJ00,166.0,46066.0,166.0,0.0,,
266,E007022,E006587,2021JJ00,318.0,88240.0,318.0,0.1,,
267,E007022,E006587,2022JJ00,180.0,49998.0,180.0,0.0,,
268,E007022,E006587,2023JJ00,250.0,69369.0,250.0,0.1,,
269,E007022,E006587,2024JJ00,307.0,85391.0,307.0,0.1,,
270,E007022,E006566,1998JJ00,7916.0,1590281.0,5725.0,1.7,2191.0,25697.0
271,E007022,E006566,1999JJ00,8434.0,1788338.0,6438.0,2.0,1996.0,27769.0
272,E007022,E006566,2000JJ00,9067.0,2013194.0,7247.0,2.2,1819.0,30625.0
273,E007022,E006566,2001JJ00,10719.0,2358034.0,8489.0,2.5,2230.0,34459.0
274,E007022,E006566,2002JJ00,13121.0,2906752.0,10464.0,3.1,2656.0,39193.0
