ID,BestemmingVanInvoer,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12
1916,300010,2004JJ00,8091.0,8169.0,-2.9,99.0,1418.0,1385.0,-4.0,102.4,6673.0,6782.0,-2.6,98.4
1917,300010,2005JJ00,8407.0,8407.0,2.9,100.0,1376.0,1376.0,-0.6,100.0,7031.0,7031.0,3.7,100.0
1918,300010,2006JJ00,8720.0,8598.0,2.3,101.4,1501.0,1532.0,11.3,98.0,7219.0,7066.0,0.5,102.2
1919,300010,2007JJ00,8906.0,8610.0,0.1,103.4,1572.0,1577.0,2.9,99.7,7334.0,7035.0,-0.4,104.3
1920,300010,2008JJ00,9052.0,8506.0,-1.2,106.4,1566.0,1558.0,-1.2,100.5,7486.0,6950.0,-1.2,107.7
1921,300010,2009JJ00,9031.0,8362.0,-1.7,108.0,1505.0,1551.0,-0.4,97.0,7526.0,6814.0,-2.0,110.5
1922,300010,2010JJ00,9567.0,8761.0,4.8,109.2,1578.0,1617.0,4.3,97.6,7989.0,7146.0,4.9,111.8
1923,300010,2011JJ00,10044.0,9083.0,3.7,110.6,1600.0,1615.0,-0.1,99.1,8444.0,7463.0,4.4,113.1
1924,300010,2012JJ00,10574.0,9449.0,4.0,111.9,1625.0,1597.0,-1.1,101.8,8949.0,7837.0,5.0,114.2
1925,403300,1988JJ00,1473.0,1898.0,,77.6,296.0,176.0,,168.1,1177.0,1809.0,,65.1
1926,403300,1989JJ00,1704.0,2177.0,14.7,78.3,330.0,204.0,15.9,161.8,1374.0,2068.0,14.4,66.4
1927,403300,1990JJ00,1835.0,2339.0,7.5,78.5,390.0,258.0,26.7,150.9,1445.0,2127.0,2.8,67.9
