ID,BronTechniek,Perioden,Elektriciteitsproductie_1,AandeelInTotaalElektriciteitsverbruik_2,Elektriciteitsproductie_3,AandeelInTotaalElektriciteitsverbruik_4,Elektriciteitsproductie_5,AandeelInTotaalElektriciteitsverbruik_6,Elektriciteit_7,AandeelInTotaalElektriciteitsverbruik_8,Elektriciteit_9,AandeelInTotaalElektriciteitsverbruik_10
740,19100,2003KW04,,,,,,,,,,
741,19100,2003JJ00,1208.0,1.06,1208.0,1.06,946.0,0.86,,,,
742,19100,2004KW01,,,,,,,,,,
743,19100,2004KW02,,,,,,,,,,
744,19100,2004KW03,,,,,,,,,,
745,19100,2004KW04,,,,,,,,,,
746,19100,2004JJ00,1178.0,0.99,1178.0,0.99,915.0,0.8,,,,
747,19100,2005KW01,,,,,,,,,,
748,19100,2005KW02,,,,,,,,,,
749,19100,2005KW03,,,,,,,,,,
750,19100,2005KW04,,,,,,,,,,
751,19100,2005JJ00,1266.0,1.07,1266.0,1.07,984.0,0.86,,,,
752,19100,2006KW01,,,,,,,,,,
753,19100,2006KW02,,,,,,,,,,
754,19100,2006KW03,,,,,,,,,,
755,19100,2006KW04,,,,,,,,,,
756,19100,2006JJ00,1312.0,1.09,1312.0,1.09,1013.0,0.87,,,,
757,19100,2007KW01,,,,,,,,,,
758,19100,2007KW02,,,,,,,,,,
759,19100,2007KW03,,,,,,,,,,
760,19100,2007KW04,,,,,,,,,,
761,19100,2007JJ00,1395.0,1.14,1395.0,1.14,1095.0,0.92,,,,
762,19100,2008KW01,,,377.0,1.14,286.0,0.89,,,,
763,19100,2008KW02,,,328.0,1.12,249.0,0.88,,,,
764,19100,2008KW03,,,340.0,1.16,258.0,0.92,,,,
765,19100,2008KW04,,,365.0,1.12,277.0,0.88,,,,
766,19100,2008JJ00,1409.0,1.14,1409.0,1.14,1070.0,0.89,,,,
767,19100,2009KW01,,,347.0,1.1,267.0,0.88,,,,
768,19100,2009KW02,,,378.0,1.36,291.0,1.08,,,,
769,19100,2009KW03,,,400.0,1.46,307.0,1.17,,,,
770,19100,2009KW04,,,446.0,1.41,343.0,1.12,,,,
771,19100,2009JJ00,1572.0,1.33,1572.0,1.33,1207.0,1.06,,,,
772,19100,2010KW01,,,423.0,1.34,335.0,1.1,,,,
773,19100,2010KW02,,,437.0,1.55,346.0,1.27,,,,
774,19100,2010KW03,,,467.0,1.65,370.0,1.34,,,,
775,19100,2010KW04,,,436.0,1.33,346.0,1.09,,,,
776,19100,2010JJ00,1763.0,1.46,1763.0,1.46,1397.0,1.19,,,,
