ID,Periods,PriceIndices_1,ChangesComparedToOneYearEarlier_2,PriceIndices_3,ChangesComparedToOneYearEarlier_4,PriceIndices_5,ChangesComparedToOneYearEarlier_6
241,2008MM08,131.9,5.8,127.8,4.3,133.3,6.6
242,2008MM09,131.4,5.7,127.8,4.3,132.7,6.5
243,2008MM10,130.8,4.9,127.8,4.3,131.7,5.3
244,2008MM11,130.3,4.6,127.8,4.3,130.9,4.7
245,2008MM12,129.9,4.2,127.8,4.3,130.2,4.0
246,2008JJ00,129.8,4.6,126.6,3.9,130.7,5.0
247,2009MM01,131.1,3.2,130.0,4.6,130.8,2.3
248,2009MM02,131.3,3.0,131.0,5.0,130.5,1.8
249,2009MM03,131.1,2.7,131.0,5.0,130.3,1.5
250,2009MM04,130.4,0.8,131.2,3.9,129.0,-0.9
251,2009MM05,130.4,0.6,131.2,3.9,129.0,-1.3
252,2009MM06,130.3,0.1,131.3,3.9,128.9,-1.9
253,2009MM07,129.8,-1.6,131.5,2.9,128.0,-4.0
254,2009MM08,129.9,-1.5,131.5,2.9,128.4,-3.7
255,2009MM09,130.0,-1.1,131.5,2.9,128.4,-3.3
256,2009MM10,129.0,-1.4,131.9,3.2,126.5,-3.9
257,2009MM11,129.0,-1.0,131.9,3.2,126.5,-3.3
258,2009MM12,129.0,-0.7,131.3,2.7,126.9,-2.5
259,2009JJ00,130.1,0.3,131.3,3.7,128.6,-1.6
260,2010MM01,129.7,-1.1,133.5,2.8,126.8,-3.1
261,2010MM02,129.9,-1.1,133.5,1.9,127.0,-2.7
262,2010MM03,130.4,-0.5,133.5,1.9,127.9,-1.8
263,2010MM04,130.8,0.4,133.5,1.8,128.6,-0.4
264,2010MM05,131.1,0.5,133.5,1.8,128.8,-0.2
265,2010MM06,130.8,0.4,133.5,1.7,128.5,-0.4
266,2010MM07,131.0,0.9,134.0,1.9,128.4,0.3
267,2010MM08,131.1,0.9,134.0,1.9,128.6,0.2
268,2010MM09,131.2,0.9,134.0,1.9,128.8,0.4
269,2010MM10,131.2,1.7,134.3,1.8,128.7,1.7
270,2010MM11,131.3,1.8,134.3,1.8,128.8,1.8
271,2010MM12,131.8,2.2,134.3,2.3,129.5,2.0
272,2010JJ00,130.9,0.6,133.8,1.9,128.4,-0.2
273,2011MM01,132.7,2.3,134.9,1.0,130.6,3.0
274,2011MM02,132.7,2.1,135.5,1.4,130.3,2.6
275,2011MM03,132.6,1.7,135.5,1.4,130.2,1.8
276,2011MM04,133.2,1.8,135.5,1.4,131.1,1.9
277,2011MM05,133.3,1.7,135.6,1.5,131.1,1.8
278,2011MM06,133.3,1.9,135.7,1.6,131.2,2.1
279,2011MM07,133.9,2.2,136.2,1.6,131.6,2.6
280,2011MM08,133.7,2.0,136.2,1.6,131.5,2.3
281,2011MM09,133.7,1.9,136.2,1.6,131.6,2.2
282,2011MM10,133.7,1.9,136.5,1.7,131.3,2.0
283,2011MM11,133.7,1.9,136.5,1.7,131.3,1.9
284,2011MM12,133.9,1.6,136.5,1.7,131.5,1.6
285,2011JJ00,133.4,1.9,135.9,1.6,131.1,2.1
286,2012MM01,135.0,1.7,137.5,1.9,132.8,1.6
287,2012MM02,135.3,1.9,138.0,1.9,132.9,2.0
288,2012MM03,135.4,2.1,138.0,1.9,133.0,2.2
289,2012MM04,135.6,1.9,139.0,2.6,132.9,1.4
290,2012MM05,135.7,1.8,139.0,2.5,133.0,1.5
291,2012MM06,135.7,1.8,139.1,2.5,133.0,1.4
