ID,Energiedragers,NederlandseEconomie,Perioden,Winning_1,IntermediairEnHuishoudelijkVerbruik_2,Invoer_3,Productie_4,NettoEnergieverbruik_5,Uitvoer_6
343,T001027,356900 ,2017JJ00,0.7,55.5,,0.3,55.9,
344,T001027,356900 ,2018JJ00,0.9,52.9,,0.5,53.4,
345,T001027,356900 ,2019JJ00,1.1,50.9,,0.7,51.4,
346,T001027,356900 ,2020JJ00,1.5,45.9,,1.0,46.4,
347,T001027,356900 ,2021JJ00,1.8,47.3,,1.3,47.9,
348,T001027,356900 ,2022JJ00,2.4,44.7,,1.7,45.4,
349,T001027,356900 ,2023JJ00,3.0,41.8,,1.9,42.9,
350,T001027,371600 ,2014JJ00,0.5,35.2,,0.2,35.5,
351,T001027,371600 ,2015JJ00,0.6,35.7,,0.3,36.1,
352,T001027,371600 ,2016JJ00,0.7,33.5,,0.3,33.9,
353,T001027,371600 ,2017JJ00,0.8,35.2,,0.3,35.6,
354,T001027,371600 ,2018JJ00,1.0,33.3,,0.5,33.8,
355,T001027,371600 ,2019JJ00,1.3,31.0,,0.8,31.5,
356,T001027,371600 ,2020JJ00,1.7,28.8,,1.1,29.4,
357,T001027,371600 ,2021JJ00,2.2,30.2,,1.5,30.8,
358,T001027,371600 ,2022JJ00,2.9,28.3,,2.1,29.1,
359,T001027,371600 ,2023JJ00,3.6,28.6,,2.4,29.8,
360,T001027,383100 ,2014JJ00,0.0,382.5,,0.0,382.5,
361,T001027,383100 ,2015JJ00,0.0,412.8,,0.0,412.8,
362,T001027,383100 ,2016JJ00,0.1,386.6,,0.1,386.6,
363,T001027,383100 ,2017JJ00,0.1,393.8,,0.1,393.8,
364,T001027,383100 ,2018JJ00,0.3,402.6,,0.3,402.6,
365,T001027,383100 ,2019JJ00,0.5,423.5,,0.5,423.5,
366,T001027,383100 ,2020JJ00,0.9,330.4,,0.9,330.4,
367,T001027,383100 ,2021JJ00,0.5,346.7,,0.5,346.7,
368,T001027,383100 ,2022JJ00,0.9,370.4,,0.9,370.4,
369,T001027,383100 ,2023JJ00,1.3,391.4,,1.0,391.8,
370,T001027,383200 ,2014JJ00,0.0,99.5,,0.0,99.5,
371,T001027,383200 ,2015JJ00,0.0,101.8,,0.0,101.8,
372,T001027,383200 ,2016JJ00,0.0,94.6,,0.0,94.6,
373,T001027,383200 ,2017JJ00,0.1,100.6,,0.1,100.6,
374,T001027,383200 ,2018JJ00,0.1,104.3,,0.1,104.3,
375,T001027,383200 ,2019JJ00,0.2,103.2,,0.2,103.2,
376,T001027,383200 ,2020JJ00,0.4,96.3,,0.4,96.3,
377,T001027,383200 ,2021JJ00,0.2,98.9,,0.2,98.9,
378,T001027,383200 ,2022JJ00,0.3,93.5,,0.3,93.5,
379,T001027,383200 ,2023JJ00,0.3,91.1,,0.3,91.1,
