ID,NECSectoren,EmissiesNaarLucht,Perioden,EmissiesNaarLucht_1
357,800044   ,A044118,2004JJ00,14.7
358,800044   ,A044118,2005JJ00,19.1
359,800044   ,A044118,2006JJ00,17.2
360,800044   ,A044118,2007JJ00,16.3
361,800044   ,A044118,2008JJ00,15.8
362,800044   ,A044118,2009JJ00,13.9
363,800044   ,A044118,2010JJ00,14.7
364,800044   ,A044118,2011JJ00,15.5
365,800044   ,A044118,2012JJ00,15.0
366,800044   ,A044118,2013JJ00,15.0
367,800044   ,A044118,2014JJ00,13.6
368,800044   ,A044118,2015JJ00,12.8
369,800044   ,A044118,2016JJ00,11.4
370,800044   ,A044118,2017JJ00,10.6
371,800044   ,A044118,2018JJ00,8.4
372,800044   ,A044118,2019JJ00,7.4
373,800044   ,A044118,2020JJ00,6.8
374,800044   ,A044118,2021JJ00,5.8
375,800044   ,A044118,2022JJ00,5.5
376,800044   ,A044118,2023JJ00,5.5
377,800044   ,A044118,2024JJ00,5.1
378,800044   ,A051771,1990JJ00,6.0
379,800044   ,A051771,1995JJ00,4.2
380,800044   ,A051771,2000JJ00,2.6
381,800044   ,A051771,2001JJ00,2.5
382,800044   ,A051771,2002JJ00,2.1
383,800044   ,A051771,2003JJ00,2.4
384,800044   ,A051771,2004JJ00,1.7
385,800044   ,A051771,2005JJ00,1.6
386,800044   ,A051771,2006JJ00,1.9
387,800044   ,A051771,2007JJ00,1.3
388,800044   ,A051771,2008JJ00,1.2
389,800044   ,A051771,2009JJ00,0.6
390,800044   ,A051771,2010JJ00,0.4
391,800044   ,A051771,2011JJ00,0.3
392,800044   ,A051771,2012JJ00,0.2
393,800044   ,A051771,2013JJ00,0.3
394,800044   ,A051771,2014JJ00,0.4
395,800044   ,A051771,2015JJ00,0.5
396,800044   ,A051771,2016JJ00,0.4
397,800044   ,A051771,2017JJ00,0.3
398,800044   ,A051771,2018JJ00,0.3
399,800044   ,A051771,2019JJ00,0.3
400,800044   ,A051771,2020JJ00,0.2
401,800044   ,A051771,2021JJ00,0.2
402,800044   ,A051771,2022JJ00,0.2
403,800044   ,A051771,2023JJ00,0.2
404,800044   ,A051771,2024JJ00,0.2
405,305800   ,A044111,1990JJ00,0.0
406,305800   ,A044111,1995JJ00,0.0
407,305800   ,A044111,2000JJ00,0.0
408,305800   ,A044111,2001JJ00,0.0
409,305800   ,A044111,2002JJ00,0.0
410,305800   ,A044111,2003JJ00,0.0
411,305800   ,A044111,2004JJ00,0.0
412,305800   ,A044111,2005JJ00,0.0
413,305800   ,A044111,2006JJ00,0.0
414,305800   ,A044111,2007JJ00,0.0
415,305800   ,A044111,2008JJ00,0.0
416,305800   ,A044111,2009JJ00,0.0
417,305800   ,A044111,2010JJ00,0.0
418,305800   ,A044111,2011JJ00,0.0
419,305800   ,A044111,2012JJ00,0.0
420,305800   ,A044111,2013JJ00,0.0
421,305800   ,A044111,2014JJ00,0.0
422,305800   ,A044111,2015JJ00,0.0
423,305800   ,A044111,2016JJ00,0.0
424,305800   ,A044111,2017JJ00,0.0
425,305800   ,A044111,2018JJ00,0.0
426,305800   ,A044111,2019JJ00,0.0
427,305800   ,A044111,2020JJ00,0.0
428,305800   ,A044111,2021JJ00,0.0
429,305800   ,A044111,2022JJ00,0.0
430,305800   ,A044111,2023JJ00,0.0
431,305800   ,A044111,2024JJ00,0.0
432,305800   ,A044112,1990JJ00,7.9
433,305800   ,A044112,1995JJ00,7.0
434,305800   ,A044112,2000JJ00,5.8
435,305800   ,A044112,2001JJ00,6.6
436,305800   ,A044112,2002JJ00,6.3
437,305800   ,A044112,2003JJ00,5.8
438,305800   ,A044112,2004JJ00,5.1
439,305800   ,A044112,2005JJ00,5.2
440,305800   ,A044112,2006JJ00,5.2
441,305800   ,A044112,2007JJ00,4.9
442,305800   ,A044112,2008JJ00,4.8
443,305800   ,A044112,2009JJ00,2.8
444,305800   ,A044112,2010JJ00,4.9
445,305800   ,A044112,2011JJ00,4.8
446,305800   ,A044112,2012JJ00,5.2
447,305800   ,A044112,2013JJ00,5.5
448,305800   ,A044112,2014JJ00,5.8
449,305800   ,A044112,2015JJ00,5.6
450,305800   ,A044112,2016JJ00,4.1
451,305800   ,A044112,2017JJ00,3.7
452,305800   ,A044112,2018JJ00,3.5
453,305800   ,A044112,2019JJ00,2.4
454,305800   ,A044112,2020JJ00,2.5
455,305800   ,A044112,2021JJ00,1.8
456,305800   ,A044112,2022JJ00,1.9
457,305800   ,A044112,2023JJ00,1.3
