ID,BedrijfstakkenBranches,Seizoencorrectie,Perioden,ProductieBedrAfgelopen3Mnd_1,ProductieBedrKomende3Mnd_2,OmzetAfgelopen3Mnd_3,OmzetKomende3Mnd_4,BuitenlandseOmzetAfgelopen3Mnd_5,BuitenlandseOmzetKomende3Mnd_6,VerkoopprijzenTarievenKomende3Mnd_7,PersoneelssterkteAfgelopen3Mnd_8,PersoneelssterkteKomende3Mnd_9,EconomischKlimaatAfgelopen3Mnd_10,WinstgevendheidAfgelopen3Mnd_11
97,301000,A042500,2018KW03,16.6,9.2,8.9,12.3,11.0,10.7,11.5,17.1,13.5,8.3,-6.2
98,301000,A042500,2018KW04,16.4,13.4,7.8,7.4,3.1,8.0,8.4,11.5,11.6,-1.3,-9.4
99,301000,A042500,2019KW01,15.8,13.6,17.2,10.2,8.4,7.1,14.2,16.8,13.1,-3.6,-2.8
100,301000,A042500,2019KW02,9.5,21.3,8.3,19.1,4.8,13.4,8.6,16.4,13.9,-0.1,-7.2
101,301000,A042500,2019KW03,20.9,19.6,22.1,19.5,17.3,14.1,8.5,15.3,14.8,1.9,5.8
102,301000,A042500,2019KW04,11.7,3.0,9.1,0.4,9.4,6.7,5.3,8.9,1.9,-10.6,-6.6
103,301000,A042500,2020KW01,10.9,0.7,9.5,6.2,2.6,7.4,12.4,16.0,9.9,-10.1,-6.5
104,301000,A042500,2020KW02,-6.2,-32.4,-3.3,-40.0,-0.9,-30.1,-20.4,-2.5,-8.2,-33.6,-24.7
105,301000,A042500,2020KW03,-9.1,5.9,-12.8,3.4,-1.5,5.3,5.1,0.4,1.0,-20.8,-15.5
106,301000,A042500,2020KW04,6.2,2.9,-1.0,1.0,-2.3,-0.4,-1.0,7.3,5.0,-15.9,-10.1
107,301000,A042500,2021KW01,-2.5,1.1,-5.4,-1.1,-0.4,-0.7,1.1,12.5,5.7,-10.9,-7.1
108,301000,A042500,2021KW02,14.1,10.9,17.3,11.1,4.2,13.9,18.2,-1.2,5.3,8.4,4.4
109,301000,A042500,2021KW03,14.8,8.8,18.9,0.1,16.8,5.8,14.3,6.7,15.4,6.4,0.8
110,301000,A042500,2021KW04,14.2,18.3,11.1,14.3,10.4,9.9,36.4,5.3,18.1,-2.8,-6.8
111,301000,A042500,2022KW01,11.3,7.5,10.2,4.7,5.4,4.5,30.6,8.3,16.3,-11.9,-10.6
112,301000,A042500,2022KW02,7.8,-1.1,3.4,3.1,2.7,-1.5,41.3,5.9,10.4,-27.2,-23.2
113,301000,A042500,2022KW03,1.4,-3.6,-2.9,-6.9,1.8,-4.1,21.9,-4.0,-0.1,-35.9,-29.7
114,301000,A042500,2022KW04,-11.1,-4.7,-12.9,-8.0,-7.0,-3.1,33.6,-2.0,-2.4,-42.9,-35.2
115,301000,A042500,2023KW01,0.5,0.4,2.8,0.4,-2.0,5.8,27.1,5.4,0.3,-27.5,-20.2
116,305700,A042501,2016KW01,19.2,12.0,20.8,12.7,-7.8,-9.1,-9.5,-36.4,-31.6,-36.9,-37.8
117,305700,A042501,2016KW02,-15.9,-21.7,-16.5,-15.4,-10.1,-7.2,-14.8,-13.3,-9.8,-21.9,-13.4
118,305700,A042501,2016KW03,-18.3,-24.7,-13.2,-10.4,-12.3,-1.3,-10.3,-23.6,-17.6,-29.2,-6.1
119,305700,A042501,2016KW04,-36.4,-21.6,-22.6,-1.7,-36.1,-25.0,-23.0,-40.3,-58.1,-26.8,9.3
120,305700,A042501,2017KW01,-24.7,-18.5,-3.9,7.7,-3.6,8.3,-8.2,-58.1,-43.7,0.1,-15.8
121,305700,A042501,2017KW02,-12.1,0.8,-15.6,-3.2,16.2,20.9,-19.8,-47.5,-37.3,-4.7,-25.6
122,305700,A042501,2017KW03,-14.1,-14.2,10.2,10.0,11.6,12.8,6.7,-48.5,-16.0,-27.2,-17.0
123,305700,A042501,2017KW04,-37.6,-40.7,-33.0,-44.3,-3.8,-17.8,26.9,-30.3,-30.1,5.4,14.9
124,305700,A042501,2018KW01,-38.5,3.6,-34.4,6.8,-15.4,-19.4,43.0,-48.1,-13.6,7.5,-11.0
125,305700,A042501,2018KW02,21.8,-30.6,21.9,-28.6,-6.0,2.0,-22.3,-39.0,-32.2,7.3,-57.8
126,305700,A042501,2018KW03,-35.6,-42.1,-36.0,-47.3,-3.6,-11.7,19.1,-45.0,-38.7,-8.6,2.5
127,305700,A042501,2018KW04,-49.0,11.5,-39.3,25.1,-16.7,-6.7,18.3,-43.9,-34.7,-15.9,-43.4
128,305700,A042501,2019KW01,14.2,0.0,16.8,13.4,0.4,-16.9,31.3,-27.7,-28.1,27.5,37.3
129,305700,A042501,2019KW02,40.2,-6.8,55.3,-6.1,24.4,16.6,1.4,-19.7,18.3,8.6,51.6
130,305700,A042501,2019KW03,-16.1,26.5,0.7,26.4,32.9,22.9,-2.6,-27.4,24.7,12.6,-15.6
131,305700,A042501,2019KW04,-5.9,18.0,3.9,19.4,8.0,-4.2,35.3,7.3,0.1,-9.3,-34.5
132,305700,A042501,2020KW01,-1.6,-12.3,21.3,-9.2,-9.7,-15.2,28.2,4.9,5.5,1.1,22.6
133,305700,A042501,2020KW02,-10.4,-72.0,-40.7,-73.9,-16.1,-44.3,-6.4,-6.6,-26.0,-33.3,-44.8
134,305700,A042501,2020KW03,-56.7,6.6,-67.2,-2.1,-39.2,6.7,-0.3,-23.7,-47.9,-58.0,-65.7
