ID,Kredietverstrekkers,Perioden,VerstrekteLeningen_1,UitstaandeContracten_2,VerstrektKrediet_3,Rente_4,Aflossingen_5,UitstaandSaldo_6,UitstaandSaldoExclusiefRente_7,UitstaandeContracten_8,ToegezegdeLimieten_9,NieuweToegezegdeLimieten_10,VerstrektKrediet_11,Rente_12,Aflossingen_13,UitstaandSaldo_14,ToegezegdeLimieten_15,NieuweToegezegdeLimieten_16,UitstaandeContracten_17,ToegezegdeLimieten_18,NieuweToegezegdeLimieten_19,VerstrektKrediet_20,Rente_21,Aflossingen_22,UitstaandSaldo_23,ToegezegdeLimieten_24,NieuweToegezegdeLimieten_25
78,10,2004MM07,15.0,435.0,84.0,15.0,123.0,2396.0,1987.0,,7417.0,117.0,564.0,91.0,570.0,12816.0,23963.0,396.0,,87.0,1.0,17.0,8.0,32.0,1388.0,1521.0,14.0
79,10,2004MM08,13.0,432.0,72.0,14.0,108.0,2374.0,1967.0,,7480.0,106.0,550.0,96.0,504.0,12958.0,24184.0,396.0,,87.0,1.0,19.0,8.0,29.0,1386.0,1513.0,21.0
80,10,2004MM09,15.0,428.0,79.0,15.0,114.0,2354.0,1949.0,,7506.0,125.0,583.0,94.0,565.0,13070.0,24314.0,425.0,,86.0,1.0,21.0,8.0,32.0,1383.0,1504.0,19.0
81,10,2004MM10,14.0,424.0,80.0,15.0,113.0,2336.0,1935.0,,7576.0,120.0,570.0,94.0,545.0,13189.0,24506.0,406.0,,86.0,1.0,18.0,8.0,25.0,1383.0,1496.0,13.0
82,10,2004MM11,16.0,421.0,86.0,15.0,118.0,2319.0,1919.0,,7540.0,130.0,586.0,93.0,573.0,13295.0,24590.0,431.0,,85.0,0.0,14.0,8.0,32.0,1374.0,1481.0,8.0
83,10,2004MM12,16.0,421.0,88.0,13.0,105.0,2315.0,1914.0,,7422.0,106.0,527.0,95.0,607.0,13311.0,24563.0,395.0,,84.0,0.0,11.0,8.0,32.0,1360.0,1466.0,8.0
84,10,2005MM01,15.0,418.0,102.0,14.0,114.0,2317.0,1922.0,3397.0,7659.0,105.0,473.0,97.0,562.0,13319.0,24861.0,373.0,82.0,83.0,0.0,5.0,9.0,40.0,1334.0,1440.0,5.0
85,10,2005MM02,13.0,416.0,77.0,13.0,121.0,2286.0,1904.0,3381.0,7725.0,125.0,474.0,96.0,574.0,13315.0,24896.0,389.0,81.0,81.0,0.0,4.0,9.0,41.0,1306.0,1413.0,5.0
86,10,2005MM03,15.0,416.0,85.0,14.0,119.0,2266.0,1890.0,3368.0,7744.0,120.0,546.0,97.0,608.0,13351.0,24906.0,419.0,79.0,80.0,0.0,5.0,8.0,46.0,1274.0,1387.0,5.0
87,10,2005MM04,15.0,418.0,97.0,13.0,112.0,2265.0,1895.0,3364.0,7793.0,122.0,571.0,97.0,618.0,13400.0,24989.0,427.0,78.0,79.0,0.0,5.0,8.0,34.0,1253.0,1360.0,5.0
88,10,2005MM05,14.0,415.0,76.0,12.0,108.0,2246.0,1883.0,3341.0,7796.0,115.0,493.0,98.0,638.0,13353.0,24949.0,374.0,77.0,77.0,0.0,5.0,8.0,41.0,1225.0,1334.0,4.0
89,10,2005MM06,14.0,413.0,85.0,13.0,109.0,2234.0,1881.0,3298.0,7746.0,101.0,477.0,97.0,638.0,13289.0,24906.0,354.0,76.0,76.0,0.0,5.0,8.0,42.0,1195.0,1308.0,4.0
90,10,2005MM07,14.0,412.0,84.0,12.0,97.0,2233.0,1882.0,3272.0,7705.0,128.0,492.0,97.0,594.0,13283.0,25000.0,384.0,74.0,75.0,0.0,4.0,8.0,44.0,1163.0,1281.0,3.0
91,10,2005MM08,15.0,410.0,83.0,12.0,107.0,2221.0,1876.0,3246.0,7730.0,123.0,508.0,97.0,615.0,13274.0,24926.0,402.0,73.0,73.0,0.0,5.0,7.0,38.0,1137.0,1253.0,3.0
92,10,2005MM09,17.0,412.0,80.0,12.0,123.0,2190.0,1852.0,3230.0,7825.0,108.0,489.0,96.0,594.0,13264.0,24981.0,364.0,71.0,71.0,0.0,5.0,7.0,36.0,1114.0,1231.0,7.0
93,10,2005MM10,15.0,411.0,84.0,11.0,112.0,2173.0,1847.0,3212.0,7844.0,115.0,471.0,95.0,594.0,13236.0,24976.0,362.0,70.0,70.0,0.0,5.0,7.0,36.0,1090.0,1209.0,4.0
94,10,2005MM11,16.0,409.0,90.0,12.0,98.0,2178.0,1853.0,3180.0,7818.0,111.0,485.0,95.0,613.0,13203.0,24913.0,391.0,69.0,69.0,0.0,4.0,7.0,36.0,1065.0,1183.0,4.0
95,10,2005MM12,14.0,407.0,75.0,10.0,102.0,2161.0,1842.0,3147.0,7723.0,104.0,443.0,93.0,597.0,13141.0,24802.0,341.0,68.0,68.0,0.0,4.0,7.0,33.0,1042.0,1161.0,4.0
