ID,SBI93,Grootteklassen,Perioden,Bedrijven_1,WerkzamePersonen_2,Werknemers_3,VerloondeSocialeVerzekeringsdagen_4,GewerkteDagen_5,Totaal_6,ProductieBouwbedrijf_7,OmzetHandelEnOverigeOpbrengsten_8,Totaal_9,Totaal_10,VoorBouwactiviteiten_11,VoorHandelEnOvActiviteiten_12,BetalingenAanOnderaannemers_13,KostenEnergieverbruik_14,OverigeBedrijfskosten_15,Totaal_16,Arbeidskosten_17,SubsidiesEnHeffingen_18,Totaal_19,SaldoInterest_20,SaldoBatenEnLasten_21,SaldoVoorzieningen_22,AfschrijvingenOpVasteActiva_23,SaldoBouwactiviteitenBuitenland_24,ResultaatVoorBelastingen_25,CodeBedrijfsactiviteit_26
592,454   ,K,1998JJ00,21152,40.0,25.0,5377.0,4963.0,2436.0,2303.0,133.0,1242.0,735.0,0.0,0.0,174.0,8.0,333.0,1194.0,658.0,4.0,532.0,-18.0,-3.0,-2.0,74.0,1.0,437.0,454   
593,454   ,K,1999JJ00,23361,40.0,25.0,5276.0,4900.0,2613.0,2553.0,60.0,1302.0,778.0,0.0,0.0,168.0,7.0,356.0,1311.0,673.0,-4.0,634.0,-18.0,0.0,-2.0,79.0,5.0,540.0,454   
594,454   ,G,1997JJ00,1229,34.0,33.0,7003.0,6389.0,2269.0,2219.0,50.0,1161.0,555.0,537.0,18.0,282.0,5.0,324.0,1108.0,985.0,-1.0,124.0,-10.0,2.0,0.0,44.0,12.0,83.0,454   
595,454   ,G,1998JJ00,1306,35.0,35.0,7599.0,6827.0,2491.0,2436.0,55.0,1284.0,623.0,604.0,19.0,341.0,5.0,320.0,1208.0,1084.0,-2.0,126.0,-9.0,0.0,-2.0,45.0,15.0,85.0,454   
596,454   ,G,1999JJ00,1363,35.0,34.0,7587.0,6864.0,2609.0,2538.0,71.0,1339.0,632.0,604.0,27.0,363.0,5.0,343.0,1271.0,1134.0,2.0,138.0,-10.0,0.0,0.0,46.0,20.0,102.0,454   
597,454   ,A,1997JJ00,12586,10.0,5.0,1015.0,943.0,605.0,570.0,35.0,318.0,191.0,0.0,0.0,39.0,2.0,88.0,288.0,116.0,0.0,171.0,-5.0,1.0,0.0,20.0,0.0,147.0,454   
598,454   ,A,1998JJ00,13944,11.0,5.0,1085.0,1000.0,687.0,654.0,34.0,360.0,212.0,0.0,0.0,53.0,2.0,95.0,327.0,124.0,0.0,202.0,-7.0,-2.0,0.0,23.0,0.0,171.0,454   
599,454   ,A,1999JJ00,15801,12.0,5.0,1151.0,1068.0,793.0,784.0,10.0,404.0,245.0,0.0,0.0,50.0,2.0,109.0,390.0,137.0,-1.0,252.0,-7.0,0.0,0.0,26.0,1.0,221.0,454   
600,454   ,B,1997JJ00,6936,28.0,20.0,4265.0,3923.0,1640.0,1513.0,128.0,805.0,480.0,0.0,0.0,108.0,6.0,217.0,835.0,521.0,4.0,310.0,-12.0,0.0,-2.0,48.0,2.0,251.0,454   
601,454   ,B,1998JJ00,7208,28.0,20.0,4292.0,3962.0,1749.0,1649.0,99.0,882.0,523.0,0.0,0.0,121.0,6.0,238.0,867.0,534.0,3.0,330.0,-11.0,0.0,-2.0,52.0,1.0,265.0,454   
602,454   ,B,1999JJ00,7560,28.0,19.0,4125.0,3831.0,1820.0,1769.0,51.0,898.0,534.0,0.0,0.0,118.0,6.0,247.0,921.0,536.0,-4.0,382.0,-11.0,0.0,-2.0,53.0,3.0,319.0,454   
603,454   ,C,1997JJ00,1214,31.0,31.0,6452.0,5890.0,2083.0,2034.0,49.0,1067.0,508.0,491.0,18.0,257.0,5.0,301.0,1016.0,902.0,-1.0,116.0,-10.0,2.0,0.0,41.0,12.0,78.0,454   
604,454   ,C,1998JJ00,1285,32.0,31.0,6897.0,6190.0,2248.0,2193.0,54.0,1161.0,565.0,546.0,19.0,301.0,5.0,295.0,1087.0,973.0,-2.0,115.0,-9.0,-1.0,-2.0,42.0,15.0,76.0,454   
605,454   ,C,1999JJ00,1342,31.0,31.0,6804.0,6160.0,2307.0,2238.0,69.0,1183.0,560.0,533.0,27.0,314.0,5.0,308.0,1125.0,1006.0,2.0,122.0,-9.0,0.0,0.0,41.0,20.0,89.0,454   
606,454   ,D,1997JJ00,15,3.0,3.0,552.0,499.0,186.0,185.0,1.0,94.0,47.0,47.0,0.0,25.0,0.0,22.0,91.0,83.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,5.0,454   
607,454   ,D,1998JJ00,21,3.0,3.0,702.0,637.0,244.0,243.0,1.0,123.0,57.0,57.0,0.0,40.0,0.0,25.0,121.0,110.0,0.0,11.0,0.0,1.0,0.0,4.0,1.0,9.0,454   
608,454   ,D,1999JJ00,21,4.0,4.0,783.0,704.0,302.0,300.0,2.0,156.0,72.0,71.0,0.0,49.0,0.0,35.0,146.0,129.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,13.0,454   
609,4541  ,T,1997JJ00,1653,8.0,7.0,1465.0,1311.0,464.0,460.0,3.0,211.0,98.0,63.0,0.0,59.0,0.0,54.0,253.0,188.0,0.0,64.0,-1.0,0.0,0.0,11.0,2.0,54.0,4541  
610,4541  ,T,1998JJ00,1817,8.0,7.0,1533.0,1378.0,529.0,525.0,5.0,256.0,107.0,69.0,0.0,88.0,0.0,61.0,273.0,203.0,0.0,70.0,-3.0,-1.0,0.0,13.0,2.0,55.0,4541  
611,4541  ,T,1999JJ00,2014,8.0,7.0,1495.0,1357.0,550.0,546.0,4.0,257.0,108.0,67.0,0.0,86.0,0.0,63.0,292.0,211.0,0.0,81.0,-3.0,0.0,0.0,13.0,1.0,66.0,4541  
612,4541  ,K,1997JJ00,1525,4.0,2.0,542.0,490.0,184.0,182.0,3.0,73.0,35.0,0.0,0.0,15.0,0.0,23.0,111.0,65.0,0.0,46.0,0.0,0.0,0.0,6.0,0.0,39.0,4541  
613,4541  ,K,1998JJ00,1677,4.0,2.0,531.0,483.0,204.0,201.0,3.0,88.0,37.0,0.0,0.0,26.0,0.0,25.0,115.0,62.0,0.0,53.0,-2.0,-1.0,0.0,7.0,0.0,44.0,4541  
614,4541  ,K,1999JJ00,1875,4.0,3.0,553.0,511.0,226.0,224.0,3.0,94.0,41.0,0.0,0.0,25.0,0.0,28.0,132.0,70.0,0.0,62.0,-2.0,0.0,0.0,7.0,0.0,54.0,4541  
615,4541  ,G,1997JJ00,128,4.0,4.0,923.0,821.0,280.0,279.0,1.0,137.0,63.0,63.0,0.0,44.0,0.0,31.0,142.0,124.0,0.0,19.0,0.0,0.0,0.0,5.0,2.0,15.0,4541  
616,4541  ,G,1998JJ00,140,5.0,5.0,1002.0,895.0,326.0,324.0,1.0,168.0,69.0,69.0,0.0,62.0,0.0,36.0,158.0,141.0,0.0,17.0,-1.0,0.0,0.0,6.0,1.0,12.0,4541  
617,4541  ,G,1999JJ00,139,4.0,4.0,943.0,846.0,324.0,322.0,1.0,163.0,67.0,67.0,0.0,61.0,0.0,35.0,160.0,142.0,0.0,19.0,-1.0,0.0,0.0,6.0,1.0,13.0,4541  
618,4541  ,A,1997JJ00,890,1.0,0.0,87.0,79.0,41.0,41.0,0.0,16.0,8.0,0.0,0.0,3.0,0.0,5.0,25.0,10.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,13.0,4541  
619,4541  ,A,1998JJ00,1001,1.0,0.0,82.0,77.0,47.0,47.0,0.0,20.0,9.0,0.0,0.0,5.0,0.0,6.0,27.0,9.0,0.0,18.0,-1.0,0.0,0.0,2.0,0.0,15.0,4541  
620,4541  ,A,1999JJ00,1140,1.0,0.0,100.0,92.0,56.0,56.0,1.0,23.0,11.0,0.0,0.0,5.0,0.0,8.0,34.0,12.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,20.0,4541  
621,4541  ,B,1997JJ00,635,3.0,2.0,455.0,411.0,143.0,141.0,2.0,57.0,27.0,0.0,0.0,12.0,0.0,18.0,86.0,55.0,0.0,31.0,0.0,0.0,0.0,5.0,0.0,26.0,4541  
622,4541  ,B,1998JJ00,676,3.0,2.0,449.0,406.0,157.0,154.0,3.0,68.0,28.0,0.0,0.0,21.0,0.0,19.0,88.0,53.0,0.0,35.0,-1.0,0.0,0.0,5.0,0.0,29.0,4541  
623,4541  ,B,1999JJ00,735,3.0,2.0,453.0,419.0,170.0,168.0,2.0,71.0,30.0,0.0,0.0,20.0,0.0,20.0,99.0,58.0,0.0,40.0,-1.0,0.0,0.0,5.0,0.0,34.0,4541  
624,4541  ,C,1997JJ00,124,3.0,3.0,730.0,652.0,222.0,221.0,1.0,113.0,50.0,50.0,0.0,36.0,0.0,26.0,110.0,96.0,0.0,15.0,-1.0,0.0,0.0,4.0,2.0,12.0,4541  
625,4541  ,C,1998JJ00,136,4.0,4.0,804.0,713.0,261.0,260.0,1.0,137.0,55.0,55.0,0.0,49.0,0.0,32.0,124.0,111.0,0.0,14.0,-1.0,0.0,0.0,5.0,1.0,9.0,4541  
626,4541  ,C,1999JJ00,135,,,,,,,,,,,,,,,,,,,,,,,,,4541  
627,4541  ,D,1997JJ00,4,1.0,1.0,193.0,169.0,57.0,57.0,0.0,25.0,13.0,13.0,0.0,8.0,0.0,5.0,32.0,28.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,4541  
628,4541  ,D,1998JJ00,4,1.0,1.0,198.0,182.0,65.0,65.0,0.0,31.0,14.0,14.0,0.0,13.0,0.0,5.0,34.0,30.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,4541  
629,4541  ,D,1999JJ00,4,,,,,,,,,,,,,,,,,,,,,,,,,4541  
630,4542  ,T,1997JJ00,7625,14.0,9.0,2023.0,1859.0,1041.0,997.0,45.0,633.0,354.0,112.0,1.0,127.0,3.0,152.0,409.0,253.0,0.0,155.0,-9.0,2.0,-1.0,30.0,3.0,120.0,4542  
631,4542  ,T,1998JJ00,8425,16.0,11.0,2356.0,2142.0,1207.0,1170.0,37.0,716.0,400.0,136.0,2.0,166.0,4.0,150.0,491.0,294.0,1.0,196.0,-9.0,-2.0,-1.0,32.0,4.0,157.0,4542  
