ID,KenmerkenGebruikers,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
77,108,2,2009JJ00,11.7,1.2,1.0,0.4,0.3,0.1,0.8,0.6,0.0,0.0,0.0,0.0,,0.0
78,108,3,2007JJ00,12.6,2.9,2.3,1.3,1.4,0.7,2.3,1.6,0.0,0.0,0.0,0.7,,0.0
79,108,3,2008JJ00,15.8,2.8,2.2,1.3,1.0,0.8,2.3,1.4,0.5,0.5,0.4,0.0,,0.0
80,108,3,2009JJ00,15.2,2.7,2.3,1.3,1.2,0.5,1.9,1.7,0.0,0.0,0.0,0.0,,0.0
81,109,1,2007JJ00,15.7,4.0,2.8,2.5,0.6,1.5,2.2,5.9,0.3,0.0,0.0,0.0,,0.0
82,109,1,2008JJ00,16.4,4.7,2.6,3.3,1.2,0.6,1.5,3.9,0.6,0.2,0.2,0.1,,0.0
83,109,1,2009JJ00,18.2,3.5,2.4,4.5,0.5,1.3,1.5,4.9,0.4,0.0,0.2,0.0,,0.0
84,109,2,2007JJ00,13.2,2.8,1.7,1.6,0.3,0.8,1.3,4.3,0.1,0.0,0.0,0.0,,0.0
85,109,2,2008JJ00,13.9,3.4,1.7,2.2,0.6,0.3,0.8,2.7,0.2,0.1,0.1,0.0,,0.0
86,109,2,2009JJ00,15.4,2.4,1.5,3.2,0.2,0.7,0.9,3.5,0.1,0.0,0.0,0.0,,0.0
87,109,3,2007JJ00,18.6,5.7,4.4,4.0,1.5,2.7,3.6,7.9,1.3,0.0,0.0,0.0,,0.0
88,109,3,2008JJ00,19.4,6.6,4.1,4.9,2.4,1.5,2.8,5.6,1.4,0.9,0.9,0.9,,0.0
89,109,3,2009JJ00,21.5,5.2,3.9,6.5,1.4,2.4,2.8,6.8,1.7,0.0,1.1,0.0,,0.0
90,110,1,2007JJ00,18.9,4.3,2.7,4.7,0.6,1.9,1.3,4.4,0.3,0.1,0.4,0.2,,0.1
91,110,1,2008JJ00,22.2,4.6,3.0,5.9,0.9,1.2,1.8,6.0,0.6,0.3,0.2,0.0,,0.0
92,110,1,2009JJ00,20.8,6.4,3.4,5.1,0.6,1.7,1.7,5.0,0.3,0.0,0.5,0.0,,0.1
93,110,2,2007JJ00,16.8,3.3,1.9,3.6,0.3,1.3,0.8,3.4,0.1,0.0,0.2,0.0,,0.0
