ID,TypeLozing,IndustrieVolgensSBI93,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,XyleenTotaal_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,Pentachloorfenol_25,ChloorverbAnorgChloridenAlsCl_26,Fluoriden_27,CyanidenAnorganischAlsCN_28,CZV_29
231,T         ,247       ,2006JJ00  ,0.0,61.0,0.0,0.5,0.0,10.7,0.0,74.0,0.0,0.0,64.0,139.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.93,0.0,0.0,0.0,11910.0,767.0,0.0,205.0
232,T         ,247       ,2007JJ00  ,0.0,71.0,0.0,8.0,1.0,10.0,0.0,36.0,0.0,10.0,70.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,21493.0,777.0,0.0,234.0
233,T         ,247       ,2008JJ00  ,1.0,59.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20993.0,0.0,0.0,177.0
234,T         ,DH        ,1990JJ00  ,0.0,31.0,0.0,0.0,0.738,6.7,,41.0,0.0,25.0,3.0,1042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,166.0
235,T         ,DH        ,1995JJ00  ,3.0,19.0,0.0,0.2,33.097,55.0,,438.0,0.058,42.0,7.0,184.0,0.8,2.3,0.3,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,238.0
236,T         ,DH        ,2000JJ00  ,6.0,17.0,0.0,0.5,5.43,3.5,,50.0,0.034,6.0,8.0,170.0,0.1,2.7,0.3,0.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,512.0
237,T         ,DH        ,2003JJ00  ,12.0,109.0,0.0,0.1,0.256,7.2,0.0,6.0,0.04,3.0,34.0,461.0,1.3,10.9,0.4,0.0,42.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,0.0,0.0,1734.0
238,T         ,DH        ,2004JJ00  ,26.0,198.0,0.0,0.3,0.113,5.0,0.0,2.0,0.015,1.0,5.0,432.0,0.4,2.1,0.6,0.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,0.0,0.0,3296.0
239,T         ,DH        ,2005JJ00  ,4.0,336.0,0.0,0.2,0.104,4.7,0.0,18.0,0.025,6.0,4.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,5476.0
240,T         ,DH        ,2006JJ00  ,6.0,307.0,0.0,0.0,0.099,8.1,0.0,44.0,0.0,82.0,11.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,0.0,0.0,5245.0
