ID,Huishoudkenmerken,Perioden,ToegangTotPC_1,Desktop_2,Laptop_3,WelToegangInternet_4,GeenToegangInternet_5,EldersInternetten_6,WilNietGeenInteresse_7,FinancieleRedenen_8,OnvoldoendeKennisFysiekeBeperking_9,PrivacyEnVeiligheid_10,AndereReden_11,TotaalGeenBreedband_12,AnaloogModem_13,ISDN_14,MobieleTelefoonWAPGPRS_15,TotaalBreedband_16,ADSL_17,Kabel_18,TotaalGeenBreedband_19,AnaloogModem_20,ISDN_21,MobieleTelefoonWAPGPRS_22,TotaalBreedband_23,ADSL_24,Kabel_25,PersonalComputer_26,PCDesktop_27,Laptop_28,MobieleTelefoon_29,AndereApparatuur_30,PersonalComputer_31,PCDesktop_32,Laptop_33,MobieleTelefoon_34,AndereApparatuur_35
76,21740,2009JJ00,92.0,80.0,57.0,90.0,10.0,1.0,7.0,1.0,1.0,1.0,1.0,13.0,4.0,5.0,1.0,77.0,54.0,30.0,15.0,5.0,5.0,1.0,85.0,60.0,34.0,90.0,76.0,53.0,25.0,19.0,100.0,85.0,58.0,28.0,21.0
77,21740,2010JJ00,94.0,81.0,65.0,94.0,6.0,1.0,5.0,0.0,2.0,0.0,1.0,7.0,2.0,3.0,2.0,87.0,60.0,31.0,7.0,2.0,3.0,2.0,93.0,64.0,33.0,93.0,79.0,62.0,34.0,26.0,100.0,84.0,66.0,36.0,28.0
78,21740,2011JJ00,96.0,75.0,69.0,95.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,9.0,,,,85.0,,,10.0,,,,89.0,,,94.0,72.0,68.0,43.0,29.0,99.0,75.0,71.0,45.0,31.0
79,21740,2012JJ00,95.0,72.0,77.0,95.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,,,,85.0,,,11.0,,,,89.0,,,93.0,67.0,75.0,56.0,36.0,99.0,71.0,79.0,59.0,38.0
80,21740,2013JJ00,97.0,72.0,77.0,96.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,9.0,,,,88.0,,,9.0,,,,91.0,,,96.0,71.0,76.0,66.0,61.0,99.0,73.0,79.0,69.0,63.0
81,21750,2005JJ00,89.0,83.0,32.0,85.0,15.0,2.0,9.0,1.0,1.0,0.0,3.0,27.0,21.0,6.0,2.0,57.0,35.0,24.0,32.0,25.0,7.0,2.0,68.0,41.0,29.0,84.0,77.0,22.0,7.0,2.0,100.0,91.0,27.0,8.0,3.0
82,21750,2006JJ00,90.0,83.0,35.0,86.0,14.0,1.0,10.0,1.0,3.0,0.0,2.0,16.0,11.0,4.0,2.0,70.0,48.0,24.0,18.0,13.0,5.0,2.0,82.0,56.0,28.0,85.0,77.0,27.0,11.0,4.0,100.0,90.0,32.0,12.0,5.0
83,21750,2007JJ00,92.0,84.0,46.0,90.0,10.0,2.0,6.0,0.0,1.0,0.0,2.0,8.0,5.0,3.0,1.0,81.0,55.0,29.0,9.0,5.0,3.0,1.0,91.0,62.0,32.0,89.0,79.0,39.0,18.0,13.0,100.0,88.0,44.0,20.0,14.0
84,21750,2008JJ00,94.0,85.0,60.0,93.0,7.0,1.0,4.0,1.0,2.0,0.0,1.0,13.0,5.0,6.0,2.0,80.0,49.0,35.0,14.0,5.0,7.0,2.0,86.0,53.0,38.0,92.0,80.0,55.0,25.0,16.0,99.0,86.0,59.0,27.0,17.0
85,21750,2009JJ00,95.0,81.0,67.0,95.0,5.0,0.0,4.0,0.0,1.0,0.0,1.0,13.0,2.0,5.0,2.0,82.0,55.0,34.0,14.0,2.0,5.0,2.0,86.0,59.0,36.0,94.0,78.0,63.0,27.0,24.0,99.0,82.0,67.0,28.0,25.0
