ID,WoonlandVanGasten,Sterklassen,Perioden,Gasten_1,Overnachtingen_2
461,00018,107,2015MM03,85.0,131.0
462,00018,107,2015KW01,226.0,353.0
463,00018,107,2015MM04,102.0,162.0
464,00018,107,2015MM05,98.0,158.0
465,00018,107,2015MM06,99.0,154.0
466,00018,107,2015KW02,299.0,474.0
467,00018,107,2015MM07,100.0,169.0
468,00018,107,2015MM08,108.0,184.0
469,00018,107,2015MM09,97.0,149.0
470,00018,107,2015KW03,305.0,502.0
471,00018,107,2015MM10,99.0,156.0
472,00018,107,2015MM11,89.0,130.0
473,00018,107,2015MM12,76.0,119.0
474,00018,107,2015KW04,264.0,405.0
475,00018,107,2015JJ00,1093.0,1734.0
476,00018,108,2012MM01,348.0,616.0
477,00018,108,2012MM02,366.0,642.0
478,00018,108,2012MM03,450.0,802.0
479,00018,108,2012KW01,1164.0,2061.0
480,00018,108,2012MM04,522.0,997.0
481,00018,108,2012MM05,536.0,988.0
482,00018,108,2012MM06,526.0,952.0
483,00018,108,2012KW02,1583.0,2937.0
484,00018,108,2012MM07,542.0,1064.0
485,00018,108,2012MM08,556.0,1108.0
486,00018,108,2012MM09,513.0,929.0
487,00018,108,2012KW03,1610.0,3100.0
488,00018,108,2012MM10,512.0,928.0
489,00018,108,2012MM11,470.0,810.0
490,00018,108,2012MM12,399.0,728.0
491,00018,108,2012KW04,1381.0,2465.0
492,00018,108,2012JJ00,5738.0,10563.0
493,00018,108,2013MM01,389.0,707.0
494,00018,108,2013MM02,365.0,660.0
495,00018,108,2013MM03,478.0,885.0
496,00018,108,2013KW01,1232.0,2252.0
497,00018,108,2013MM04,508.0,959.0
498,00018,108,2013MM05,589.0,1115.0
499,00018,108,2013MM06,542.0,993.0
500,00018,108,2013KW02,1640.0,3067.0
501,00018,108,2013MM07,576.0,1121.0
502,00018,108,2013MM08,599.0,1195.0
503,00018,108,2013MM09,525.0,958.0
504,00018,108,2013KW03,1700.0,3274.0
505,00018,108,2013MM10,542.0,1007.0
506,00018,108,2013MM11,490.0,879.0
507,00018,108,2013MM12,419.0,783.0
508,00018,108,2013KW04,1451.0,2669.0
509,00018,108,2013JJ00,6024.0,11262.0
510,00018,108,2014MM01,429.0,769.0
511,00018,108,2014MM02,451.0,803.0
512,00018,108,2014MM03,533.0,966.0
513,00018,108,2014KW01,1412.0,2538.0
514,00018,108,2014MM04,577.0,1119.0
515,00018,108,2014MM05,611.0,1146.0
516,00018,108,2014MM06,597.0,1107.0
517,00018,108,2014KW02,1785.0,3373.0
518,00018,108,2014MM07,626.0,1210.0
519,00018,108,2014MM08,658.0,1290.0
520,00018,108,2014MM09,580.0,1095.0
521,00018,108,2014KW03,1864.0,3596.0
522,00018,108,2014MM10,598.0,1123.0
523,00018,108,2014MM11,530.0,984.0
524,00018,108,2014MM12,481.0,924.0
525,00018,108,2014KW04,1609.0,3032.0
526,00018,108,2014JJ00,6670.0,12538.0
527,00018,108,2015MM01,442.0,840.0
528,00018,108,2015MM02,472.0,876.0
529,00018,108,2015MM03,530.0,991.0
530,00018,108,2015KW01,1444.0,2708.0
531,00018,108,2015MM04,601.0,1175.0
532,00018,108,2015MM05,605.0,1153.0
533,00018,108,2015MM06,609.0,1132.0
534,00018,108,2015KW02,1816.0,3461.0
