ID,Geslacht,Leeftijd,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
116,3,1,3,2009JJ00,20.4,4.3,4.2,4.8,3.5,3.5,3.5,7.6,3.9,3.9,3.9,3.9,,3.9
117,3,2,1,2007JJ00,30.1,4.3,1.4,7.2,0.0,0.0,0.3,5.0,1.0,0.6,1.5,0.0,,0.0
118,3,2,1,2008JJ00,33.8,4.3,2.1,8.0,0.0,0.0,0.0,5.2,1.6,0.4,2.1,0.0,,0.0
119,3,2,1,2009JJ00,35.8,4.2,3.6,7.4,0.6,0.4,1.4,5.8,0.6,0.6,1.6,0.6,,0.0
120,3,2,2,2007JJ00,24.3,2.1,0.4,4.3,0.0,0.0,0.0,2.7,0.2,0.1,0.5,0.0,,0.0
121,3,2,2,2008JJ00,27.8,2.3,0.9,5.1,0.0,0.0,0.0,2.9,0.6,0.1,0.9,0.0,,0.0
122,3,2,2,2009JJ00,29.8,2.2,1.8,4.6,0.1,0.1,0.5,3.3,0.2,0.1,0.6,0.1,,0.0
123,3,2,3,2007JJ00,36.5,8.3,4.3,11.8,0.0,0.0,2.0,9.1,4.0,4.1,4.7,0.0,,0.0
124,3,2,3,2008JJ00,40.3,7.8,5.0,12.3,0.0,0.0,0.0,9.3,4.3,2.8,5.0,0.0,,0.0
125,3,2,3,2009JJ00,42.3,7.7,6.9,11.5,4.2,3.1,3.8,10.0,2.5,4.2,4.4,4.2,,0.0
126,3,3,1,2007JJ00,30.5,5.5,4.5,10.6,0.0,0.7,2.2,4.1,0.0,0.0,1.1,0.0,,0.0
127,3,3,1,2008JJ00,35.1,4.2,4.1,10.6,0.4,0.3,0.9,2.9,1.2,0.0,1.5,0.0,,0.0
128,3,3,1,2009JJ00,35.2,5.0,2.0,10.2,0.0,0.3,0.4,2.7,0.5,0.4,0.5,0.0,,0.0
129,3,3,2,2007JJ00,24.6,2.9,2.3,6.9,0.0,0.2,0.7,2.0,0.0,0.0,0.3,0.0,,0.0
130,3,3,2,2008JJ00,29.3,2.3,2.2,7.3,0.1,0.0,0.2,1.4,0.4,0.0,0.5,0.0,,0.0
131,3,3,2,2009JJ00,29.1,2.8,0.8,6.7,0.0,0.0,0.1,1.2,0.1,0.1,0.1,0.0,,0.0
132,3,3,3,2007JJ00,37.1,9.9,8.6,15.9,0.0,2.7,6.9,8.2,0.0,0.0,4.1,0.0,,0.0
133,3,3,3,2008JJ00,41.3,7.5,7.6,15.1,2.9,2.1,3.5,5.7,3.7,0.0,4.6,0.0,,0.0
134,3,3,3,2009JJ00,41.7,8.8,4.9,15.4,0.0,1.8,2.6,5.9,3.4,2.5,3.1,0.0,,0.0
135,3,4,1,2007JJ00,22.9,2.3,1.3,3.9,0.2,0.0,0.6,1.4,0.0,0.0,0.4,0.0,,0.0
136,3,4,1,2008JJ00,21.1,2.9,1.3,5.9,0.1,0.3,0.8,1.4,0.3,0.2,0.7,0.0,,0.0
137,3,4,1,2009JJ00,22.1,3.0,1.8,8.0,0.0,0.2,1.6,1.8,0.4,0.0,0.5,0.0,,0.0
138,3,4,2,2007JJ00,19.6,1.3,0.6,2.6,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,,0.0
139,3,4,2,2008JJ00,17.9,1.7,0.6,4.2,0.0,0.1,0.3,0.7,0.1,0.0,0.2,0.0,,0.0
140,3,4,2,2009JJ00,18.7,1.9,1.0,5.9,0.0,0.0,0.7,1.0,0.1,0.0,0.1,0.0,,0.0
141,3,4,3,2007JJ00,26.6,3.9,2.6,5.9,1.3,0.0,1.8,2.8,0.0,0.0,1.5,0.0,,0.0
142,3,4,3,2008JJ00,24.7,4.9,2.6,8.3,0.9,1.2,1.8,2.8,1.2,1.4,2.4,0.0,,0.0
143,3,4,3,2009JJ00,25.9,4.8,3.3,10.7,0.0,1.7,3.5,3.3,1.7,0.0,2.4,0.0,,0.0
144,3,5,1,2007JJ00,17.0,2.0,1.0,1.0,0.2,0.1,1.0,1.1,0.2,0.0,0.0,0.0,,0.0
145,3,5,1,2008JJ00,16.0,2.2,1.2,1.4,0.5,0.1,0.1,1.6,0.0,0.0,0.0,0.0,,0.0
146,3,5,1,2009JJ00,16.1,2.7,0.9,2.4,0.5,0.8,0.7,1.7,0.0,0.0,0.3,0.0,,0.0
147,3,5,2,2007JJ00,14.3,1.1,0.4,0.4,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,,0.0
148,3,5,2,2008JJ00,13.4,1.2,0.6,0.7,0.1,0.0,0.1,0.8,0.0,0.0,0.0,0.0,,0.0
149,3,5,2,2009JJ00,13.4,1.6,0.4,1.4,0.2,0.3,0.3,0.9,0.0,0.0,0.1,0.0,,0.0
150,3,5,3,2007JJ00,20.2,3.5,2.4,2.1,1.1,0.9,2.2,2.4,1.2,0.0,0.0,0.0,,0.0
151,3,5,3,2008JJ00,19.1,3.8,2.5,2.7,1.6,0.8,0.8,2.9,0.0,0.0,0.0,0.0,,0.0
152,3,5,3,2009JJ00,19.3,4.5,2.0,4.1,1.6,2.1,1.9,3.3,0.0,0.0,1.4,0.0,,0.0
153,3,6,1,2007JJ00,7.7,0.8,1.2,0.3,0.3,0.1,0.8,0.4,0.0,0.0,0.0,0.0,,0.0
154,3,6,1,2008JJ00,10.2,1.3,0.6,0.7,0.1,0.0,0.4,0.3,0.0,0.0,0.0,0.0,,0.0
155,3,6,1,2009JJ00,8.5,0.9,0.7,0.1,0.2,0.0,0.9,0.4,0.0,0.0,0.0,0.0,,0.0
156,3,6,2,2007JJ00,6.0,0.4,0.6,0.1,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.0,,0.0
157,3,6,2,2008JJ00,8.3,0.7,0.2,0.3,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,,0.0
158,3,6,2,2009JJ00,6.7,0.4,0.3,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,,0.0
159,3,6,3,2007JJ00,9.9,1.9,2.4,1.1,1.0,0.8,1.7,1.2,0.0,0.0,0.0,0.0,,0.0
160,3,6,3,2008JJ00,12.5,2.4,1.4,1.6,0.9,0.0,1.1,1.0,0.0,0.0,0.0,0.0,,0.0
161,3,6,3,2009JJ00,10.7,1.9,1.5,0.7,1.4,0.0,1.8,1.2,0.0,0.0,0.0,0.0,,0.0
