ID,Landen,Perioden,Totaal_1,PlantaardigeProducten_2,Totaal_3,Dieren_4,DierlijkeProducten_5,Landbouwdiensten_6,NietTotDeLandbouwBehorendeNevena_7,IntermediairVerbruik_8,BrutoToegevoegdeWaardeBasisprijzen_9,BrutoToegevoegdeWaardeBasisprijzen_10,VerbruikVanVasteActiva_11,NietProductgebondenBelastingen_12,NietProductgebondenSubsidies_13,Landbouwinkomen_14,Arbeidsvolume_15,Inkomensindex2010100_16,MutatieTOVVoorafgaandJaar_17
535,10450,2002JJ00,13358.0,6395.0,6399.0,3890.0,2509.0,382.0,182.0,8398.0,4961.0,4961.0,1307.0,370.0,107.0,3389.0,2267.0,36.5,-9.3
536,10450,2003JJ00,11764.0,5758.0,5500.0,3230.0,2270.0,343.0,164.0,7617.0,4147.0,4147.0,1144.0,303.0,71.0,2771.0,2279.0,33.6,-8.0
537,10450,2004JJ00,14225.0,7355.0,6383.0,3781.0,2602.0,339.0,148.0,8378.0,5847.0,5847.0,1246.0,304.0,936.0,5233.0,2284.0,62.1,84.8
538,10450,2005JJ00,15052.0,6974.0,7585.0,4511.0,3075.0,369.0,124.0,8960.0,6092.0,6092.0,1353.0,353.0,1187.0,5573.0,2292.0,57.1,-8.1
539,10450,2006JJ00,16164.0,7842.0,7774.0,4538.0,3235.0,412.0,137.0,9665.0,6499.0,6499.0,1327.0,324.0,1618.0,6466.0,2292.0,63.0,10.5
540,10450,2007JJ00,20139.0,10627.0,8938.0,5094.0,3844.0,422.0,152.0,11918.0,8221.0,8221.0,1414.0,389.0,2008.0,8426.0,2299.0,76.7,21.6
541,10450,2008JJ00,21838.0,11525.0,9641.0,5352.0,4289.0,513.0,158.0,13817.0,8020.0,8020.0,1638.0,433.0,2421.0,8370.0,2299.0,68.1,-11.2
542,10450,2009JJ00,17461.0,8647.0,8292.0,4878.0,3413.0,423.0,99.0,10700.0,6761.0,6761.0,1328.0,336.0,2569.0,7665.0,2214.0,76.9,12.9
543,10450,2010JJ00,19751.0,10010.0,9148.0,5182.0,3966.0,461.0,132.0,11515.0,8236.0,8236.0,1482.0,302.0,3045.0,9497.0,1915.0,100.0,30.1
544,10450,2011JJ00,22742.0,12142.0,9990.0,5745.0,4244.0,463.0,146.0,13786.0,8956.0,8956.0,1473.0,318.0,3653.0,10818.0,1915.0,113.8,13.8
545,10450,2012JJ00,23251.0,12036.0,10542.0,6125.0,4417.0,522.0,151.0,14120.0,9131.0,9131.0,1503.0,566.0,3118.0,10180.0,1915.0,106.3,-6.6
546,10450,2013JJ00,23669.0,11945.0,11010.0,6210.0,4799.0,496.0,219.0,14271.0,9398.0,9398.0,1546.0,576.0,3855.0,11131.0,1937.0,114.9,8.1
547,10450,2014JJ00,23060.0,11159.0,11271.0,6300.0,4972.0,516.0,114.0,14918.0,8141.0,8141.0,1622.0,531.0,4077.0,10065.0,1937.0,103.0,-10.3
548,10450,2015JJ00,22349.0,10331.0,11379.0,6957.0,4422.0,516.0,124.0,14492.0,7857.0,7857.0,1684.0,473.0,4073.0,9773.0,1937.0,99.4,-3.5
549,10450,2016JJ00,22429.0,10540.0,11276.0,7252.0,4024.0,496.0,116.0,14143.0,8286.0,8286.0,1646.0,398.0,3216.0,9458.0,1937.0,100.0,0.6
550,10460,1995JJ00,5876.0,3262.0,2182.0,1507.0,675.0,127.0,305.0,2680.0,3196.0,3196.0,620.0,4.0,342.0,2915.0,435.0,121.3,
551,10460,1996JJ00,6365.0,3698.0,2291.0,1572.0,719.0,115.0,261.0,3102.0,3263.0,3263.0,669.0,5.0,319.0,2909.0,443.0,115.9,-4.5
552,10460,1997JJ00,5735.0,3073.0,2279.0,1572.0,707.0,109.0,273.0,2805.0,2930.0,2930.0,581.0,5.0,376.0,2720.0,444.0,105.6,-8.9
553,10460,1998JJ00,5454.0,2908.0,2208.0,1508.0,700.0,86.0,251.0,2747.0,2706.0,2706.0,567.0,5.0,396.0,2529.0,428.0,99.9,-5.4
554,10460,1999JJ00,6296.0,3777.0,2154.0,1408.0,745.0,80.0,287.0,3169.0,3127.0,3127.0,614.0,5.0,393.0,2901.0,414.0,113.8,13.9
555,10460,2000JJ00,6071.0,3527.0,2281.0,1490.0,791.0,92.0,171.0,3111.0,2960.0,2960.0,636.0,5.0,283.0,2601.0,426.0,96.2,-15.4
556,10460,2001JJ00,6480.0,3785.0,2423.0,1625.0,798.0,99.0,173.0,3396.0,3084.0,3084.0,646.0,5.0,372.0,2804.0,427.0,99.7,3.6
557,10460,2002JJ00,6158.0,3569.0,2292.0,1445.0,847.0,107.0,190.0,3257.0,2901.0,2901.0,682.0,14.0,334.0,2539.0,406.0,91.1,-8.6
558,10460,2003JJ00,6263.0,3660.0,2311.0,1500.0,811.0,106.0,186.0,3277.0,2986.0,2986.0,714.0,27.0,350.0,2594.0,403.0,90.7,-0.5
559,10460,2004JJ00,6605.0,3812.0,2487.0,1662.0,826.0,118.0,188.0,3388.0,3217.0,3217.0,726.0,3.0,417.0,2906.0,381.0,105.1,15.9
560,10460,2005JJ00,6139.0,3247.0,2571.0,1723.0,848.0,119.0,202.0,3303.0,2836.0,2836.0,746.0,4.0,534.0,2621.0,371.0,94.2,-10.3
561,10460,2006JJ00,6232.0,3485.0,2429.0,1605.0,824.0,129.0,190.0,3342.0,2890.0,2890.0,751.0,15.0,489.0,2613.0,360.0,93.7,-0.6
562,10460,2007JJ00,6250.0,3355.0,2577.0,1711.0,866.0,135.0,184.0,3680.0,2570.0,2570.0,735.0,17.0,667.0,2485.0,351.0,88.7,-5.3
563,10460,2008JJ00,6591.0,3448.0,2780.0,1837.0,943.0,158.0,205.0,3909.0,2683.0,2683.0,739.0,17.0,825.0,2752.0,343.0,98.8,11.4
564,10460,2009JJ00,6186.0,3353.0,2506.0,1665.0,841.0,148.0,180.0,3654.0,2533.0,2533.0,754.0,16.0,561.0,2324.0,338.0,83.9,-15.1
565,10460,2010JJ00,6452.0,3582.0,2557.0,1756.0,801.0,153.0,160.0,3844.0,2608.0,2608.0,760.0,17.0,724.0,2554.0,309.0,100.0,19.2
566,10460,2011JJ00,6425.0,3463.0,2661.0,1823.0,837.0,145.0,157.0,4214.0,2211.0,2211.0,748.0,19.0,614.0,2058.0,299.0,83.6,-16.4
567,10460,2012JJ00,6530.0,3443.0,2781.0,1859.0,921.0,143.0,163.0,4363.0,2166.0,2166.0,722.0,18.0,803.0,2229.0,296.0,91.8,9.8
568,10460,2013JJ00,6797.0,3726.0,2768.0,1855.0,913.0,139.0,165.0,4258.0,2539.0,2539.0,707.0,33.0,723.0,2522.0,281.0,106.9,16.4
