ID,Heffingen,Perioden,BenzineOngelood_1,Dieselolie_2,LPG_3,CNG_4,PropaanButaan_5,Huisbrandolie_6,Petroleum_7,k_800M3_8,k_8005000M3_9,k_5000170000M3_10,k_1700001MlnM3_11,k_1Mln10MlnM3_12,k_10mlnM3NietZakelijkVerbruik_13,k_10MlnM3ZakelijkVerbruik_14,GroenGas5000M3_15,GroenGas5000TM10MlnM3_16,GroenGas10MlnM3_17,HoogovenCokesovenKolenRaffinGas_18,Steenkool_19,ZwareStookolie_20,KVGas_21,Uranium235_22,Petroleumcokes_23,VloeibareBrandstof_24,GasvormigeBrandstof_25,k_08MWh_26,k_0810MWh_27,k_1050MWh_28,k_50MWh10000MWh_29,k_10MlnKWhNietZakelijkVerbruik_30,k_10MlnKWhZakelijkVerbruik_31,GroeneStroom10MWh_32,GroeneStroom10MWh_33
82,H10003,1995MM01,11.39,12.57,15.01,,15.01,12.57,12.48,9.78,9.78,9.78,9.78,9.78,6.4,6.4,0.0,0.0,0.0,107.46,10.61,14.67,0.0,0.0,14.73,14.67,107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,H10003,1996MM01,11.39,12.57,15.01,,15.01,12.57,12.48,9.78,9.78,9.78,9.78,9.78,6.4,6.4,0.0,0.0,0.0,107.46,10.61,14.67,0.0,0.0,14.73,14.67,107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,H10003,1996MM06,11.39,12.57,15.01,,15.01,12.57,12.48,9.78,9.78,9.78,9.78,9.78,6.4,6.4,0.0,0.0,0.0,107.46,10.61,14.67,0.0,0.0,14.73,14.67,107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,H10003,1997MM01,11.39,12.57,15.01,,15.01,12.57,12.48,9.78,9.78,9.78,9.78,9.78,6.4,6.4,0.0,0.0,0.0,107.46,10.61,14.67,0.0,14.5,14.73,14.67,107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,H10003,1997MM03,11.39,12.57,15.01,,15.01,12.57,12.48,9.78,9.78,9.78,9.78,9.78,6.4,6.4,0.0,0.0,0.0,107.46,10.61,14.67,0.0,14.5,14.73,14.67,107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,H10003,1997MM07,11.39,12.57,15.01,,15.01,12.57,12.48,9.78,9.78,9.78,9.78,9.78,6.4,6.4,0.0,0.0,0.0,107.46,10.61,14.67,0.0,14.5,14.73,14.67,107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,H10003,1998MM01,11.39,12.57,15.01,,15.01,12.57,12.48,9.78,9.78,9.78,9.78,9.78,6.4,6.4,0.0,0.0,0.0,107.46,10.61,14.67,424.37,14.5,14.73,14.67,107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,H10003,1998MM06,11.39,12.57,15.01,,15.01,12.57,12.48,9.78,9.78,9.78,9.78,9.78,6.4,6.4,0.0,0.0,0.0,107.46,10.61,14.67,424.37,14.5,14.73,14.67,107.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,H10003,1999MM01,11.63,12.83,15.32,,15.32,12.83,12.74,9.98,9.98,9.98,9.98,9.98,6.53,6.53,0.0,0.0,0.0,109.72,10.83,14.98,433.28,14.5,15.04,14.98,109.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,H10003,2000MM01,11.83,13.05,15.58,,15.58,13.05,12.96,10.16,10.16,10.16,10.16,10.16,6.63,6.63,0.0,0.0,0.0,111.58,11.02,15.23,440.65,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,H10003,2001MM01,12.04,13.29,15.86,,15.86,13.29,13.19,10.35,10.35,10.35,10.35,10.35,6.76,6.76,0.0,0.0,0.0,113.59,11.22,15.51,448.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,H10003,2001MM03,12.04,13.29,15.86,,15.86,13.29,13.19,10.35,10.35,10.35,10.35,10.35,6.76,6.76,0.0,0.0,0.0,113.59,11.22,15.51,448.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,H10003,2001MM04,12.04,13.29,15.86,,15.86,13.29,13.19,10.35,10.35,10.35,10.35,10.35,6.76,6.76,0.0,0.0,0.0,113.59,11.22,15.51,448.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,H10003,2001MM05,12.04,13.29,15.86,,15.86,13.29,13.19,10.35,10.35,10.35,10.35,10.35,6.76,6.76,0.0,0.0,0.0,113.59,11.22,15.51,448.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,H10003,2002MM01,12.41,13.7,16.35,,16.35,13.7,13.6,10.6,10.6,10.6,10.6,10.6,7.0,7.0,0.0,0.0,0.0,117.11,11.57,15.99,462.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,H10003,2002MM10,12.41,13.7,16.35,,16.35,13.7,13.6,10.6,10.6,10.6,10.6,10.6,7.0,7.0,0.0,0.0,0.0,117.11,11.57,15.99,462.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,H10003,2003MM01,12.86,14.19,16.94,,16.94,14.19,14.09,11.0,11.0,11.0,11.0,11.0,7.3,7.3,0.0,0.0,0.0,121.33,11.99,16.57,479.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,H10003,2003MM07,12.86,14.19,16.94,,16.94,14.19,14.09,11.0,11.0,11.0,11.0,11.0,7.3,7.3,0.0,0.0,0.0,121.33,11.99,16.57,479.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,H10003,2004MM01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,H10003,2004MM07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,H10003,2004MM10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,H10003,2005MM01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
104,H10003,2005MM07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
