ID,Zorgfuncties,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
595,T001104,A019137,2018JJ00,1597
596,T001104,A019137,2019JJ00,1679
597,T001104,A019137,2020JJ00,1672
598,T001104,A019137,2021JJ00,1712
599,T001104,A019137,2022JJ00,1772
600,T001104,A019138,1998JJ00,629
601,T001104,A019138,1999JJ00,683
602,T001104,A019138,2000JJ00,720
603,T001104,A019138,2001JJ00,804
604,T001104,A019138,2002JJ00,882
605,T001104,A019138,2003JJ00,908
606,T001104,A019138,2004JJ00,962
607,T001104,A019138,2005JJ00,1099
608,T001104,A019138,2006JJ00,510
609,T001104,A019138,2007JJ00,518
610,T001104,A019138,2008JJ00,514
611,T001104,A019138,2009JJ00,559
612,T001104,A019138,2010JJ00,579
613,T001104,A019138,2011JJ00,601
614,T001104,A019138,2012JJ00,598
615,T001104,A019138,2013JJ00,603
616,T001104,A019138,2014JJ00,597
617,T001104,A019138,2015JJ00,536
618,T001104,A019138,2016JJ00,516
619,T001104,A019138,2017JJ00,504
620,T001104,A019138,2018JJ00,502
621,T001104,A019138,2019JJ00,502
622,T001104,A019138,2020JJ00,478
623,T001104,A019138,2021JJ00,479
624,T001104,A019138,2022JJ00,505
625,T001104,A019139,1998JJ00,552
626,T001104,A019139,1999JJ00,595
627,T001104,A019139,2000JJ00,621
628,T001104,A019139,2001JJ00,664
629,T001104,A019139,2002JJ00,794
630,T001104,A019139,2003JJ00,831
631,T001104,A019139,2004JJ00,784
632,T001104,A019139,2005JJ00,873
633,T001104,A019139,2006JJ00,896
634,T001104,A019139,2007JJ00,937
635,T001104,A019139,2008JJ00,906
636,T001104,A019139,2009JJ00,1016
637,T001104,A019139,2010JJ00,1049
638,T001104,A019139,2011JJ00,1090
639,T001104,A019139,2012JJ00,1015
640,T001104,A019139,2013JJ00,1017
641,T001104,A019139,2014JJ00,1024
642,T001104,A019139,2015JJ00,1029
643,T001104,A019139,2016JJ00,1066
644,T001104,A019139,2017JJ00,1071
645,T001104,A019139,2018JJ00,1148
646,T001104,A019139,2019JJ00,1261
647,T001104,A019139,2020JJ00,1336
648,T001104,A019139,2021JJ00,1397
649,T001104,A019139,2022JJ00,1536
650,T001104,A019140,1998JJ00,1597
651,T001104,A019140,1999JJ00,1805
652,T001104,A019140,2000JJ00,2017
653,T001104,A019140,2001JJ00,2336
654,T001104,A019140,2002JJ00,2507
655,T001104,A019140,2003JJ00,2684
656,T001104,A019140,2004JJ00,2763
657,T001104,A019140,2005JJ00,2873
658,T001104,A019140,2006JJ00,3093
659,T001104,A019140,2007JJ00,3478
660,T001104,A019140,2008JJ00,3900
661,T001104,A019140,2009JJ00,4691
662,T001104,A019140,2010JJ00,5173
663,T001104,A019140,2011JJ00,5266
664,T001104,A019140,2012JJ00,5560
665,T001104,A019140,2013JJ00,5570
666,T001104,A019140,2014JJ00,5693
667,T001104,A019140,2015JJ00,6738
668,T001104,A019140,2016JJ00,6825
669,T001104,A019140,2017JJ00,6861
670,T001104,A019140,2018JJ00,7053
671,T001104,A019140,2019JJ00,7301
672,T001104,A019140,2020JJ00,8005
673,T001104,A019140,2021JJ00,8554
674,T001104,A019140,2022JJ00,9884
675,T001104,A019141,1998JJ00,66
676,T001104,A019141,1999JJ00,73
677,T001104,A019141,2000JJ00,100
678,T001104,A019141,2001JJ00,169
679,T001104,A019141,2002JJ00,282
680,T001104,A019141,2003JJ00,407
681,T001104,A019141,2004JJ00,501
682,T001104,A019141,2005JJ00,610
683,T001104,A019141,2006JJ00,787
684,T001104,A019141,2007JJ00,974
685,T001104,A019141,2008JJ00,1210
686,T001104,A019141,2009JJ00,1435
687,T001104,A019141,2010JJ00,1640
688,T001104,A019141,2011JJ00,1751
689,T001104,A019141,2012JJ00,1908
690,T001104,A019141,2013JJ00,1915
691,T001104,A019141,2014JJ00,1985
692,T001104,A019141,2015JJ00,1864
693,T001104,A019141,2016JJ00,1749
694,T001104,A019141,2017JJ00,1918
