ID,Logiesvormen,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,Buitenland_3,AlleLanden_4,Nederland_5,Buitenland_6
226,TOT,TR15  ,1999JJ00,1550.8,1250.6,300.2,4203.3,3550.7,652.6
227,TOT,TR15  ,2000JJ00,1656.7,1374.0,282.8,4281.9,3666.8,615.2
228,TOT,TR15  ,2001JJ00,1539.5,1270.8,268.7,4213.0,3625.5,587.4
229,TOT,TR15  ,2002JJ00,1521.8,1235.0,286.8,4089.2,3474.6,614.6
230,TOT,TR15  ,2003JJ00,1534.0,1250.8,283.2,4225.8,3602.7,623.1
231,TOT,TR15  ,2004JJ00,1517.0,1235.0,282.1,3874.9,3293.9,580.9
232,TOT,TR15  ,2005JJ00,1475.9,1182.2,293.7,3755.7,3174.4,581.3
233,TOT,TR15  ,2006JJ00,1789.9,1432.7,357.3,4115.9,3489.8,626.1
234,TOT,TR15  ,2007JJ00,1823.8,1481.7,342.1,4315.5,3650.6,665.0
235,TOT,TR15  ,2008JJ00,1681.6,1333.9,347.7,3875.4,3220.5,655.0
236,TOT,TR15  ,2009JJ00,1651.9,1368.7,283.2,3856.7,3334.8,521.9
237,TOT,TR15  ,2010JJ00,1663.6,1347.4,316.2,3925.8,3354.7,571.1
238,TOT,TR15  ,2011JJ00,1731.8,1408.6,323.2,4092.1,3471.2,620.9
239,TOT,TR15  ,2012JJ00,1779.3,1409.4,369.8,4133.2,3411.1,722.2
240,TOT,TR16  ,1998JJ00,4699.8,749.3,3950.5,9127.6,1375.4,7752.2
241,TOT,TR16  ,1999JJ00,4935.2,851.7,4083.5,10100.4,1654.4,8445.9
242,TOT,TR16  ,2000JJ00,5137.1,921.3,4215.9,10310.9,1800.3,8510.6
243,TOT,TR16  ,2001JJ00,5007.7,875.2,4132.4,9853.7,1474.8,8378.9
244,TOT,TR16  ,2002JJ00,5289.9,1121.2,4168.6,10870.9,2224.9,8646.0
245,TOT,TR16  ,2003JJ00,4716.8,864.1,3852.6,9328.4,1480.7,7847.7
246,TOT,TR16  ,2004JJ00,5096.5,944.6,4151.8,9876.1,1580.9,8295.3
247,TOT,TR16  ,2005JJ00,5632.4,1086.2,4546.2,10413.4,1728.0,8685.4
248,TOT,TR16  ,2006JJ00,5979.7,1254.3,4725.4,11135.2,2001.0,9134.2
249,TOT,TR16  ,2007JJ00,6373.4,1584.1,4789.3,11826.4,2529.9,9296.5
250,TOT,TR16  ,2008JJ00,5807.5,1478.0,4329.5,10646.8,2443.8,8203.0
251,TOT,TR16  ,2009JJ00,5925.0,1533.7,4391.3,10900.1,2614.9,8285.3
252,TOT,TR16  ,2010JJ00,6692.1,1770.5,4921.5,12249.2,2979.3,9269.8
253,TOT,TR16  ,2011JJ00,6818.4,1711.0,5107.4,12406.1,2873.5,9532.6
