ID,Bedrijfsgroepen,WarmtekrachtkoppelingWKK,TypenInstallatie,Perioden,InzetTotaal_1,InzetVanAardgas_2,InzetVanStookolie_3,InzetVanSteenkool_4,InzetVanOverigeBrandstoffen_5,InzetTotaal_6,InzetVanAardgas_7,InzetVanStookolie_8,InzetVanSteenkool_9,InzetVanOverigeBrandstoffen_10,ProductieTotaal_11,ProductieVanElektriciteit_12,ProductieVanWarmte_13,ProductieTotaal_14,ProductieVanElektriciteit_15,ProductieVanWarmte_16,ElektrischVermogen_17,ThermischVermogen_18,Installaties_19
76,E007022,E007102,E007111,2020JJ00,241956.0,575882.0,8655.0,2546388.0,159497.0,241956.0,18227.0,370.0,63862.0,159497.0,110817.0,21587224.0,33103.0,110817.0,77714.0,33103.0,6937.0,12967776.0,84.0
77,E007022,E007102,E007111,2021JJ00,314697.0,344285.0,11839.0,4750766.0,184830.0,314697.0,10897.0,507.0,118464.0,184830.0,143926.0,29826814.0,36550.0,143926.0,107377.0,36550.0,6931.0,12403058.0,87.0
78,E007022,E007102,E007111,2022JJ00,306862.0,334911.0,9493.0,4855978.0,175413.0,306862.0,10600.0,407.0,120442.0,175413.0,138029.0,28895213.0,34006.0,138029.0,104023.0,34006.0,6986.0,12497157.0,86.0
79,E007022,E007102,E007111,2023JJ00,232100.0,334512.0,8455.0,2893188.0,149820.0,232100.0,10587.0,363.0,71330.0,149820.0,104467.0,20488879.0,30708.0,104467.0,73760.0,30708.0,6989.0,12454677.0,86.0
80,E007022,E007102,E007111,2024JJ00,210707.0,322214.0,12123.0,2487863.0,139566.0,210707.0,10198.0,520.0,60422.0,139566.0,97380.0,18663312.0,30192.0,97380.0,67188.0,30192.0,6198.0,12645613.0,84.0
81,E007022,E007102,E007116,1998JJ00,300372.0,8668817.0,36685.0,,24496.0,300372.0,274368.0,1507.0,,24496.0,207271.0,34297546.0,83800.0,207271.0,123471.0,83800.0,5997.0,24555396.0,58.0
82,E007022,E007102,E007116,1999JJ00,319879.0,9512476.0,1588.0,,18742.0,319879.0,301070.0,68.0,,18742.0,213065.0,37474856.0,78156.0,213065.0,134909.0,78156.0,6257.0,22955670.0,57.0
83,E007022,E007102,E007116,2000JJ00,327006.0,9706053.0,917.0,,19771.0,327006.0,307197.0,39.0,,19771.0,226124.0,38417770.0,87820.0,226124.0,138304.0,87820.0,6535.0,24243330.0,60.0
84,E007022,E007102,E007116,2001JJ00,315818.0,9418297.0,2746.0,,17611.0,315818.0,298089.0,117.0,,17611.0,214712.0,36089654.0,84789.0,214712.0,129923.0,84789.0,6544.0,24399757.0,60.0
85,E007022,E007102,E007116,2002JJ00,320058.0,9494471.0,52.0,,19556.0,320058.0,300500.0,2.0,,19556.0,220224.0,36713578.0,88055.0,220224.0,132169.0,88055.0,6503.0,24190557.0,58.0
86,E007022,E007102,E007116,2003JJ00,321732.0,9348014.0,6529.0,,25589.0,321732.0,295865.0,279.0,,25589.0,220233.0,36735320.0,87985.0,220233.0,132247.0,87985.0,6536.0,24498057.0,59.0
87,E007022,E007102,E007116,2004JJ00,348050.0,10242298.0,48.0,,23880.0,348050.0,324169.0,2.0,,23880.0,235525.0,40889943.0,88321.0,235525.0,147204.0,88321.0,7326.0,24885557.0,60.0
88,E007022,E007102,E007116,2005JJ00,358713.0,10174627.0,92.0,375965.0,27243.0,358713.0,322027.0,4.0,9439.0,27243.0,239149.0,41986302.0,87999.0,239149.0,151151.0,87999.0,7592.0,24860157.0,61.0
89,E007022,E007102,E007116,2006JJ00,341435.0,9648248.0,30.0,447259.0,24948.0,341435.0,305367.0,,11120.0,24948.0,232952.0,40775810.0,86160.0,232952.0,146793.0,86160.0,7597.0,25056506.0,61.0
90,E007022,E007102,E007116,2007JJ00,340473.0,9499025.0,40.0,473839.0,28104.0,340473.0,300644.0,2.0,11723.0,28104.0,228871.0,40816852.0,81930.0,228871.0,146941.0,81930.0,7521.0,24324932.0,59.0
91,E007022,E007102,E007116,2008JJ00,345514.0,9712578.0,22.0,500081.0,25774.0,345514.0,307403.0,1.0,12336.0,25774.0,232925.0,40492705.0,87151.0,232925.0,145774.0,87151.0,7743.0,26734240.0,59.0
92,E007022,E007102,E007116,2009JJ00,351072.0,10168847.0,26.0,517871.0,16381.0,351072.0,321844.0,1.0,12845.0,16381.0,234356.0,42956272.0,79714.0,234356.0,154643.0,79714.0,8613.0,26781616.0,60.0
93,E007022,E007102,E007116,2010JJ00,423254.0,12270660.0,38.0,412950.0,24637.0,423254.0,388366.0,2.0,10249.0,24637.0,274660.0,52708132.0,84911.0,274660.0,189749.0,84911.0,9883.0,26781616.0,63.0
94,E007022,E007102,E007116,2011JJ00,410031.0,11802585.0,55.0,374957.0,27247.0,410031.0,373552.0,2.0,9230.0,27247.0,274900.0,52119815.0,87268.0,274900.0,187631.0,87268.0,11075.0,26222616.0,63.0
95,E007022,E007102,E007116,2012JJ00,336547.0,9481448.0,59.0,323057.0,28484.0,336547.0,300088.0,3.0,7972.0,28484.0,225200.0,39775327.0,82009.0,225200.0,143191.0,82009.0,13127.0,27158616.0,62.0
96,E007022,E007102,E007116,2013JJ00,323134.0,9284048.0,6.0,121438.0,26260.0,323134.0,293840.0,0.0,3034.0,26260.0,226110.0,39655864.0,83349.0,226110.0,142761.0,83349.0,14228.0,26494152.0,62.0
97,E007022,E007102,E007116,2014JJ00,314240.0,8910284.0,,,32229.0,314240.0,282010.0,,,32229.0,213152.0,38375610.0,75000.0,213152.0,138152.0,75000.0,14085.0,26519352.0,61.0
98,E007022,E007102,E007116,2015JJ00,275245.0,7840254.0,243.0,,27091.0,275245.0,248144.0,10.0,,27091.0,187853.0,32897911.0,69420.0,187853.0,118432.0,69420.0,13488.0,24507275.0,55.0
99,E007022,E007102,E007116,2016JJ00,322273.0,9307315.0,657.0,,27669.0,322273.0,294577.0,28.0,,27669.0,212841.0,40457370.0,67195.0,212841.0,145647.0,67195.0,13572.0,24507275.0,55.0
100,E007022,E007102,E007116,2017JJ00,357509.0,10521498.0,113.0,,24499.0,357509.0,333005.0,5.0,,24499.0,230019.0,45722809.0,65416.0,230019.0,164602.0,65416.0,13633.0,21954859.0,54.0
101,E007022,E007102,E007116,2018JJ00,346423.0,10352931.0,139.0,,18747.0,346423.0,327670.0,6.0,,18747.0,225336.0,45159220.0,62762.0,225336.0,162573.0,62762.0,13619.0,21788359.0,53.0
102,E007022,E007102,E007116,2019JJ00,417517.0,12617709.0,85.0,,18163.0,417517.0,399350.0,4.0,,18163.0,268188.0,57168716.0,62380.0,268188.0,205807.0,62380.0,13619.0,21788359.0,53.0
103,E007022,E007102,E007116,2020JJ00,421011.0,12723758.0,145.0,,18297.0,421011.0,402707.0,6.0,,18297.0,267047.0,57974393.0,58339.0,267047.0,208708.0,58339.0,13603.0,22144625.0,53.0
104,E007022,E007102,E007116,2021JJ00,323739.0,9694300.0,,,16915.0,323739.0,306825.0,,,16915.0,209152.0,42751700.0,55246.0,209152.0,153906.0,55246.0,13603.0,22145021.0,55.0
105,E007022,E007102,E007116,2022JJ00,288891.0,8580276.0,,,17325.0,288891.0,271566.0,,,17325.0,190470.0,37471973.0,55571.0,190470.0,134899.0,55571.0,13562.0,21809000.0,55.0
106,E007022,E007102,E007116,2023JJ00,263126.0,7922956.0,,,12365.0,263126.0,250762.0,,,12365.0,171019.0,34320950.0,47463.0,171019.0,123555.0,47463.0,13531.0,22670750.0,53.0
107,E007022,E007102,E007116,2024JJ00,246964.0,7319450.0,,,15303.0,246964.0,231661.0,,,15303.0,162265.0,32514970.0,45211.0,162265.0,117054.0,45211.0,13593.0,22458098.0,53.0
108,E007022,E007102,E007115,1998JJ00,101024.0,2541595.0,2224.0,,20491.0,101024.0,80441.0,91.0,,20491.0,83011.0,6633078.0,59132.0,83011.0,23879.0,59132.0,1140.0,12903745.0,87.0
109,E007022,E007102,E007115,1999JJ00,99338.0,2506850.0,8396.0,,19652.0,99338.0,79342.0,344.0,,19652.0,81797.0,6637404.0,57902.0,81797.0,23895.0,57902.0,1138.0,12477783.0,87.0
110,E007022,E007102,E007115,2000JJ00,102217.0,2562520.0,4727.0,,20920.0,102217.0,81104.0,194.0,,20920.0,82444.0,6534747.0,58918.0,82444.0,23525.0,58918.0,1131.0,12417738.0,86.0
