ID,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
47,TR03  ,2000JJ00,905.7,553.6,352.1,307.7,171.9,25.3,34.9,22.3,5.1,10.7,6.3,4.8,,,26.4,27.5,7.5,8.2,1.2,3196.3,2077.9,1118.4,1036.8,704.9,72.2,90.5,43.6,11.7,21.6,13.0,12.7,,,66.7,52.0,15.5,11.5,2.6
48,TR03  ,2001JJ00,620.9,372.1,248.8,219.4,117.9,15.5,27.8,14.9,3.2,10.7,4.1,4.5,,,20.7,14.9,4.7,8.8,1.0,2137.1,1363.8,773.3,720.4,485.4,35.3,70.1,29.8,6.8,22.5,8.4,11.4,,,50.7,26.8,11.2,12.4,2.6
49,TR03  ,2002JJ00,869.0,560.7,308.3,279.1,145.3,27.0,30.0,30.7,3.5,8.6,5.5,3.3,2.5,10.1,12.7,10.5,8.6,9.3,,3049.8,2013.2,1036.7,987.9,673.8,81.6,78.5,44.8,8.9,17.2,11.5,8.8,6.3,14.2,42.3,20.0,14.6,12.2,
50,TR03  ,2003JJ00,905.7,590.3,315.4,297.8,179.8,28.2,22.7,19.2,4.8,10.2,4.2,6.6,5.0,4.4,12.8,7.6,2.9,6.3,,3223.9,2080.0,1143.9,1111.5,771.6,92.5,72.0,44.8,11.6,18.8,8.8,27.3,13.5,13.2,37.4,16.2,7.1,7.2,
51,TR03  ,2004JJ00,840.2,550.9,289.2,258.4,160.3,23.9,18.4,13.5,3.0,8.9,3.6,4.9,2.9,5.1,13.8,11.0,5.7,13.4,,2808.6,1803.6,1005.0,954.5,691.7,75.1,44.9,36.0,6.7,18.7,13.6,13.2,6.0,10.8,37.7,20.2,9.4,19.1,
52,TR03  ,2005JJ00,841.9,578.6,263.3,243.6,140.8,28.6,19.4,11.5,2.5,6.4,4.1,6.6,6.6,5.3,11.7,8.3,6.3,4.3,,2937.6,1987.6,950.0,911.9,620.4,91.6,58.9,30.9,6.0,14.0,11.1,11.6,8.8,14.9,43.6,18.1,12.1,6.2,
53,TR03  ,2006JJ00,957.5,666.5,291.0,253.0,144.9,32.6,25.8,13.7,2.9,6.1,4.5,4.7,1.9,8.4,7.6,13.2,21.3,2.6,,3194.8,2253.8,941.1,872.7,586.1,92.5,62.4,43.4,8.9,13.3,8.1,14.7,3.9,20.7,18.6,23.2,38.0,4.6,
54,TR03  ,2007JJ00,991.9,684.7,307.3,256.1,144.1,32.8,25.6,14.2,2.3,6.1,4.3,5.2,2.7,6.9,11.8,14.7,33.4,2.2,,3116.9,2141.3,975.6,891.4,564.4,105.7,74.4,48.2,6.6,12.8,10.0,16.4,4.2,18.4,30.2,26.4,52.3,4.1,
55,TR03  ,2008JJ00,992.4,705.6,286.8,254.4,138.3,32.8,30.6,14.0,2.2,4.4,3.8,4.1,2.2,6.6,15.4,10.8,17.6,2.0,2.0,3139.0,2200.3,938.7,879.0,573.0,92.3,76.5,42.2,7.3,10.4,8.1,13.8,5.6,17.0,32.8,21.0,30.6,3.8,4.2
56,TR03  ,2009JJ00,1089.5,746.6,343.0,320.6,200.3,33.2,18.8,15.3,3.8,6.9,6.7,5.9,3.2,9.2,17.5,6.2,13.7,1.3,1.2,3563.6,2339.9,1223.7,1177.2,874.2,96.0,51.9,41.8,11.6,14.0,14.8,16.1,5.0,19.2,32.6,13.5,27.0,2.5,3.4
57,TR03  ,2010JJ00,1098.2,800.3,298.0,280.3,148.5,34.9,24.4,22.1,5.2,10.4,7.5,4.4,2.6,9.0,11.3,7.3,7.1,1.5,1.8,3281.2,2325.2,955.9,911.8,574.4,98.3,64.1,61.3,11.3,19.7,14.8,13.6,5.7,22.1,26.4,15.2,19.9,,
58,TR03  ,2011JJ00,1056.2,780.7,275.5,253.7,151.1,33.9,17.5,15.3,3.9,5.1,3.8,4.7,1.8,6.7,9.7,5.5,11.1,3.6,1.6,3497.1,2506.3,990.8,938.1,646.1,94.6,54.5,42.9,13.1,12.8,9.6,13.9,3.7,23.7,23.2,12.6,27.4,8.0,4.7
59,TR03  ,2012JJ00,1354.0,997.7,356.4,332.9,186.0,49.3,22.9,21.8,5.9,10.8,4.6,4.6,4.0,10.4,12.5,6.3,12.6,2.9,1.6,3964.7,2742.9,1221.8,1168.1,759.2,156.2,68.2,61.0,15.2,20.8,11.2,13.4,7.3,27.8,28.0,15.7,28.7,5.5,3.9
60,TR04  ,1998JJ00,547.3,334.9,212.4,199.9,102.9,34.3,21.5,12.5,2.4,5.5,2.1,1.6,,,17.1,9.6,1.4,1.0,,2246.3,1400.0,846.3,812.8,546.4,127.8,50.1,23.2,5.7,13.3,3.6,3.3,,,39.4,27.1,3.0,2.7,
61,TR04  ,1999JJ00,464.3,290.3,173.9,165.2,86.9,27.8,20.3,9.2,1.8,3.8,2.1,1.7,,,11.7,5.9,1.9,,,2019.1,1260.2,758.9,736.7,487.0,103.3,62.9,17.9,4.5,9.3,5.6,4.4,,,41.9,15.2,4.7,,
62,TR04  ,2000JJ00,625.3,357.4,267.9,251.6,126.7,43.8,25.6,15.9,2.9,6.1,3.4,2.8,,,24.5,9.7,3.2,1.3,2.1,2492.1,1389.9,1102.2,1062.7,694.9,160.5,69.8,45.0,8.3,12.0,7.8,5.6,,,58.8,23.5,9.2,2.5,4.3
63,TR04  ,2001JJ00,622.8,369.9,252.9,238.7,130.4,40.6,31.3,11.1,2.1,3.8,3.8,1.5,,,14.2,9.7,3.5,,,2491.8,1412.5,1079.3,1046.5,717.6,143.7,82.9,23.7,5.4,8.0,13.0,3.5,,,48.7,21.0,9.3,,
64,TR04  ,2002JJ00,552.0,343.8,208.2,200.5,107.1,35.2,25.0,10.3,2.0,4.1,1.6,1.9,1.2,4.6,7.5,4.8,2.1,,,2360.1,1368.5,991.7,965.7,636.2,109.5,95.0,20.5,5.0,10.7,3.4,4.7,2.0,26.1,52.6,14.8,9.5,,
