ID,AreasOfCivilEngineeringWorks,Periods,InputPriceIndex_1,ChangesComparedWithOneYearEarlier_2
1460,A023267,2024MM07,211.3,6.4
1461,A023267,2024MM08,208.9,
1462,A023267,2024MM09,206.3,
1463,A023267,2024MM10,209.9,2.1
1464,A023267,2024MM11,211.1,
1465,A023267,2024MM12,210.7,
1466,A023267,2025MM01,212.4,1.4
1467,A023267,2025MM02,213.7,1.0
1468,A023267,2025MM03,213.5,0.7
1469,A023267,2025MM04,210.0,-1.0
1470,A023267,2025MM05,210.8,0.7
1471,A023267,2025MM06,211.9,1.8
1472,A023267,2025MM07,214.2,1.3
1473,A023267,2025MM08,213.8,2.4
1474,A023267,2025MM09,213.7,3.6
1475,A023267,2025MM10,215.0,2.4
1476,A023275,1979MM02,,
1477,A023275,1979MM08,,
1478,A023275,1980MM02,,
1479,A023275,1980MM08,,
1480,A023275,1981MM02,,
1481,A023275,1981MM08,,
1482,A023275,1982MM02,,
1483,A023275,1982MM08,,
1484,A023275,1983MM02,,
1485,A023275,1983MM08,,
1486,A023275,1984MM02,,
1487,A023275,1984MM08,,
1488,A023275,1985MM02,,
1489,A023275,1985MM08,,
1490,A023275,1986MM02,,
1491,A023275,1986MM08,,
1492,A023275,1987MM02,,
1493,A023275,1987MM08,,
1494,A023275,1988MM02,,
1495,A023275,1988MM08,,
1496,A023275,1989MM02,,
1497,A023275,1989MM08,,
1498,A023275,1990MM02,,
1499,A023275,1990MM08,,
1500,A023275,1991MM02,,
1501,A023275,1991MM08,,
1502,A023275,1992MM02,,
1503,A023275,1992MM08,,
1504,A023275,1993MM02,,
1505,A023275,1993MM08,,
1506,A023275,1994MM02,,
1507,A023275,1994MM08,,
1508,A023275,1995MM02,,
1509,A023275,1995MM08,,
1510,A023275,1996MM02,,
1511,A023275,1996MM08,,
1512,A023275,1997MM02,,
1513,A023275,1997MM08,,
1514,A023275,1998MM01,,
1515,A023275,1998MM04,,
1516,A023275,1998MM07,,
1517,A023275,1998MM10,,
1518,A023275,1999MM01,,
1519,A023275,1999MM04,,
1520,A023275,1999MM07,,
1521,A023275,1999MM10,,
1522,A023275,2000MM01,98.4,
1523,A023275,2000MM04,99.1,
1524,A023275,2000MM07,100.7,
1525,A023275,2000MM10,101.8,
1526,A023275,2001MM01,102.7,4.4
1527,A023275,2001MM04,103.4,4.3
1528,A023275,2001MM07,103.8,3.1
1529,A023275,2001MM10,103.5,1.7
1530,A023275,2002MM01,104.1,1.4
1531,A023275,2002MM04,104.6,1.2
1532,A023275,2002MM07,104.4,0.6
1533,A023275,2002MM10,104.2,0.7
1534,A023275,2003MM01,104.0,-0.1
1535,A023275,2003MM04,103.6,-1.0
1536,A023275,2003MM07,104.0,-0.4
1537,A023275,2003MM10,104.3,0.1
1538,A023275,2004MM01,104.4,0.4
1539,A023275,2004MM04,107.3,3.6
1540,A023275,2004MM07,107.6,3.5
1541,A023275,2004MM10,110.0,5.5
1542,A023275,2005MM01,109.6,5.0
1543,A023275,2005MM04,110.0,2.5
1544,A023275,2005MM07,110.5,2.7
1545,A023275,2005MM10,110.8,0.7
1546,A023275,2006MM01,112.3,2.5
1547,A023275,2006MM04,113.5,3.2
1548,A023275,2006MM07,115.7,4.7
1549,A023275,2006MM10,116.4,5.1
1550,A023275,2007MM01,116.9,4.1
1551,A023275,2007MM04,117.7,3.7
1552,A023275,2007MM07,119.0,2.9
1553,A023275,2007MM10,118.9,2.1
1554,A023275,2008MM01,119.5,2.2
1555,A023275,2008MM04,120.9,2.7
1556,A023275,2008MM07,123.3,3.6
1557,A023275,2008MM10,124.7,4.9
1558,A023275,2009MM01,121.8,1.9
1559,A023275,2009MM04,121.5,0.5
1560,A023275,2009MM07,121.4,-1.5
1561,A023275,2009MM10,121.7,-2.4
1562,A023275,2010MM01,122.9,0.9
1563,A023275,2010MM04,124.3,2.3
1564,A023275,2010MM07,124.6,2.6
1565,A023275,2010MM10,124.7,2.5
1566,A023275,2011MM01,127.2,3.5
1567,A023275,2011MM04,127.2,2.3
1568,A023275,2011MM07,127.5,2.3
1569,A023275,2011MM10,126.8,1.7
1570,A023275,2012MM01,128.0,0.6
1571,A023275,2012MM04,128.2,0.8
1572,A023275,2012MM07,128.7,0.9
1573,A023275,2012MM10,128.4,1.3
1574,A023275,2013MM01,128.6,0.5
1575,A023275,2013MM04,127.9,-0.2
1576,A023275,2013MM07,127.3,-1.1
1577,A023275,2013MM10,126.7,-1.3
1578,A023275,2014MM01,127.3,-1.0
1579,A023275,2014MM04,126.9,-0.8
1580,A023275,2014MM07,127.2,-0.1
1581,A023275,2014MM10,128.6,1.5
1582,A023275,2015MM01,130.1,2.2
1583,A023275,2015MM04,132.7,4.6
1584,A023275,2015MM07,132.4,4.1
1585,A023275,2015MM10,131.6,2.3
1586,A023275,2016MM01,133.1,2.3
1587,A023275,2016MM04,132.4,-0.2
1588,A023275,2016MM07,133.0,0.5
1589,A023275,2016MM10,133.3,1.3
1590,A023275,2017MM01,137.8,3.5
1591,A023275,2017MM04,137.4,3.8
1592,A023275,2017MM07,136.3,2.5
1593,A023275,2017MM10,136.9,2.7
1594,A023275,2018MM01,137.8,0.0
1595,A023275,2018MM04,138.8,1.0
1596,A023275,2018MM07,140.3,2.9
1597,A023275,2018MM10,141.2,3.1
1598,A023275,2019MM01,141.3,2.6
1599,A023275,2019MM04,141.6,2.0
1600,A023275,2019MM07,142.3,1.4
1601,A023275,2019MM10,142.2,0.7
1602,A023275,2020MM01,143.2,1.3
1603,A023275,2020MM04,142.1,0.4
1604,A023275,2020MM07,142.0,-0.2
1605,A023275,2020MM10,140.9,-0.9
1606,A023275,2021MM01,142.4,-0.6
1607,A023275,2021MM04,145.3,2.2
1608,A023275,2021MM07,150.6,6.1
1609,A023275,2021MM10,155.7,10.5
1610,A023275,2022MM01,159.6,12.1
1611,A023275,2022MM04,168.7,16.1
1612,A023275,2022MM07,172.7,14.6
1613,A023275,2022MM10,170.9,9.7
1614,A023275,2023MM01,168.5,5.5
1615,A023275,2023MM04,167.0,-1.0
1616,A023275,2023MM07,162.9,-5.7
1617,A023275,2023MM10,162.1,-5.1
1618,A023275,2024MM01,163.5,-2.9
1619,A023275,2024MM02,163.8,
1620,A023275,2024MM03,164.0,
1621,A023275,2024MM04,164.5,-1.5
1622,A023275,2024MM05,164.3,
1623,A023275,2024MM06,164.5,
1624,A023275,2024MM07,166.7,2.3
1625,A023275,2024MM08,166.0,
1626,A023275,2024MM09,164.6,
1627,A023275,2024MM10,165.2,1.9
1628,A023275,2024MM11,165.8,
1629,A023275,2024MM12,165.8,
1630,A023275,2025MM01,166.9,2.1
1631,A023275,2025MM02,167.7,2.3
1632,A023275,2025MM03,168.0,2.4
1633,A023275,2025MM04,168.7,2.5
1634,A023275,2025MM05,168.9,2.8
1635,A023275,2025MM06,170.0,3.3
1636,A023275,2025MM07,168.8,1.3
1637,A023275,2025MM08,167.7,1.0
1638,A023275,2025MM09,168.2,2.2
1639,A023275,2025MM10,169.8,2.8
