ID,Geslacht,Leeftijd,ZorgvormZvwZorgkosten,Perioden,PersonenMetZvwZorgkostenRelatief_1,GemiddeldeZorgkostenAllePersonen_2,GemiddeldeZorgkostenGebruikers_3,Zorgkosten50ePercentielGebruikers_4,Zorgkosten95ePercentielGebruikers_5,Zorgkosten99ePercentielGebruikers_6
114,T001038,80000  ,A042752,2022JJ00,1.3,14.0,1078.0,834.0,2399.0,5485.0
115,T001038,80000  ,A042752,2023JJ00,1.2,14.0,1165.0,898.0,2597.0,5938.0
116,T001038,80000  ,A042753,2020JJ00,0.5,3.0,607.0,120.0,2101.0,8021.0
117,T001038,80000  ,A042753,2021JJ00,0.7,4.0,535.0,105.0,1716.0,6830.0
118,T001038,80000  ,A042753,2022JJ00,1.2,7.0,543.0,121.0,1706.0,6924.0
119,T001038,80000  ,A042753,2023JJ00,1.1,6.0,550.0,133.0,1623.0,6409.0
120,T001038,80000  ,A042756,2020JJ00,0.0,,,,,
121,T001038,80000  ,A042756,2021JJ00,0.0,0.0,,,,
122,T001038,80000  ,A042756,2022JJ00,0.0,0.0,,,,
123,T001038,80000  ,A042756,2023JJ00,0.0,0.0,,,,
124,T001038,80000  ,A052781,2020JJ00,,,,,,
125,T001038,80000  ,A052781,2021JJ00,,,,,,
126,T001038,80000  ,A052781,2022JJ00,0.8,38.0,4659.0,1732.0,15858.0,54492.0
127,T001038,80000  ,A052781,2023JJ00,0.8,41.0,5184.0,1906.0,17503.0,61764.0
128,T001038,80000  ,A042747,2020JJ00,0.3,31.0,10545.0,1593.0,47813.0,156312.0
129,T001038,80000  ,A042747,2021JJ00,0.3,29.0,9390.0,1492.0,41324.0,148961.0
130,T001038,80000  ,A042747,2022JJ00,0.3,29.0,8852.0,1329.0,38783.0,141914.0
131,T001038,80000  ,A042747,2023JJ00,0.3,30.0,9431.0,1525.0,38117.0,162225.0
132,T001038,80000  ,A042757,2020JJ00,0.4,37.0,9669.0,4663.0,34552.0,44430.0
133,T001038,80000  ,A042757,2021JJ00,0.4,40.0,9896.0,4694.0,35087.0,48502.0
134,T001038,80000  ,A042757,2022JJ00,0.4,41.0,9724.0,4685.0,34114.0,47145.0
135,T001038,80000  ,A042757,2023JJ00,0.4,44.0,10000.0,4701.0,35934.0,47277.0
136,T001038,80000  ,A049496,2020JJ00,0.0,,,,,
137,T001038,80000  ,A049496,2021JJ00,0.0,0.0,,,,
138,T001038,80000  ,A049496,2022JJ00,0.0,,,,,
139,T001038,80000  ,A049496,2023JJ00,0.0,,,,,
140,T001038,80000  ,A042754,2020JJ00,0.2,2.0,1041.0,1192.0,1425.0,2387.0
141,T001038,80000  ,A042754,2021JJ00,0.2,2.0,904.0,872.0,1462.0,2031.0
142,T001038,80000  ,A042754,2022JJ00,,,,,,
143,T001038,80000  ,A042754,2023JJ00,,,,,,
