ID,Perioden,DelfstoffenwinningEnIndustrie_1,Delfstoffenwinning_2,IndustrieTotaal_3,VoedingsEnGenotmiddelenTotaal_4,VerwerkingVanVeehouderijproducten_5,VerwerkingVanOverigeProducten_6,Drankenindustrie_7,TabakverwerkendeIndustrie_8,Textielindustrie_9,Kledingindustrie_10,LederwarenEnSchoenenindustrie_11,Houtindustrie_12,PapierEnPapierwarenIndustrie_13,GrafischeIndustrieEnUitgeverijen_14,AardolieIndustrie_15,ChemischeIndustrie_16,RubberKunststofverwerkendeIndustrie_17,BouwmaterialenAardewerkGlasindustrie_18,TotaalMetaalindustrie_19,BasismetaalIndustrie_20,OverigeMetaalIndustrie_21,OpenbareNutsbedrijven_22,DelfstoffenwinningEnIndustrie_23,Delfstoffenwinning_24,IndustrieTotaal_25,VoedingsEnGenotmiddelenTotaal_26,VerwerkingVanVeehouderijproducten_27,VerwerkingVanOverigeProducten_28,Drankenindustrie_29,TabakverwerkendeIndustrie_30,Textielindustrie_31,Kledingindustrie_32,LederwarenEnSchoenenindustrie_33,Houtindustrie_34,PapierEnPapierwarenIndustrie_35,GrafischeIndustrieEnUitgeverijen_36,AardolieIndustrie_37,ChemischeIndustrie_38,RubberKunststofverwerkendeIndustrie_39,BouwmaterialenAardewerkGlasindustrie_40,MetaalindustrieTotaal_41,BasismetaalIndustrie_42,OverigeMetaalIndustrie_43,OpenbareNutsbedrijven_44
59,1973JJ00,63.0,96.0,56.0,53.0,75.0,50.0,36.0,42.0,112.0,268.0,236.0,95.0,46.0,58.0,140.0,38.0,34.0,70.0,58.0,78.0,55.0,62.0,,,,,,,,,,,,,,,,,,,,,,
60,1974JJ00,66.0,107.0,59.0,55.0,78.0,53.0,38.0,44.0,118.0,237.0,221.0,94.0,50.0,62.0,123.0,41.0,38.0,70.0,58.0,81.0,55.0,66.0,,,,,,,,,,,,,,,,,,,,,,
61,1975JJ00,65.0,115.0,56.0,55.0,79.0,52.0,41.0,42.0,100.0,216.0,194.0,87.0,41.0,59.0,110.0,35.0,34.0,67.0,56.0,66.0,55.0,67.0,,,,,,,,,,,,,,,,,,,,,,
62,1976JJ00,70.0,120.0,60.0,58.0,84.0,54.0,44.0,45.0,106.0,202.0,197.0,92.0,48.0,64.0,129.0,42.0,39.0,70.0,60.0,73.0,59.0,73.0,,,,,,,,,,,,,,,,,,,,,,
63,1977JJ00,70.0,120.0,60.0,59.0,85.0,56.0,45.0,42.0,100.0,176.0,194.0,96.0,48.0,65.0,120.0,42.0,41.0,75.0,60.0,71.0,59.0,72.0,,,,,,,,,,,,,,,,,,,,,,
64,1978JJ00,70.0,111.0,62.0,63.0,89.0,60.0,48.0,43.0,100.0,174.0,194.0,101.0,52.0,69.0,119.0,44.0,40.0,74.0,60.0,78.0,59.0,76.0,,,,,,,,,,,,,,,,,,,,,,
65,1979JJ00,72.0,117.0,64.0,64.0,95.0,60.0,52.0,45.0,99.0,171.0,190.0,97.0,56.0,72.0,127.0,47.0,40.0,74.0,63.0,80.0,61.0,76.0,,,,,,,,,,,,,,,,,,,,,,
66,1980JJ00,71.0,111.0,64.0,65.0,96.0,62.0,53.0,43.0,93.0,162.0,184.0,100.0,56.0,72.0,113.0,46.0,40.0,75.0,64.0,77.0,63.0,78.0,-0.8,-5.6,0.5,1.5,1.4,2.2,1.4,-4.5,-6.7,-5.4,-3.4,3.2,0.5,0.1,-11.1,-2.4,-0.6,1.0,2.2,-3.3,2.8,2.4
67,1981JJ00,70.0,101.0,64.0,67.0,99.0,64.0,56.0,45.0,89.0,139.0,172.0,88.0,57.0,69.0,80.0,49.0,44.0,68.0,65.0,82.0,63.0,77.0,-2.1,-9.1,0.0,3.4,2.6,3.3,5.5,4.3,-4.1,-14.0,-6.2,-12.1,1.8,-3.2,-29.2,7.0,9.6,-8.9,0.9,5.8,0.3,-0.3
68,1982JJ00,67.0,86.0,63.0,68.0,98.0,65.0,55.0,50.0,85.0,137.0,188.0,78.0,62.0,67.0,80.0,48.0,45.0,63.0,64.0,75.0,63.0,80.0,-3.7,-14.6,-1.2,1.0,-0.8,1.6,-1.7,12.5,-4.2,-1.2,9.1,-10.9,8.5,-4.0,-0.6,-2.9,4.1,-6.9,-1.1,-8.2,-0.2,3.1
