ID,Bestemming,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4
274,305700,1979JJ00,681.0,1057.0,-17.9,64.4
275,305700,1980JJ00,815.0,1189.0,12.5,68.6
276,305700,1981JJ00,928.0,1263.0,6.3,73.5
277,305700,1982JJ00,1164.0,1519.0,20.3,76.6
278,305700,1983JJ00,1183.0,1519.0,0.0,77.9
279,305700,1984JJ00,1197.0,1518.0,-0.1,78.9
280,305700,1985JJ00,1630.0,2044.0,34.7,79.7
281,305700,1986JJ00,1203.0,1522.0,-25.5,79.0
282,305700,1987JJ00,1014.0,1268.0,-16.7,80.0
283,305700,1988JJ00,915.0,1134.0,-10.6,80.7
284,305700,1989JJ00,968.0,1185.0,4.5,81.7
285,305700,1990JJ00,1143.0,1378.0,16.3,82.9
286,305700,1991JJ00,1545.0,1817.0,31.8,85.0
287,305700,1992JJ00,1524.0,1767.0,-2.8,86.3
288,305700,1993JJ00,2085.0,2388.0,35.2,87.3
289,305700,1994JJ00,1287.0,1525.0,-36.2,84.4
290,305700,1995JJ00,1202.0,1400.0,-8.2,85.8
291,305700,1996JJ00,1172.0,1354.0,-3.3,86.6
292,305700,1997JJ00,2223.0,2529.0,86.9,87.9
293,305700,1998JJ00,1550.0,1718.0,-32.1,90.2
294,305700,1999JJ00,1124.0,1233.0,-28.3,91.2
295,305700,2000JJ00,1032.0,1103.0,-10.5,93.5
296,305700,2001JJ00,1459.0,1525.0,38.3,95.6
297,305700,2002JJ00,1576.0,1611.0,5.6,97.8
298,305700,2003JJ00,1709.0,1735.0,7.7,98.5
299,305700,2004JJ00,1201.0,1215.0,-30.0,98.8
300,305700,2005JJ00,1375.0,1375.0,13.2,100.0
301,305700,2006JJ00,2032.0,1985.0,44.4,102.4
302,305700,2007JJ00,1585.0,1507.0,-24.1,105.2
303,305700,2008JJ00,2074.0,1906.0,26.4,108.8
304,305700,2009JJ00,1976.0,1812.0,-4.9,109.0
305,305700,2010JJ00,2016.0,1823.0,0.6,110.6
306,305700,2011JJ00,4073.0,3563.0,95.4,114.3
307,305700,2012JJ00,3509.0,3022.0,-15.2,116.1
308,305800,1969JJ00,,,,
309,305800,1970JJ00,,,,
310,305800,1971JJ00,,,,
311,305800,1972JJ00,,,,
312,305800,1973JJ00,,,,
313,305800,1974JJ00,,,,
314,305800,1975JJ00,,,,
315,305800,1976JJ00,,,,
316,305800,1977JJ00,,,,
317,305800,1978JJ00,,,,
318,305800,1979JJ00,,,,
319,305800,1980JJ00,,,,
320,305800,1981JJ00,,,,
321,305800,1982JJ00,,,,
322,305800,1983JJ00,,,,
323,305800,1984JJ00,,,,
324,305800,1985JJ00,,,,
325,305800,1986JJ00,,,,
326,305800,1987JJ00,,,,
327,305800,1988JJ00,842.0,1051.0,,80.1
328,305800,1989JJ00,890.0,1097.0,4.4,81.1
329,305800,1990JJ00,1093.0,1327.0,21.0,82.3
330,305800,1991JJ00,1507.0,1785.0,34.5,84.4
331,305800,1992JJ00,1466.0,1712.0,-4.1,85.6
332,305800,1993JJ00,2037.0,2348.0,37.2,86.8
333,305800,1994JJ00,1265.0,1509.0,-35.7,83.8
334,305800,1995JJ00,1180.0,1384.0,-8.3,85.3
335,305800,1996JJ00,1129.0,1311.0,-5.3,86.1
336,305800,1997JJ00,2181.0,2495.0,90.3,87.4
337,305800,1998JJ00,1513.0,1685.0,-32.5,89.8
338,305800,1999JJ00,1078.0,1186.0,-29.6,90.9
339,305800,2000JJ00,989.0,1060.0,-10.7,93.3
340,305800,2001JJ00,1410.0,1478.0,39.4,95.4
341,305800,2002JJ00,1538.0,1575.0,6.6,97.7
342,305800,2003JJ00,1649.0,1676.0,6.4,98.4
343,305800,2004JJ00,1154.0,1169.0,-30.3,98.7
344,305800,2005JJ00,1317.0,1317.0,12.7,100.0
345,305800,2006JJ00,1985.0,1938.0,47.2,102.4
346,305800,2007JJ00,1538.0,1462.0,-24.6,105.2
347,305800,2008JJ00,2005.0,1840.0,25.9,109.0
348,305800,2009JJ00,1953.0,1789.0,-2.7,109.1
349,305800,2010JJ00,1998.0,1805.0,0.9,110.7
350,305800,2011JJ00,4038.0,3528.0,95.4,114.5
351,305800,2012JJ00,,,,
352,306300,1969JJ00,,,,
353,306300,1970JJ00,,,,
354,306300,1971JJ00,,,,
355,306300,1972JJ00,,,,
356,306300,1973JJ00,,,,
357,306300,1974JJ00,,,,
358,306300,1975JJ00,,,,
