ID,Leeftijd,Perioden,TotaalBevolking_1,Mannen_2,Vrouwen_3
4169, 84,2016JJ00,67196,26068,41128
4170, 84,2017JJ00,69185,27100,42085
4171, 84,2018JJ00,68261,27148,41113
4172, 84,2019JJ00,70423,28349,42074
4173, 84,2020JJ00,71697,29283,42415
4174, 84,2021JJ00,74039,30605,43434
4175, 84,2022JJ00,74978,31217,43760
4176, 84,2023JJ00,80207,33814,46393
4177, 84,2024JJ00,82598,34935,47663
4178, 84,2025JJ00,86062,36822,49240
4179, 84,2026JJ00,84369,36482,47887
4180, 84,2027JJ00,88878,38668,50211
4181, 84,2028JJ00,96428,42150,54278
4182, 84,2029JJ00,102000,44584,57416
4183, 84,2030JJ00,97786,42906,54880
4184, 84,2031JJ00,136561,60399,76162
4185, 84,2032JJ00,132529,58418,74111
4186, 84,2033JJ00,125893,55915,69978
4187, 84,2034JJ00,122379,54341,68038
4188, 84,2035JJ00,120698,53572,67126
4189, 84,2036JJ00,120371,53537,66834
4190, 84,2037JJ00,124589,55427,69161
4191, 84,2038JJ00,124385,55273,69112
4192, 84,2039JJ00,126204,56196,70007
4193, 84,2040JJ00,128117,56745,71372
4194, 84,2041JJ00,131178,58482,72696
4195, 84,2042JJ00,133650,59503,74147
4196, 84,2043JJ00,136413,60841,75572
4197, 84,2044JJ00,140250,62547,77703
4198, 84,2045JJ00,141235,63129,78106
4199, 84,2046JJ00,145666,65041,80625
4200, 84,2047JJ00,146994,65728,81265
4201, 84,2048JJ00,149841,67366,82475
4202, 84,2049JJ00,152329,68492,83838
4203, 84,2050JJ00,150029,67605,82424
4204, 84,2051JJ00,148185,66682,81503
4205, 84,2052JJ00,147881,66583,81298
4206, 84,2053JJ00,149407,67101,82306
4207, 84,2054JJ00,156381,70372,86010
4208, 84,2055JJ00,153204,68803,84401
4209, 84,2056JJ00,147596,66322,81275
4210, 84,2057JJ00,141402,63138,78264
4211, 84,2058JJ00,131499,58872,72627
4212, 84,2059JJ00,127412,57195,70217
4213, 84,2060JJ00,122790,55196,67593
4214, 85,2012JJ00,54597,19122,35476
4215, 85,2013JJ00,54957,19730,35227
4216, 85,2014JJ00,57635,20813,36822
4217, 85,2015JJ00,58558,21545,37013
