ID,Brandstofsoort,Bouwjaarklasse,Perioden,VoertuigenMetBromfietskenteken_1,Snorfiets_2,Bromfiets_3,Brommobiel_4,OverigeVoertuigenMetBromfietskenteken_5
331,A019276,A048942,2018JJ00,,,,,
332,A019276,A048942,2019JJ00,,,,,
333,A019276,A048942,2020JJ00,,,,,
334,A019276,A048942,2021JJ00,62303.0,45301.0,16965.0,0.0,37.0
335,A019276,A048942,2022JJ00,64178.0,46457.0,17685.0,0.0,36.0
336,A019276,A044287,2007JJ00,,,,,
337,A019276,A044287,2008JJ00,,,,,
338,A019276,A044287,2009JJ00,,,,,
339,A019276,A044287,2010JJ00,,,,,
340,A019276,A044287,2011JJ00,,,,,
341,A019276,A044287,2012JJ00,,,,,
342,A019276,A044287,2013JJ00,,,,,
343,A019276,A044287,2014JJ00,,,,,
344,A019276,A044287,2015JJ00,,,,,
345,A019276,A044287,2016JJ00,,,,,
346,A019276,A044287,2017JJ00,,,,,
347,A019276,A044287,2018JJ00,,,,,
348,A019276,A044287,2019JJ00,,,,,
349,A019276,A044287,2020JJ00,48426.0,31461.0,16673.0,0.0,292.0
350,A019276,A044287,2021JJ00,47736.0,31310.0,16374.0,0.0,52.0
351,A019276,A044287,2022JJ00,47034.0,30688.0,16295.0,0.0,51.0
352,A019276,A044286,2007JJ00,,,,,
353,A019276,A044286,2008JJ00,,,,,
354,A019276,A044286,2009JJ00,,,,,
355,A019276,A044286,2010JJ00,,,,,
356,A019276,A044286,2011JJ00,,,,,
357,A019276,A044286,2012JJ00,,,,,
358,A019276,A044286,2013JJ00,,,,,
359,A019276,A044286,2014JJ00,,,,,
360,A019276,A044286,2015JJ00,,,,,
361,A019276,A044286,2016JJ00,,,,,
362,A019276,A044286,2017JJ00,,,,,
363,A019276,A044286,2018JJ00,,,,,
364,A019276,A044286,2019JJ00,50129.0,37247.0,12770.0,0.0,112.0
365,A019276,A044286,2020JJ00,49030.0,36324.0,12596.0,0.0,110.0
366,A019276,A044286,2021JJ00,48378.0,36023.0,12315.0,0.0,40.0
367,A019276,A044286,2022JJ00,47600.0,35251.0,12309.0,0.0,40.0
368,A019276,A044285,2007JJ00,,,,,
369,A019276,A044285,2008JJ00,,,,,
370,A019276,A044285,2009JJ00,,,,,
371,A019276,A044285,2010JJ00,,,,,
372,A019276,A044285,2011JJ00,,,,,
373,A019276,A044285,2012JJ00,,,,,
374,A019276,A044285,2013JJ00,,,,,
375,A019276,A044285,2014JJ00,,,,,
376,A019276,A044285,2015JJ00,,,,,
377,A019276,A044285,2016JJ00,,,,,
378,A019276,A044285,2017JJ00,,,,,
379,A019276,A044285,2018JJ00,67863.0,50829.0,16912.0,0.0,122.0
380,A019276,A044285,2019JJ00,74183.0,56470.0,17580.0,0.0,133.0
381,A019276,A044285,2020JJ00,73614.0,55815.0,17666.0,0.0,133.0
382,A019276,A044285,2021JJ00,72986.0,55407.0,17491.0,0.0,88.0
383,A019276,A044285,2022JJ00,71618.0,54177.0,17353.0,0.0,88.0
384,A019276,A044284,2007JJ00,,,,,
385,A019276,A044284,2008JJ00,,,,,
386,A019276,A044284,2009JJ00,,,,,
387,A019276,A044284,2010JJ00,,,,,
388,A019276,A044284,2011JJ00,,,,,
389,A019276,A044284,2012JJ00,,,,,
390,A019276,A044284,2013JJ00,,,,,
391,A019276,A044284,2014JJ00,,,,,
392,A019276,A044284,2015JJ00,,,,,
393,A019276,A044284,2016JJ00,,,,,
394,A019276,A044284,2017JJ00,61486.0,44814.0,16543.0,0.0,129.0
395,A019276,A044284,2018JJ00,60197.0,44016.0,16054.0,0.0,127.0
396,A019276,A044284,2019JJ00,58847.0,43362.0,15360.0,0.0,125.0
397,A019276,A044284,2020JJ00,57796.0,42629.0,15040.0,0.0,127.0
398,A019276,A044284,2021JJ00,56729.0,41979.0,14646.0,0.0,104.0
399,A019276,A044284,2022JJ00,55521.0,40966.0,14454.0,0.0,101.0
400,A019276,A044283,2007JJ00,,,,,
401,A019276,A044283,2008JJ00,,,,,
402,A019276,A044283,2009JJ00,,,,,
403,A019276,A044283,2010JJ00,,,,,
404,A019276,A044283,2011JJ00,,,,,
405,A019276,A044283,2012JJ00,,,,,
406,A019276,A044283,2013JJ00,,,,,
407,A019276,A044283,2014JJ00,,,,,
408,A019276,A044283,2015JJ00,,,,,
409,A019276,A044283,2016JJ00,58923.0,41802.0,17005.0,0.0,116.0
410,A019276,A044283,2017JJ00,57465.0,40796.0,16553.0,0.0,116.0
411,A019276,A044283,2018JJ00,56322.0,40303.0,15907.0,0.0,112.0
