ID,Geslacht,Persoonskenmerken,Perioden,Verkeersdeelname_1,GebruikVanHetOpenbaarVervoer_2
443,3000   ,80001  ,2013JJ00,83.8,1.2
444,3000   ,80001  ,2014JJ00,85.8,1.9
445,3000   ,80001  ,2015JJ00,83.8,1.5
446,3000   ,80001  ,2016JJ00,85.6,1.6
447,3000   ,80001  ,2017JJ00,84.1,1.9
448,3000   ,52020  ,2010JJ00,80.6,8.5
449,3000   ,52020  ,2011JJ00,81.0,9.1
450,3000   ,52020  ,2012JJ00,83.2,8.5
451,3000   ,52020  ,2013JJ00,82.4,9.4
452,3000   ,52020  ,2014JJ00,82.3,8.1
453,3000   ,52020  ,2015JJ00,81.4,7.9
454,3000   ,52020  ,2016JJ00,82.2,7.8
455,3000   ,52020  ,2017JJ00,79.9,9.5
456,3000   ,53105  ,2010JJ00,84.6,19.8
457,3000   ,53105  ,2011JJ00,84.1,22.7
458,3000   ,53105  ,2012JJ00,81.1,21.7
459,3000   ,53105  ,2013JJ00,81.8,22.0
460,3000   ,53105  ,2014JJ00,82.7,19.7
461,3000   ,53105  ,2015JJ00,81.0,21.9
462,3000   ,53105  ,2016JJ00,80.8,21.8
463,3000   ,53105  ,2017JJ00,80.9,20.8
464,3000   ,53500  ,2010JJ00,84.2,8.1
465,3000   ,53500  ,2011JJ00,86.1,9.8
466,3000   ,53500  ,2012JJ00,85.8,10.5
467,3000   ,53500  ,2013JJ00,84.9,10.3
468,3000   ,53500  ,2014JJ00,84.7,10.3
469,3000   ,53500  ,2015JJ00,83.7,8.4
470,3000   ,53500  ,2016JJ00,83.8,9.6
471,3000   ,53500  ,2017JJ00,83.9,11.3
472,3000   ,53705  ,2010JJ00,82.2,5.1
473,3000   ,53705  ,2011JJ00,81.4,5.1
474,3000   ,53705  ,2012JJ00,81.3,5.0
475,3000   ,53705  ,2013JJ00,83.1,5.0
476,3000   ,53705  ,2014JJ00,81.9,4.9
477,3000   ,53705  ,2015JJ00,82.6,5.1
478,3000   ,53705  ,2016JJ00,81.2,5.4
479,3000   ,53705  ,2017JJ00,81.2,5.7
480,3000   ,53850  ,2010JJ00,78.5,4.7
481,3000   ,53850  ,2011JJ00,78.7,4.7
482,3000   ,53850  ,2012JJ00,77.9,4.1
