ID,Landen,BedrijfstakkenBranchesSBI2008,Perioden,BuitenlandseDochterondernemingen_1,WerkzamePersonenFTE_2,Omzet_3,Personeelskosten_4,Investeringen_5
329,T001047,441000 ,2023JJ00,,,,,
330,L006998,305700 ,2021JJ00,126.0,46.0,13952.0,1435.0,
331,L006998,305700 ,2022JJ00,113.0,31.0,5041.0,533.0,1650.0
332,L006998,305700 ,2023JJ00,97.0,6.0,1695.0,184.0,205.0
333,L006998,800012 ,2021JJ00,9527.0,1342.0,747174.0,58174.0,35526.0
334,L006998,800012 ,2022JJ00,10376.0,1438.0,855437.0,65920.0,28476.0
335,L006998,800012 ,2023JJ00,9404.0,1261.0,999917.0,65399.0,24855.0
336,L006998,305800 ,2021JJ00,49.0,,7511.0,712.0,
337,L006998,305800 ,2022JJ00,4.0,,,90.0,
338,L006998,305800 ,2023JJ00,3.0,,,6.0,
339,L006998,306300 ,2021JJ00,25.0,28.0,3597.0,394.0,225.0
340,L006998,306300 ,2022JJ00,40.0,25.0,2507.0,303.0,320.0
341,L006998,306300 ,2023JJ00,44.0,2.0,426.0,46.0,86.0
342,L006998,307000 ,2021JJ00,53.0,,2844.0,329.0,394.0
343,L006998,307000 ,2022JJ00,68.0,,1166.0,140.0,
344,L006998,307000 ,2023JJ00,49.0,4.0,1253.0,132.0,
345,L006998,307500 ,2021JJ00,2034.0,406.0,281327.0,18283.0,11778.0
346,L006998,307500 ,2022JJ00,2171.0,468.0,229827.0,20137.0,9083.0
347,L006998,307500 ,2023JJ00,1665.0,393.0,254341.0,21785.0,8378.0
348,L006998,307610 ,2021JJ00,488.0,117.0,36275.0,3911.0,2205.0
349,L006998,307610 ,2022JJ00,606.0,137.0,47021.0,4665.0,3093.0
350,L006998,307610 ,2023JJ00,428.0,113.0,38980.0,3600.0,2471.0
351,L006998,307600 ,2021JJ00,391.0,50.0,18689.0,1802.0,825.0
352,L006998,307600 ,2022JJ00,447.0,65.0,24002.0,2149.0,1082.0
353,L006998,307600 ,2023JJ00,333.0,44.0,16218.0,1007.0,629.0
354,L006998,311300 ,2021JJ00,96.0,68.0,17586.0,2109.0,1380.0
355,L006998,311300 ,2022JJ00,159.0,72.0,23019.0,2516.0,2011.0
356,L006998,311300 ,2023JJ00,94.0,68.0,22762.0,2593.0,1842.0
357,L006998,312200 ,2021JJ00,,,,,
358,L006998,312200 ,2022JJ00,,,,,
