ID,LandbouwgoederenEnDiensten,Perioden,OutputAfProducentwaarde_1,OutputBasisprijzen_2,OutputAfProducentwaarde_3,OutputBasisprijzen_4,OutputAfProducentwaarde_5,OutputBasisprijzen_6,OutputAfProducentwaarde_7,OutputBasisprijzen_8
722,4210  ,2004JJ00,2982.0,2982.0,3773.0,3773.0,5.0,5.0,79.0,79.0
723,4210  ,2005JJ00,3081.0,3081.0,3641.0,3641.0,-3.5,-3.5,84.6,84.6
724,4210  ,2006JJ00,3257.0,3257.0,3718.0,3718.0,2.1,2.1,87.6,87.6
725,4210  ,2007JJ00,3634.0,3634.0,3769.0,3769.0,1.4,1.4,96.4,96.4
726,4210  ,2008JJ00,3651.0,3651.0,3858.0,3858.0,2.4,2.4,94.6,94.6
727,4210  ,2009JJ00,3789.0,3789.0,3895.0,3895.0,1.0,1.0,97.3,97.3
728,4210  ,2010JJ00,3927.0,3927.0,3927.0,3927.0,0.8,0.8,100.0,100.0
729,4210  ,2011JJ00,3937.0,3937.0,3944.0,3944.0,0.4,0.4,99.8,99.8
730,4210  ,2012JJ00,3829.0,3829.0,3865.0,3865.0,-2.0,-2.0,99.1,99.1
731,4210  ,2013JJ00,4014.0,4014.0,3827.0,3827.0,-1.0,-1.0,104.9,104.9
732,4210  ,2014JJ00,4051.0,4051.0,3835.0,3835.0,0.2,0.2,105.7,105.7
733,4210  ,2015JJ00,4103.0,4103.0,3845.0,3845.0,0.3,0.3,106.7,106.7
734,4210  ,2016JJ00,4252.0,4252.0,3888.0,3888.0,1.1,1.1,109.4,109.4
735,4210  ,2017JJ00,,,,,,,,
736,4220  ,1995JJ00,1744.0,1765.0,2244.0,2265.0,,,77.7,77.9
737,4220  ,1996JJ00,1777.0,1795.0,2288.0,2307.0,2.0,1.9,77.7,77.8
738,4220  ,1997JJ00,1906.0,1925.0,2397.0,2418.0,4.8,4.8,79.5,79.6
739,4220  ,1998JJ00,2004.0,2027.0,2369.0,2395.0,-1.2,-1.0,84.6,84.6
740,4220  ,1999JJ00,1987.0,2007.0,2449.0,2476.0,3.4,3.4,81.2,81.1
741,4220  ,2000JJ00,2240.0,2255.0,2502.0,2522.0,2.2,1.9,89.5,89.4
742,4220  ,2001JJ00,2199.0,2217.0,2380.0,2399.0,-4.9,-4.9,92.4,92.4
743,4220  ,2002JJ00,2295.0,2310.0,2402.0,2418.0,0.9,0.8,95.6,95.6
744,4220  ,2003JJ00,2283.0,2304.0,2462.0,2485.0,2.5,2.8,92.7,92.7
745,4220  ,2004JJ00,2268.0,2286.0,2504.0,2524.0,1.7,1.6,90.6,90.6
746,4220  ,2005JJ00,2350.0,2367.0,2489.0,2507.0,-0.6,-0.7,94.4,94.4
747,4220  ,2006JJ00,2415.0,2431.0,2418.0,2435.0,-2.8,-2.9,99.9,99.8
748,4220  ,2007JJ00,2466.0,2488.0,2375.0,2398.0,-1.8,-1.5,103.8,103.8
749,4220  ,2008JJ00,2332.0,2350.0,2337.0,2356.0,-1.6,-1.8,99.8,99.8
