ID,Warmtepompen,Sector,Perioden,InGebruikGenomenWarmtepompen_1,UitGebruikGenomenWarmtepompen_2,OpgesteldeWarmtepompenEindeVanJaar_3,InGebruikGenomenThermischVermogen_4,UitGebruikGenomenThermischVermogen_5,OpgesteldThermischVermogenEindeJaar_6,BrutoWarmteproductieWarmtepompen_7,VerbruikVanElektriciteitEnAardgas_8,OnttrekkingWarmteUitBodemOfLucht_9,VermedenVerbruikVanFossieleEnergie_10,VermedenEmissieKooldioxideCO2_11
161,A043945 ,E007040 ,2015JJ00,438.0,211.0,9782.0,74.0,10.0,883.0,3496.0,913.0,2583.0,1508.0,39.0
162,A043945 ,E007040 ,2016JJ00,427.0,350.0,9860.0,54.0,9.0,928.0,3675.0,958.0,2717.0,1662.0,54.0
163,A043945 ,E007040 ,2017JJ00,362.0,386.0,9836.0,57.0,15.0,970.0,3840.0,999.0,2841.0,1831.0,68.0
164,A043945 ,E007040 ,2018JJ00,426.0,242.0,10019.0,75.0,16.0,1029.0,4074.0,1056.0,3017.0,1990.0,81.0
165,A043945 ,E007040 ,2019JJ00,523.0,720.0,9823.0,73.0,42.0,1060.0,4196.0,1082.0,3114.0,2134.0,104.0
166,A043945 ,E007040 ,2020JJ00,503.0,664.0,9662.0,67.0,54.0,1072.0,4246.0,1086.0,3159.0,2221.0,125.0
167,A043945 ,E007040 ,2021JJ00,492.0,881.0,9272.0,77.0,55.0,1094.0,4331.0,1095.0,3236.0,2286.0,128.0
168,A043946 ,E007041 ,1994JJ00,0.0,0.0,24.0,0.0,0.0,2.0,7.0,4.0,3.0,3.0,0.0
169,A043946 ,E007041 ,1995JJ00,9.0,0.0,33.0,0.0,0.0,2.0,7.0,4.0,3.0,3.0,0.0
170,A043946 ,E007041 ,1996JJ00,33.0,0.0,66.0,0.0,0.0,2.0,8.0,4.0,4.0,3.0,0.0
171,A043946 ,E007041 ,1997JJ00,246.0,0.0,312.0,2.0,0.0,4.0,14.0,6.0,9.0,6.0,0.0
172,A043946 ,E007041 ,1998JJ00,189.0,0.0,501.0,3.0,0.0,6.0,26.0,8.0,17.0,11.0,0.0
173,A043946 ,E007041 ,1999JJ00,140.0,0.0,641.0,1.0,0.0,8.0,30.0,10.0,21.0,13.0,1.0
174,A043946 ,E007041 ,2000JJ00,227.0,0.0,868.0,2.0,0.0,10.0,38.0,12.0,26.0,16.0,1.0
175,A043946 ,E007041 ,2001JJ00,90.0,0.0,957.0,1.0,0.0,10.0,41.0,13.0,29.0,17.0,1.0
176,A043946 ,E007041 ,2002JJ00,259.0,0.0,1216.0,2.0,0.0,13.0,51.0,15.0,35.0,21.0,1.0
