ID,IndicatieWelNietJeugdwet,RegioS,Perioden,JongerenMetAWBZIndicatieInJaar_1
356,1000,GA09  ,2011JJ00,1965.0
357,1000,GA09  ,2012JJ00,1740.0
358,1000,GA09  ,2013JJ00,1630.0
359,1000,GA09  ,2014JJ00,1520.0
360,1000,GA10  ,2011JJ00,4500.0
361,1000,GA10  ,2012JJ00,4085.0
362,1000,GA10  ,2013JJ00,3805.0
363,1000,GA10  ,2014JJ00,3655.0
364,1000,GA11  ,2011JJ00,745.0
365,1000,GA11  ,2012JJ00,650.0
366,1000,GA11  ,2013JJ00,615.0
367,1000,GA11  ,2014JJ00,610.0
368,1000,GA12  ,2011JJ00,1140.0
369,1000,GA12  ,2012JJ00,985.0
370,1000,GA12  ,2013JJ00,875.0
371,1000,GA12  ,2014JJ00,875.0
372,1000,GA13  ,2011JJ00,2170.0
373,1000,GA13  ,2012JJ00,1900.0
374,1000,GA13  ,2013JJ00,1740.0
375,1000,GA13  ,2014JJ00,1725.0
376,1000,GA14  ,2011JJ00,4215.0
377,1000,GA14  ,2012JJ00,3635.0
378,1000,GA14  ,2013JJ00,3200.0
379,1000,GA14  ,2014JJ00,3070.0
380,1000,GA15  ,2011JJ00,1350.0
381,1000,GA15  ,2012JJ00,1225.0
382,1000,GA15  ,2013JJ00,1120.0
383,1000,GA15  ,2014JJ00,1040.0
384,1000,GA16  ,2011JJ00,800.0
385,1000,GA16  ,2012JJ00,700.0
386,1000,GA16  ,2013JJ00,635.0
387,1000,GA16  ,2014JJ00,610.0
388,1000,GA17  ,2011JJ00,1575.0
389,1000,GA17  ,2012JJ00,1515.0
390,1000,GA17  ,2013JJ00,1445.0
391,1000,GA17  ,2014JJ00,1410.0
392,1000,GA18  ,2011JJ00,1080.0
393,1000,GA18  ,2012JJ00,920.0
394,1000,GA18  ,2013JJ00,810.0
395,1000,GA18  ,2014JJ00,735.0
396,1000,GA19  ,2011JJ00,2090.0
397,1000,GA19  ,2012JJ00,1770.0
398,1000,GA19  ,2013JJ00,1615.0
399,1000,GA19  ,2014JJ00,1540.0
400,1000,GA20  ,2011JJ00,1040.0
401,1000,GA20  ,2012JJ00,955.0
402,1000,GA20  ,2013JJ00,890.0
403,1000,GA20  ,2014JJ00,855.0
404,1000,GA21  ,2011JJ00,1385.0
405,1000,GA21  ,2012JJ00,1265.0
406,1000,GA21  ,2013JJ00,1225.0
407,1000,GA21  ,2014JJ00,1205.0
408,1000,GA22  ,2011JJ00,890.0
409,1000,GA22  ,2012JJ00,790.0
410,1000,GA22  ,2013JJ00,740.0
411,1000,GA22  ,2014JJ00,675.0
412,1000,GM1680,2011JJ00,155.0
413,1000,GM1680,2012JJ00,155.0
414,1000,GM1680,2013JJ00,140.0
415,1000,GM1680,2014JJ00,125.0
416,1000,GM0738,2011JJ00,80.0
417,1000,GM0738,2012JJ00,60.0
418,1000,GM0738,2013JJ00,50.0
419,1000,GM0738,2014JJ00,50.0
420,1000,GM0358,2011JJ00,120.0
421,1000,GM0358,2012JJ00,115.0
422,1000,GM0358,2013JJ00,105.0
423,1000,GM0358,2014JJ00,105.0
424,1000,GM0197,2011JJ00,190.0
425,1000,GM0197,2012JJ00,175.0
426,1000,GM0197,2013JJ00,165.0
427,1000,GM0197,2014JJ00,170.0
428,1000,GM0059,2011JJ00,225.0
429,1000,GM0059,2012JJ00,220.0
430,1000,GM0059,2013JJ00,200.0
431,1000,GM0059,2014JJ00,195.0
432,1000,GM0482,2011JJ00,135.0
