ID,Geslacht,Leeftijd,IndicatieZZVEnOfZMV,IndicatieWelNietJeugdwet,Perioden,JongerenMetAWBZIndicatieInJaar_1
458,3000,41300,1600,1000,2013JJ00,9490.0
459,3000,41300,1600,1000,2014JJ00,9340.0
460,3000,41300,1600,1100,2011JJ00,8335.0
461,3000,41300,1600,1100,2012JJ00,8820.0
462,3000,41300,1600,1100,2013JJ00,8920.0
463,3000,41300,1600,1100,2014JJ00,8930.0
464,3000,41300,1600,1200,2011JJ00,3590.0
465,3000,41300,1600,1200,2012JJ00,1070.0
466,3000,41300,1600,1200,2013JJ00,570.0
467,3000,41300,1600,1200,2014JJ00,410.0
468,3000,41300,1700,1000,2011JJ00,23860.0
469,3000,41300,1700,1000,2012JJ00,15680.0
470,3000,41300,1700,1000,2013JJ00,11710.0
471,3000,41300,1700,1000,2014JJ00,9520.0
472,3000,41300,1700,1100,2011JJ00,23860.0
473,3000,41300,1700,1100,2012JJ00,15680.0
474,3000,41300,1700,1100,2013JJ00,11710.0
475,3000,41300,1700,1100,2014JJ00,9520.0
476,3000,41300,1700,1200,2011JJ00,
477,3000,41300,1700,1200,2012JJ00,
478,3000,41300,1700,1200,2013JJ00,
479,3000,41300,1700,1200,2014JJ00,
480,3000,40000,1000,1000,2011JJ00,4770.0
481,3000,40000,1000,1000,2012JJ00,3400.0
482,3000,40000,1000,1000,2013JJ00,2965.0
483,3000,40000,1000,1000,2014JJ00,2910.0
484,3000,40000,1000,1100,2011JJ00,2820.0
485,3000,40000,1000,1100,2012JJ00,2655.0
486,3000,40000,1000,1100,2013JJ00,2480.0
487,3000,40000,1000,1100,2014JJ00,2545.0
488,3000,40000,1000,1200,2011JJ00,2775.0
489,3000,40000,1000,1200,2012JJ00,1340.0
490,3000,40000,1000,1200,2013JJ00,935.0
491,3000,40000,1000,1200,2014JJ00,765.0
492,3000,40000,1100,1000,2011JJ00,4715.0
493,3000,40000,1100,1000,2012JJ00,3355.0
494,3000,40000,1100,1000,2013JJ00,2935.0
495,3000,40000,1100,1000,2014JJ00,2890.0
496,3000,40000,1100,1100,2011JJ00,2800.0
497,3000,40000,1100,1100,2012JJ00,2635.0
498,3000,40000,1100,1100,2013JJ00,2470.0
499,3000,40000,1100,1100,2014JJ00,2535.0
500,3000,40000,1100,1200,2011JJ00,2740.0
501,3000,40000,1100,1200,2012JJ00,1295.0
502,3000,40000,1100,1200,2013JJ00,905.0
503,3000,40000,1100,1200,2014JJ00,735.0
504,3000,40000,1200,1000,2011JJ00,75.0
505,3000,40000,1200,1000,2012JJ00,80.0
506,3000,40000,1200,1000,2013JJ00,55.0
507,3000,40000,1200,1000,2014JJ00,45.0
508,3000,40000,1200,1100,2011JJ00,25.0
509,3000,40000,1200,1100,2012JJ00,25.0
510,3000,40000,1200,1100,2013JJ00,15.0
511,3000,40000,1200,1100,2014JJ00,10.0
