ID,Perioden,Totaal_1,Binnenland_2,Buitenland_3,Totaal_4,Binnenland_5,Buitenland_6,Bezettingsgraad_7,Totaal_8,Binnenland_9,Buitenland_10,Totaal_11,Binnenland_12,Buitenland_13,ZakelijkeOvernachtingen_14,Bezettingsgraad_15,Totaal_16,Binnenland_17,Buitenland_18,Totaal_19,Binnenland_20,Buitenland_21,Bezettingsgraad_22,Totaal_23,Binnenland_24,Buitenland_25,Totaal_26,Binnenland_27,Buitenland_28,Bezettingsgraad_29,Totaal_30,Binnenland_31,Buitenland_32,Totaal_33,Binnenland_34,Buitenland_35,Bezettingsgraad_36,Totaal_37,Binnenland_38,Buitenland_39,Totaal_40,Binnenland_41,Buitenland_42,Bezettingsgraad_43
29,2014MM06,3868,2454,1414,11593,7904,3689,28.5,2136,1116,1020,3742,1867,1875,1580,49.9,1732,1338,394,7851,6037,1814,23.6,763,595,168,3833,3098,736,16.7,752,534,218,3450,2401,1048,40.2,217,209,8,568,538,30,34.0
30,2014MM07,3700,2246,1455,12979,8798,4181,30.9,2177,1091,1086,3985,1902,2083,1260,51.4,1524,1155,369,8994,6896,2098,26.2,756,603,153,4688,3887,801,19.8,641,442,198,3782,2610,1172,42.6,127,109,17,523,399,125,30.3
31,2014MM08,4281,2627,1654,16703,11467,5237,39.7,2337,1192,1145,4389,2121,2268,1360,56.7,1944,1435,509,12314,9346,2969,35.9,940,722,218,6395,5297,1098,27.0,868,595,273,5372,3621,1751,60.6,136,118,18,548,428,120,31.7
32,2014MM09,3368,2114,1254,9375,6217,3158,23.1,2130,1133,997,3683,1857,1825,1610,49.1,1238,981,257,5692,4360,1333,17.2,379,301,77,2045,1675,370,9.0,667,494,173,3165,2229,936,36.9,192,186,6,483,456,27,29.1
33,2014MM10,3270,1976,1294,8330,5090,3240,23.2,2100,1140,960,3551,1813,1738,1570,46.1,1169,835,334,4780,3277,1502,16.9,202,134,69,888,594,295,4.9,843,582,261,3575,2391,1185,41.1,124,119,5,316,293,23,19.5
34,2014MM11,2331,1400,931,4961,3061,1899,23.2,1784,967,817,2910,1465,1445,1350,39.7,547,433,114,2050,1596,454,14.6,21,9,11,65,28,38,1.2,452,351,102,1801,1387,413,24.5,74,73,1,184,181,3,13.6
35,2014MM12,2118,1350,768,4825,3218,1607,23.4,1609,925,684,2685,1423,1263,1050,36.0,509,426,83,2140,1796,344,16.2,13,7,5,48,30,18,1.1,451,374,77,1959,1635,324,26.0,46,45,1,132,130,2,9.8
36,2015MM01,1889,1126,763,4142,2511,1630,20.2,1436,775,662,2383,1186,1197,1100,31.7,452,351,101,1759,1326,434,13.6,12,6,6,59,29,30,1.4,394,300,93,1593,1194,399,21.0,47,45,1,108,103,5,8.4
37,2015MM02,2106,1276,830,4696,2998,1698,25.0,1549,827,722,2553,1273,1279,1150,37.0,557,449,108,2143,1725,418,18.0,15,8,7,48,27,21,1.3,497,397,100,1997,1602,395,29.0,45,44,1,98,95,2,8.3
38,2015MM03,2373,1377,996,5123,3044,2079,20.7,1777,916,861,2946,1404,1542,1330,38.0,596,461,135,2177,1640,537,12.8,36,21,15,140,87,53,1.8,492,376,116,1877,1403,473,24.0,68,64,3,160,149,10,11.1
