ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
507,A052938,A019163,2024JJ00,122.0
508,A052938,A019164,2021JJ00,104.0
509,A052938,A019164,2022JJ00,102.0
510,A052938,A019164,2023JJ00,105.0
511,A052938,A019164,2024JJ00,111.0
512,A052938,A019165,2021JJ00,11.0
513,A052938,A019165,2022JJ00,13.0
514,A052938,A019165,2023JJ00,11.0
515,A052938,A019165,2024JJ00,12.0
516,A052938,A044427,2021JJ00,1061.0
517,A052938,A044427,2022JJ00,1125.0
518,A052938,A044427,2023JJ00,1266.0
519,A052938,A044427,2024JJ00,1394.0
520,A052939,T001103,2021JJ00,1122.0
521,A052939,T001103,2022JJ00,935.0
522,A052939,T001103,2023JJ00,883.0
523,A052939,T001103,2024JJ00,955.0
524,A052939,A019151,2021JJ00,320.0
525,A052939,A019151,2022JJ00,182.0
526,A052939,A019151,2023JJ00,0.0
527,A052939,A019151,2024JJ00,0.0
528,A052939,A019154,2021JJ00,0.0
529,A052939,A019154,2022JJ00,0.0
530,A052939,A019154,2023JJ00,0.0
531,A052939,A019154,2024JJ00,0.0
532,A052939,A019155,2021JJ00,
533,A052939,A019155,2022JJ00,
534,A052939,A019155,2023JJ00,
535,A052939,A019155,2024JJ00,
536,A052939,A019156,2021JJ00,712.0
537,A052939,A019156,2022JJ00,711.0
538,A052939,A019156,2023JJ00,838.0
539,A052939,A019156,2024JJ00,910.0
540,A052939,A019158,2021JJ00,0.0
541,A052939,A019158,2022JJ00,0.0
542,A052939,A019158,2023JJ00,0.0
543,A052939,A019158,2024JJ00,0.0
544,A052939,A019163,2021JJ00,56.0
545,A052939,A019163,2022JJ00,41.0
546,A052939,A019163,2023JJ00,44.0
547,A052939,A019163,2024JJ00,45.0
548,A052939,A019164,2021JJ00,14.0
549,A052939,A019164,2022JJ00,0.0
550,A052939,A019164,2023JJ00,0.0
551,A052939,A019164,2024JJ00,0.0
552,A052939,A019165,2021JJ00,42.0
553,A052939,A019165,2022JJ00,41.0
554,A052939,A019165,2023JJ00,44.0
555,A052939,A019165,2024JJ00,45.0
556,A052939,A044427,2021JJ00,34.0
557,A052939,A044427,2022JJ00,1.0
558,A052939,A044427,2023JJ00,1.0
559,A052939,A044427,2024JJ00,1.0
560,A052940,T001103,2021JJ00,2665.0
561,A052940,T001103,2022JJ00,3096.0
562,A052940,T001103,2023JJ00,3216.0
563,A052940,T001103,2024JJ00,3622.0
564,A052940,A019151,2021JJ00,796.0
565,A052940,A019151,2022JJ00,768.0
566,A052940,A019151,2023JJ00,803.0
567,A052940,A019151,2024JJ00,933.0
568,A052940,A019154,2021JJ00,130.0
569,A052940,A019154,2022JJ00,166.0
570,A052940,A019154,2023JJ00,200.0
571,A052940,A019154,2024JJ00,231.0
572,A052940,A019155,2021JJ00,
573,A052940,A019155,2022JJ00,
574,A052940,A019155,2023JJ00,
575,A052940,A019155,2024JJ00,
576,A052940,A019156,2021JJ00,1046.0
577,A052940,A019156,2022JJ00,1354.0
578,A052940,A019156,2023JJ00,1321.0
579,A052940,A019156,2024JJ00,1487.0
580,A052940,A019158,2021JJ00,223.0
581,A052940,A019158,2022JJ00,212.0
582,A052940,A019158,2023JJ00,209.0
583,A052940,A019158,2024JJ00,215.0
584,A052940,A019163,2021JJ00,337.0
585,A052940,A019163,2022JJ00,472.0
586,A052940,A019163,2023JJ00,508.0
587,A052940,A019163,2024JJ00,542.0
588,A052940,A019164,2021JJ00,320.0
589,A052940,A019164,2022JJ00,452.0
590,A052940,A019164,2023JJ00,486.0
591,A052940,A019164,2024JJ00,519.0
592,A052940,A019165,2021JJ00,17.0
593,A052940,A019165,2022JJ00,20.0
594,A052940,A019165,2023JJ00,23.0
595,A052940,A019165,2024JJ00,23.0
596,A052940,A044427,2021JJ00,133.0
597,A052940,A044427,2022JJ00,123.0
598,A052940,A044427,2023JJ00,176.0
599,A052940,A044427,2024JJ00,214.0
600,A052941,T001103,2021JJ00,13193.0
601,A052941,T001103,2022JJ00,15528.0
602,A052941,T001103,2023JJ00,18220.0
603,A052941,T001103,2024JJ00,21074.0
604,A052941,A019151,2021JJ00,11161.0
605,A052941,A019151,2022JJ00,12787.0
606,A052941,A019151,2023JJ00,14822.0
607,A052941,A019151,2024JJ00,17173.0
608,A052941,A019154,2021JJ00,333.0
609,A052941,A019154,2022JJ00,404.0
610,A052941,A019154,2023JJ00,478.0
611,A052941,A019154,2024JJ00,532.0
612,A052941,A019155,2021JJ00,
613,A052941,A019155,2022JJ00,
614,A052941,A019155,2023JJ00,
615,A052941,A019155,2024JJ00,
616,A052941,A019156,2021JJ00,52.0
617,A052941,A019156,2022JJ00,65.0
618,A052941,A019156,2023JJ00,77.0
619,A052941,A019156,2024JJ00,85.0
620,A052941,A019158,2021JJ00,0.0
621,A052941,A019158,2022JJ00,0.0
622,A052941,A019158,2023JJ00,0.0
623,A052941,A019158,2024JJ00,0.0
624,A052941,A019163,2021JJ00,1472.0
625,A052941,A019163,2022JJ00,2075.0
626,A052941,A019163,2023JJ00,2632.0
627,A052941,A019163,2024JJ00,3043.0
628,A052941,A019164,2021JJ00,1453.0
