ID,KenmerkenInstallaties,Perioden,Aankoop_1,ProductieUitSlibgisting_2,AfleveringExtern_3,Afgefakkeld_4,Afgeblazen_5,Totaal_6,VerbruikVoorProductieAardgasEnLNG_7,VerbruikInGasmotorenWKKInstallaties_8,VerbruikVoorOpwarmingSlibgistingstank_9,OverigVerbruik_10,Aankoop_11,ZelfOpgewektViaWindEnZonneEnergie_12,ZelfOpgewektInWKKInstallaties_13,AfleveringExtern_14,Totaal_15,VerbruikBeluchtingZuiveringsproces_16,VerbruikDoorAfvalwatertransportgemalen_17,VerbruikVoorSlibontwatering_18,OverigVerbruik_19,Aankoop_20,ProductieUitBiogas_21,AfleveringExtern_22,Totaal_23,VerbruikGasmotorenVanWKKInstallaties_24,VerbruikVoorSlibontwatering_25,OverigVerbruik_26,ProductieWarmteInWKKInstallaties_27,VerbruikInZuiveringsproces_28,VerbruikVanHuisbrandolie_29,Totaal_30,Elektriciteit_31,Aardgas_32,Biogas_33,Warmte_34,OverigeBrandstoffen_35
145,A050130   ,2015JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,A050130   ,2016JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,A050130   ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,A050130   ,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,A050130   ,2019JJ00,0.0,3798.0,0.0,1099.0,0.0,2699.0,0.0,2699.0,0.0,0.0,3789.0,40.0,6897.0,451.0,10275.0,3627.0,835.0,800.0,5013.0,51.0,0.0,0.0,51.0,0.0,0.0,51.0,38.0,34.0,0.0,82.0,18.0,2.0,63.0,0.0,0.0
150,A050130   ,2020JJ00,0.0,4098.0,0.0,125.0,0.0,3973.0,0.0,3973.0,0.0,0.0,3384.0,86.0,8452.0,958.0,10963.0,7181.0,899.0,800.0,2084.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,52.0,47.0,0.0,106.0,13.0,0.0,93.0,0.0,0.0
151,A050130   ,2021JJ00,0.0,4275.0,0.0,189.0,0.0,4086.0,0.0,4086.0,0.0,0.0,3217.0,149.0,8692.0,991.0,11067.0,5923.0,898.0,800.0,3445.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,54.0,48.0,0.0,108.0,12.0,1.0,95.0,0.0,0.0
152,A050130   ,2022JJ00,0.0,4377.0,0.0,152.0,0.0,4225.0,0.0,4225.0,0.0,0.0,2808.0,262.0,8800.0,1114.0,10756.0,6524.0,792.0,800.0,2640.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,56.0,50.0,0.0,109.0,10.0,0.0,98.0,0.0,0.0
153,A050130   ,2023JJ00,0.0,3710.0,0.0,32.0,0.0,3678.0,0.0,3678.0,0.0,0.0,3691.0,252.0,8151.0,618.0,11476.0,5780.0,1031.0,914.0,3752.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,48.0,44.0,0.0,103.0,17.0,0.0,86.0,0.0,0.0
154,A027813   ,2013JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5121.0,0.0,39610.0,33707.0,11024.0,0.0,0.0,11024.0,0.0,19115.0,0.0,0.0,19115.0,15343.0,3771.0,0.0,289.0,289.0,0.0,,,,,,
155,A027813   ,2014JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5063.0,0.0,37635.0,32278.0,10420.0,0.0,0.0,10357.0,63.0,17948.0,0.0,0.0,17948.0,14264.0,3683.0,1.0,282.0,279.0,0.0,,,,,,
156,A027813   ,2015JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5153.0,0.0,37625.0,31443.0,11335.0,0.0,0.0,11269.0,67.0,17794.0,0.0,0.0,17794.0,14098.0,3695.0,0.0,282.0,270.0,0.0,,,,,,
157,A027813   ,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4730.0,0.0,39284.0,32526.0,11488.0,0.0,0.0,11488.0,0.0,18387.0,0.0,0.0,18387.0,14566.0,3821.0,0.0,228.0,225.0,0.0,,,,,,
158,A027813   ,2017JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4635.0,0.0,43857.0,37660.0,10833.0,0.0,0.0,10833.0,0.0,18799.0,0.0,0.0,18799.0,15630.0,3118.0,52.0,240.0,240.0,0.0,,,,,,
