ID,Feedstocks,Destination,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromCrudeOil_3,ProductionFromOtherSources_4,Imports_5,Exports_6,StockChange_7,TotalConsumption_8,Processing_9,FinalConsumption_10,OpeningStock_11,ClosingStock_12,StockChange_13
413,a,b,2001MM10,5160.0,128.0,,,4345.0,6.0,693.0,5160.0,5160.0,,4377.0,3684.0,693.0
414,a,b,2001MM11,5250.0,140.0,,,4891.0,1.0,220.0,5250.0,5250.0,,3684.0,3465.0,220.0
415,a,b,2001MM12,5020.0,453.0,,,5371.0,192.0,-612.0,5020.0,5020.0,,3465.0,4076.0,-612.0
416,a,b,2001KW04,15430.0,721.0,,,14608.0,199.0,300.0,15430.0,15430.0,,4377.0,4076.0,300.0
417,a,b,2001JJ00,62135.0,2264.0,,,60810.0,355.0,-584.0,62135.0,62135.0,,3492.0,4076.0,-584.0
418,a,b,2002MM01,5090.0,275.0,,,4507.0,84.0,392.0,5090.0,5090.0,,4076.0,3684.0,392.0
419,a,b,2002MM02,5013.0,256.0,,,5070.0,114.0,-199.0,5013.0,5013.0,,3684.0,3883.0,-199.0
420,a,b,2002MM03,5441.0,279.0,,,5320.0,57.0,-101.0,5441.0,5441.0,,3883.0,3985.0,-101.0
421,a,b,2002KW01,15544.0,810.0,,,14896.0,255.0,92.0,15544.0,15544.0,,4076.0,3985.0,92.0
422,a,b,2002MM04,4232.0,269.0,,,3792.0,105.0,276.0,4232.0,4232.0,,3985.0,3709.0,276.0
423,a,b,2002MM05,4650.0,273.0,,,4913.0,93.0,-443.0,4650.0,4650.0,,3709.0,4151.0,-443.0
424,a,b,2002MM06,4564.0,237.0,,,4427.0,33.0,-67.0,4564.0,4564.0,,4151.0,4218.0,-67.0
425,a,b,2002KW02,13445.0,779.0,,,13131.0,231.0,-234.0,13445.0,13445.0,,3985.0,4218.0,-234.0
426,a,b,2002MM07,4564.0,203.0,,,3934.0,33.0,459.0,4564.0,4564.0,,4218.0,3759.0,459.0
427,a,b,2002MM08,4759.0,232.0,,,5194.0,114.0,-553.0,4759.0,4759.0,,3759.0,4312.0,-553.0
428,a,b,2002MM09,4749.0,269.0,,,4277.0,52.0,254.0,4749.0,4749.0,,4312.0,4058.0,254.0
429,a,b,2002KW03,14071.0,704.0,,,13405.0,198.0,160.0,14071.0,14071.0,,4218.0,4058.0,160.0
430,a,b,2002MM10,4663.0,273.0,,,4316.0,106.0,180.0,4663.0,4663.0,,4058.0,3878.0,180.0
431,a,b,2002MM11,4746.0,266.0,,,4444.0,32.0,68.0,4746.0,4746.0,,3878.0,3810.0,68.0
