ID,BedrijfstakkenBranchesSBI2008,Aardgas,Elektriciteit,Perioden,Adressen_1,GeleverdAardgas_2,GeleverdeElektriciteit_3
171,T001081,A049754,T001604,2021JJ00,17635.0,721500.0,6435600.0
172,T001081,A049754,T001604,2022JJ00,14805.0,603200.0,6212900.0
173,T001081,A049754,T001604,2023JJ00,13375.0,547500.0,5371200.0
174,T001081,A049754,T001604,2024JJ00,11485.0,465700.0,4350600.0
175,T001081,A049754,A049761,2018JJ00,345.0,13400.0,1700.0
176,T001081,A049754,A049761,2019JJ00,290.0,11600.0,1400.0
177,T001081,A049754,A049761,2020JJ00,245.0,9800.0,1100.0
178,T001081,A049754,A049761,2021JJ00,265.0,10700.0,1200.0
179,T001081,A049754,A049761,2022JJ00,210.0,8300.0,
180,T001081,A049754,A049761,2023JJ00,195.0,7800.0,900.0
181,T001081,A049754,A049761,2024JJ00,170.0,6900.0,700.0
182,T001081,A049754,A049762,2018JJ00,1910.0,69700.0,59300.0
183,T001081,A049754,A049762,2019JJ00,1730.0,,54200.0
184,T001081,A049754,A049762,2020JJ00,1515.0,54300.0,48600.0
185,T001081,A049754,A049762,2021JJ00,2075.0,73400.0,67100.0
186,T001081,A049754,A049762,2022JJ00,1360.0,48600.0,
187,T001081,A049754,A049762,2023JJ00,1090.0,39500.0,35400.0
188,T001081,A049754,A049762,2024JJ00,825.0,30300.0,26100.0
189,T001081,A049754,A049763,2018JJ00,2795.0,100400.0,209400.0
190,T001081,A049754,A049763,2019JJ00,2710.0,97900.0,203000.0
191,T001081,A049754,A049763,2020JJ00,2375.0,84600.0,177600.0
192,T001081,A049754,A049763,2021JJ00,3110.0,111700.0,231000.0
193,T001081,A049754,A049763,2022JJ00,2175.0,77200.0,
194,T001081,A049754,A049763,2023JJ00,1825.0,64500.0,137700.0
195,T001081,A049754,A049763,2024JJ00,1290.0,45200.0,97300.0
196,T001081,A049754,A049764,2018JJ00,4070.0,160600.0,591700.0
197,T001081,A049754,A049764,2019JJ00,4115.0,,597400.0
198,T001081,A049754,A049764,2020JJ00,3770.0,148300.0,546400.0
199,T001081,A049754,A049764,2021JJ00,4140.0,167400.0,599900.0
200,T001081,A049754,A049764,2022JJ00,3335.0,131000.0,
201,T001081,A049754,A049764,2023JJ00,3005.0,117000.0,439500.0
202,T001081,A049754,A049764,2024JJ00,2480.0,93500.0,366100.0
203,T001081,A049754,A049765,2018JJ00,6485.0,293900.0,3832100.0
204,T001081,A049754,A049765,2019JJ00,6260.0,284400.0,3674800.0
205,T001081,A049754,A049765,2020JJ00,5710.0,258900.0,3418700.0
206,T001081,A049754,A049765,2021JJ00,5460.0,250600.0,3190400.0
207,T001081,A049754,A049765,2022JJ00,5540.0,248500.0,
208,T001081,A049754,A049765,2023JJ00,5220.0,234800.0,3205300.0
209,T001081,A049754,A049765,2024JJ00,5005.0,220000.0,3222700.0
210,T001081,A049754,A049766,2018JJ00,25.0,1200.0,898700.0
211,T001081,A049754,A049766,2019JJ00,20.0,900.0,420900.0
212,T001081,A049754,A049766,2020JJ00,15.0,600.0,213400.0
213,T001081,A049754,A049766,2021JJ00,15.0,800.0,2345900.0
214,T001081,A049754,A049766,2022JJ00,10.0,500.0,
215,T001081,A049754,A049766,2023JJ00,20.0,1000.0,1552300.0
216,T001081,A049754,A049766,2024JJ00,15.0,700.0,637700.0
217,T001081,A049754,A049767,2018JJ00,3070.0,127000.0,
218,T001081,A049754,A049767,2019JJ00,2670.0,111000.0,
219,T001081,A049754,A049767,2020JJ00,2335.0,96100.0,
220,T001081,A049754,A049767,2021JJ00,2565.0,107000.0,
221,T001081,A049754,A049767,2022JJ00,2165.0,89100.0,
222,T001081,A049754,A049767,2023JJ00,2020.0,82800.0,
223,T001081,A049754,A049767,2024JJ00,1700.0,69000.0,
224,T001081,A049755,T001604,2018JJ00,5635.0,622600.0,3526400.0
225,T001081,A049755,T001604,2019JJ00,5540.0,614800.0,3718500.0
226,T001081,A049755,T001604,2020JJ00,4975.0,547700.0,3682200.0
227,T001081,A049755,T001604,2021JJ00,5595.0,623200.0,3847500.0
228,T001081,A049755,T001604,2022JJ00,4525.0,498100.0,3574000.0
229,T001081,A049755,T001604,2023JJ00,3975.0,440300.0,2706200.0
230,T001081,A049755,T001604,2024JJ00,3145.0,350100.0,2414000.0
231,T001081,A049755,A049761,2018JJ00,80.0,,300.0
232,T001081,A049755,A049761,2019JJ00,75.0,8400.0,300.0
233,T001081,A049755,A049761,2020JJ00,60.0,6700.0,200.0
234,T001081,A049755,A049761,2021JJ00,70.0,7700.0,300.0
235,T001081,A049755,A049761,2022JJ00,65.0,7100.0,
236,T001081,A049755,A049761,2023JJ00,50.0,5500.0,200.0
237,T001081,A049755,A049761,2024JJ00,40.0,4600.0,200.0
238,T001081,A049755,A049762,2018JJ00,255.0,28500.0,8000.0
239,T001081,A049755,A049762,2019JJ00,230.0,25200.0,7200.0
240,T001081,A049755,A049762,2020JJ00,225.0,24500.0,7000.0
241,T001081,A049755,A049762,2021JJ00,290.0,31700.0,9200.0
242,T001081,A049755,A049762,2022JJ00,195.0,21300.0,
243,T001081,A049755,A049762,2023JJ00,175.0,19700.0,5400.0
244,T001081,A049755,A049762,2024JJ00,145.0,15900.0,4600.0
245,T001081,A049755,A049763,2018JJ00,295.0,32100.0,21100.0
246,T001081,A049755,A049763,2019JJ00,260.0,29200.0,19100.0
247,T001081,A049755,A049763,2020JJ00,215.0,23100.0,15200.0
248,T001081,A049755,A049763,2021JJ00,245.0,26600.0,18300.0
249,T001081,A049755,A049763,2022JJ00,200.0,22400.0,
250,T001081,A049755,A049763,2023JJ00,165.0,18500.0,12000.0
251,T001081,A049755,A049763,2024JJ00,125.0,14700.0,9000.0
252,T001081,A049755,A049764,2018JJ00,490.0,,74000.0
253,T001081,A049755,A049764,2019JJ00,485.0,50800.0,72900.0
254,T001081,A049755,A049764,2020JJ00,475.0,48700.0,72400.0
255,T001081,A049755,A049764,2021JJ00,590.0,60200.0,90200.0
256,T001081,A049755,A049764,2022JJ00,405.0,41600.0,61900.0
257,T001081,A049755,A049764,2023JJ00,330.0,33900.0,51400.0
258,T001081,A049755,A049764,2024JJ00,230.0,24200.0,34800.0
259,T001081,A049755,A049765,2018JJ00,3550.0,395600.0,2937700.0
260,T001081,A049755,A049765,2019JJ00,3570.0,397900.0,2984100.0
261,T001081,A049755,A049765,2020JJ00,3190.0,354700.0,2671500.0
262,T001081,A049755,A049765,2021JJ00,3545.0,400600.0,2829700.0
263,T001081,A049755,A049765,2022JJ00,2975.0,330500.0,2549000.0
264,T001081,A049755,A049765,2023JJ00,2640.0,294800.0,2313400.0
265,T001081,A049755,A049765,2024JJ00,2120.0,236100.0,1924800.0
266,T001081,A049755,A049766,2018JJ00,15.0,1600.0,485200.0
267,T001081,A049755,A049766,2019JJ00,20.0,2500.0,635000.0
268,T001081,A049755,A049766,2020JJ00,20.0,2400.0,915900.0
269,T001081,A049755,A049766,2021JJ00,20.0,2200.0,899900.0
270,T001081,A049755,A049766,2022JJ00,25.0,2500.0,
271,T001081,A049755,A049766,2023JJ00,15.0,1500.0,323700.0
272,T001081,A049755,A049766,2024JJ00,20.0,2300.0,440600.0
273,T001081,A049755,A049767,2018JJ00,955.0,105700.0,
274,T001081,A049755,A049767,2019JJ00,895.0,100800.0,
275,T001081,A049755,A049767,2020JJ00,795.0,87600.0,
276,T001081,A049755,A049767,2021JJ00,835.0,94400.0,
277,T001081,A049755,A049767,2022JJ00,655.0,72500.0,
278,T001081,A049755,A049767,2023JJ00,600.0,66400.0,
279,T001081,A049755,A049767,2024JJ00,465.0,52300.0,
280,T001081,A049756,T001604,2018JJ00,4085.0,1549500.0,6251200.0
281,T001081,A049756,T001604,2019JJ00,3765.0,1449200.0,6447300.0
282,T001081,A049756,T001604,2020JJ00,3505.0,1339600.0,5830500.0
283,T001081,A049756,T001604,2021JJ00,3795.0,1430100.0,5873500.0
284,T001081,A049756,T001604,2022JJ00,3160.0,1223600.0,5547900.0
285,T001081,A049756,T001604,2023JJ00,2950.0,1149000.0,5343100.0
286,T001081,A049756,T001604,2024JJ00,2725.0,1073000.0,5085200.0
287,T001081,A049756,A049761,2018JJ00,65.0,25200.0,300.0
288,T001081,A049756,A049761,2019JJ00,60.0,23600.0,300.0
289,T001081,A049756,A049761,2020JJ00,40.0,15800.0,200.0
290,T001081,A049756,A049761,2021JJ00,55.0,,200.0
291,T001081,A049756,A049761,2022JJ00,35.0,,
292,T001081,A049756,A049761,2023JJ00,40.0,,100.0
293,T001081,A049756,A049761,2024JJ00,30.0,,100.0
294,T001081,A049756,A049762,2018JJ00,105.0,32000.0,3200.0
295,T001081,A049756,A049762,2019JJ00,100.0,32000.0,2900.0
296,T001081,A049756,A049762,2020JJ00,80.0,26800.0,2400.0
297,T001081,A049756,A049762,2021JJ00,100.0,,
298,T001081,A049756,A049762,2022JJ00,75.0,,2300.0
299,T001081,A049756,A049762,2023JJ00,80.0,,2500.0
300,T001081,A049756,A049762,2024JJ00,60.0,,2000.0
301,T001081,A049756,A049763,2018JJ00,235.0,74900.0,17900.0
302,T001081,A049756,A049763,2019JJ00,190.0,61900.0,14400.0
303,T001081,A049756,A049763,2020JJ00,165.0,54500.0,12700.0
304,T001081,A049756,A049763,2021JJ00,200.0,,
305,T001081,A049756,A049763,2022JJ00,135.0,43700.0,10400.0
306,T001081,A049756,A049763,2023JJ00,130.0,43100.0,9700.0
307,T001081,A049756,A049763,2024JJ00,130.0,45300.0,10000.0
308,T001081,A049756,A049764,2018JJ00,335.0,148100.0,48700.0
309,T001081,A049756,A049764,2019JJ00,325.0,140500.0,46600.0
310,T001081,A049756,A049764,2020JJ00,310.0,124900.0,44000.0
311,T001081,A049756,A049764,2021JJ00,325.0,135700.0,46700.0
312,T001081,A049756,A049764,2022JJ00,255.0,106900.0,
313,T001081,A049756,A049764,2023JJ00,230.0,96000.0,33700.0
314,T001081,A049756,A049764,2024JJ00,210.0,88300.0,30700.0
315,T001081,A049756,A049765,2018JJ00,2605.0,974800.0,4464900.0
316,T001081,A049756,A049765,2019JJ00,2425.0,916100.0,4385300.0
317,T001081,A049756,A049765,2020JJ00,2290.0,862000.0,4077200.0
318,T001081,A049756,A049765,2021JJ00,2450.0,914400.0,4160900.0
319,T001081,A049756,A049765,2022JJ00,2080.0,802200.0,3823000.0
320,T001081,A049756,A049765,2023JJ00,1915.0,736900.0,3582700.0
321,T001081,A049756,A049765,2024JJ00,1800.0,700100.0,3432600.0
322,T001081,A049756,A049766,2018JJ00,85.0,46500.0,1716100.0
323,T001081,A049756,A049766,2019JJ00,85.0,48300.0,1997700.0
324,T001081,A049756,A049766,2020JJ00,85.0,45400.0,1693900.0
325,T001081,A049756,A049766,2021JJ00,80.0,43900.0,
326,T001081,A049756,A049766,2022JJ00,80.0,43600.0,
327,T001081,A049756,A049766,2023JJ00,80.0,44800.0,1714400.0
328,T001081,A049756,A049766,2024JJ00,75.0,42600.0,1609900.0
329,T001081,A049756,A049767,2018JJ00,655.0,248100.0,
330,T001081,A049756,A049767,2019JJ00,580.0,226900.0,
331,T001081,A049756,A049767,2020JJ00,535.0,210100.0,
332,T001081,A049756,A049767,2021JJ00,590.0,222100.0,
333,T001081,A049756,A049767,2022JJ00,490.0,188100.0,
334,T001081,A049756,A049767,2023JJ00,480.0,190100.0,
335,T001081,A049756,A049767,2024JJ00,415.0,166100.0,
336,T001081,A049757,T001604,2018JJ00,1685.0,4673000.0,10196800.0
337,T001081,A049757,T001604,2019JJ00,1600.0,4479300.0,10255800.0
338,T001081,A049757,T001604,2020JJ00,1535.0,4343200.0,9943800.0
339,T001081,A049757,T001604,2021JJ00,1630.0,4651500.0,9502200.0
340,T001081,A049757,T001604,2022JJ00,1395.0,3722400.0,7705700.0
341,T001081,A049757,T001604,2023JJ00,1395.0,3838300.0,7368600.0
342,T001081,A049757,T001604,2024JJ00,1415.0,3979300.0,7016700.0
343,T001081,A049757,A049761,2018JJ00,25.0,,100.0
344,T001081,A049757,A049761,2019JJ00,25.0,76800.0,100.0
345,T001081,A049757,A049761,2020JJ00,25.0,,
346,T001081,A049757,A049761,2021JJ00,20.0,,100.0
347,T001081,A049757,A049761,2022JJ00,20.0,,
348,T001081,A049757,A049761,2023JJ00,20.0,,
349,T001081,A049757,A049761,2024JJ00,20.0,,
350,T001081,A049757,A049762,2018JJ00,20.0,,
351,T001081,A049757,A049762,2019JJ00,20.0,57300.0,
352,T001081,A049757,A049762,2020JJ00,20.0,60800.0,400.0
353,T001081,A049757,A049762,2021JJ00,25.0,,600.0
354,T001081,A049757,A049762,2022JJ00,20.0,,
355,T001081,A049757,A049762,2023JJ00,15.0,,
356,T001081,A049757,A049762,2024JJ00,20.0,,
357,T001081,A049757,A049763,2018JJ00,25.0,45500.0,2000.0
358,T001081,A049757,A049763,2019JJ00,35.0,75700.0,
359,T001081,A049757,A049763,2020JJ00,20.0,,
360,T001081,A049757,A049763,2021JJ00,35.0,92300.0,2900.0
361,T001081,A049757,A049763,2022JJ00,15.0,43700.0,
362,T001081,A049757,A049763,2023JJ00,15.0,31700.0,1200.0
363,T001081,A049757,A049763,2024JJ00,25.0,68900.0,2000.0
364,T001081,A049757,A049764,2018JJ00,135.0,,
365,T001081,A049757,A049764,2019JJ00,140.0,306000.0,
366,T001081,A049757,A049764,2020JJ00,140.0,,
367,T001081,A049757,A049764,2021JJ00,165.0,368600.0,24600.0
368,T001081,A049757,A049764,2022JJ00,90.0,,
369,T001081,A049757,A049764,2023JJ00,115.0,,
370,T001081,A049757,A049764,2024JJ00,110.0,,
371,T001081,A049757,A049765,2018JJ00,980.0,2562200.0,2633000.0
372,T001081,A049757,A049765,2019JJ00,890.0,2333700.0,2412300.0
373,T001081,A049757,A049765,2020JJ00,860.0,2256600.0,2228700.0
374,T001081,A049757,A049765,2021JJ00,900.0,2412400.0,2354500.0
375,T001081,A049757,A049765,2022JJ00,810.0,1974600.0,1980600.0
376,T001081,A049757,A049765,2023JJ00,800.0,2058800.0,1969700.0
377,T001081,A049757,A049765,2024JJ00,805.0,2116000.0,1926400.0
378,T001081,A049757,A049766,2018JJ00,240.0,892300.0,7540400.0
379,T001081,A049757,A049766,2019JJ00,235.0,884000.0,7818500.0
380,T001081,A049757,A049766,2020JJ00,230.0,864900.0,7692000.0
381,T001081,A049757,A049766,2021JJ00,220.0,819700.0,7119500.0
382,T001081,A049757,A049766,2022JJ00,205.0,750100.0,5709200.0
383,T001081,A049757,A049766,2023JJ00,195.0,716200.0,5379500.0
384,T001081,A049757,A049766,2024JJ00,185.0,694100.0,5070900.0
385,T001081,A049757,A049767,2018JJ00,260.0,752200.0,
386,T001081,A049757,A049767,2019JJ00,250.0,745800.0,
