ID,Geslacht,LeeftijdOp31December,Onderwijsniveau,Marges,Perioden,Levensverwachting_1,Sterftekans_2,LevensverwInAlsGoedErvarenGezondh_3,LevensverwZonderLichBeperkingen_4,LevensverwZonderChronischeZiektes_5,LevensverwInGoedeGeestelijkeGezondh_6
197,T001038 ,13000,2018700,MBG0095,2015G400,50.8,,31.8,38.2,17.0,42.5
198,T001038 ,13000,2018740,MW00000,2011G400,52.9,0.0005,38.6,44.0,20.6,47.8
199,T001038 ,13000,2018740,MW00000,2013G400,53.0,0.0005,38.8,44.1,20.5,47.8
200,T001038 ,13000,2018740,MW00000,2015G400,53.3,0.0005,38.6,44.7,20.2,47.9
201,T001038 ,13000,2018740,MOG0095,2011G400,52.7,,38.1,43.4,20.0,47.4
202,T001038 ,13000,2018740,MOG0095,2013G400,52.8,,38.3,43.5,19.9,47.4
203,T001038 ,13000,2018740,MOG0095,2015G400,53.1,,38.1,44.2,19.7,47.5
204,T001038 ,13000,2018740,MBG0095,2011G400,53.1,,39.1,44.5,21.1,48.3
205,T001038 ,13000,2018740,MBG0095,2013G400,53.1,,39.3,44.6,21.0,48.2
206,T001038 ,13000,2018740,MBG0095,2015G400,53.5,,39.2,45.2,20.7,48.3
207,T001038 ,13000,2018790,MW00000,2011G400,54.9,0.0002,43.9,48.0,24.7,50.9
208,T001038 ,13000,2018790,MW00000,2013G400,55.4,0.0002,44.0,48.7,25.0,51.2
209,T001038 ,13000,2018790,MW00000,2015G400,56.1,0.0002,44.3,50.0,24.6,51.6
210,T001038 ,13000,2018790,MOG0095,2011G400,54.6,,43.2,47.3,24.0,50.4
211,T001038 ,13000,2018790,MOG0095,2013G400,55.1,,43.3,47.9,24.2,50.7
212,T001038 ,13000,2018790,MOG0095,2015G400,55.8,,43.5,49.3,23.9,51.1
213,T001038 ,13000,2018790,MBG0095,2011G400,55.2,,44.6,48.8,25.5,51.4
214,T001038 ,13000,2018790,MBG0095,2013G400,55.6,,44.7,49.4,25.7,51.7
215,T001038 ,13000,2018790,MBG0095,2015G400,56.4,,45.0,50.7,25.3,52.1
216,T001038 ,13500,2018700,MW00000,2011G400,46.3,0.0008,28.5,34.2,15.9,39.5
217,T001038 ,13500,2018700,MW00000,2013G400,46.2,0.0009,28.3,33.4,15.0,38.8
218,T001038 ,13500,2018700,MW00000,2015G400,45.8,0.0012,27.8,33.4,13.9,38.1
219,T001038 ,13500,2018700,MOG0095,2011G400,46.1,,28.1,33.7,15.4,39.0
220,T001038 ,13500,2018700,MOG0095,2013G400,46.0,,27.7,32.9,14.5,38.3
221,T001038 ,13500,2018700,MOG0095,2015G400,45.6,,27.2,32.9,13.4,37.7
222,T001038 ,13500,2018700,MBG0095,2011G400,46.4,,29.0,34.7,16.5,40.0
223,T001038 ,13500,2018700,MBG0095,2013G400,46.4,,28.8,33.9,15.6,39.3
224,T001038 ,13500,2018700,MBG0095,2015G400,45.9,,28.3,33.9,14.5,38.6
225,T001038 ,13500,2018740,MW00000,2011G400,48.0,0.0007,34.4,39.3,17.4,43.4
226,T001038 ,13500,2018740,MW00000,2013G400,48.1,0.0006,34.6,39.4,17.3,43.4
227,T001038 ,13500,2018740,MW00000,2015G400,48.4,0.0005,34.5,40.1,17.1,43.6
228,T001038 ,13500,2018740,MOG0095,2011G400,47.8,,33.9,38.8,16.8,43.0
229,T001038 ,13500,2018740,MOG0095,2013G400,47.9,,34.1,38.9,16.8,43.0
230,T001038 ,13500,2018740,MOG0095,2015G400,48.2,,34.0,39.6,16.6,43.2
231,T001038 ,13500,2018740,MBG0095,2011G400,48.2,,34.9,39.9,17.9,43.8
232,T001038 ,13500,2018740,MBG0095,2013G400,48.3,,35.1,39.9,17.7,43.8
233,T001038 ,13500,2018740,MBG0095,2015G400,48.6,,35.1,40.6,17.5,44.0
234,T001038 ,13500,2018790,MW00000,2011G400,50.0,0.0004,39.3,43.2,21.3,46.4
