ID,Bedrijfstakken,Perioden,Wegingscoefficient_1,Prijsindexcijfer_2,Wegingscoefficient_3,Prijsindexcijfer_4,Wegingscoefficient_5,Prijsindexcijfer_6,Wegingscoefficient_7,Prijsindexcijfer_8,Wegingscoefficient_9,Prijsindexcijfer_10,Wegingscoefficient_11,Prijsindexcijfer_12,Wegingscoefficient_13,Prijsindexcijfer_14,Wegingscoefficient_15,Prijsindexcijfer_16,Wegingscoefficient_17,Prijsindexcijfer_18,Wegingscoefficient_19,Prijsindexcijfer_20,Wegingscoefficient_21,Prijsindexcijfer_22,Wegingscoefficient_23,Prijsindexcijfer_24,Wegingscoefficient_25,Prijsindexcijfer_26
108,C  0,1998MM04,100000.0,106.0,60854.0,102,,,,,,,39146.0,111.0,100000.0,109.0,27460.0,107.0,,,,,21513.0,106.0,5947.0,115.0,72540.0,110.0
109,C  0,1998MM05,100000.0,107.0,60854.0,102,,,,,,,39146.0,115.0,100000.0,107.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,107.0
110,C  0,1998MM06,100000.0,109.0,60854.0,102,,,,,,,39146.0,121.0,100000.0,109.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,109.0
111,C  0,1998MM07,100000.0,102.0,60854.0,98,,,,,,,39146.0,110.0,100000.0,106.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,106.0
112,C  0,1998MM08,100000.0,103.0,60854.0,98,,,,,,,39146.0,112.0,100000.0,107.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,107.0
113,C  0,1998MM09,100000.0,101.0,60854.0,98,,,,,,,39146.0,105.0,100000.0,102.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,115.0,72540.0,100.0
114,C  0,1998MM10,100000.0,94.0,60854.0,96,,,,,,,39146.0,90.0,100000.0,101.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,117.0,72540.0,99.0
115,C  0,1998MM11,100000.0,90.0,60854.0,95,,,,,,,39146.0,82.0,100000.0,101.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,117.0,72540.0,98.0
116,C  0,1998MM12,100000.0,88.0,60854.0,95,,,,,,,39146.0,78.0,100000.0,100.0,27460.0,107.0,,,,,21513.0,105.0,5947.0,117.0,72540.0,98.0
117,CA 0,1990JJ00,6501.0,100.0,4059.0,100,,,,,,,2442.0,100.0,,,,,,,,,,,,,,
118,CA 0,1990MM01,6501.0,100.0,4059.0,103,,,,,,,2442.0,95.0,,,,,,,,,,,,,,
119,CA 0,1990MM02,6501.0,101.0,4059.0,102,,,,,,,2442.0,99.0,,,,,,,,,,,,,,
120,CA 0,1990MM03,6501.0,100.0,4059.0,101,,,,,,,2442.0,99.0,,,,,,,,,,,,,,
121,CA 0,1990MM04,6501.0,102.0,4059.0,101,,,,,,,2442.0,104.0,,,,,,,,,,,,,,
122,CA 0,1990MM05,6501.0,103.0,4059.0,101,,,,,,,2442.0,106.0,,,,,,,,,,,,,,
123,CA 0,1990MM06,6501.0,105.0,4059.0,101,,,,,,,2442.0,112.0,,,,,,,,,,,,,,
124,CA 0,1990MM07,6501.0,100.0,4059.0,95,,,,,,,2442.0,107.0,,,,,,,,,,,,,,
125,CA 0,1990MM08,6501.0,102.0,4059.0,98,,,,,,,2442.0,108.0,,,,,,,,,,,,,,
126,CA 0,1990MM09,6501.0,97.0,4059.0,100,,,,,,,2442.0,93.0,,,,,,,,,,,,,,
127,CA 0,1990MM10,6501.0,97.0,4059.0,101,,,,,,,2442.0,91.0,,,,,,,,,,,,,,
128,CA 0,1990MM11,6501.0,97.0,4059.0,99,,,,,,,2442.0,92.0,,,,,,,,,,,,,,
129,CA 0,1990MM12,6501.0,97.0,4059.0,99,,,,,,,2442.0,95.0,,,,,,,,,,,,,,
130,CA 0,1991JJ00,6501.0,109.0,4059.0,105,,,,,,,2442.0,116.0,,,,,,,,,,,,,,
131,CA 0,1991MM01,6501.0,109.0,4059.0,111,,,,,,,2442.0,105.0,,,,,,,,,,,,,,
132,CA 0,1991MM02,6501.0,110.0,4059.0,109,,,,,,,2442.0,112.0,,,,,,,,,,,,,,
133,CA 0,1991MM03,6501.0,112.0,4059.0,108,,,,,,,2442.0,118.0,,,,,,,,,,,,,,
134,CA 0,1991MM04,6501.0,114.0,4059.0,107,,,,,,,2442.0,126.0,,,,,,,,,,,,,,
135,CA 0,1991MM05,6501.0,116.0,4059.0,107,,,,,,,2442.0,129.0,,,,,,,,,,,,,,
136,CA 0,1991MM06,6501.0,116.0,4059.0,107,,,,,,,2442.0,131.0,,,,,,,,,,,,,,
137,CA 0,1991MM07,6501.0,109.0,4059.0,102,,,,,,,2442.0,121.0,,,,,,,,,,,,,,
138,CA 0,1991MM08,6501.0,110.0,4059.0,102,,,,,,,2442.0,124.0,,,,,,,,,,,,,,
139,CA 0,1991MM09,6501.0,111.0,4059.0,102,,,,,,,2442.0,126.0,,,,,,,,,,,,,,
140,CA 0,1991MM10,6501.0,103.0,4059.0,101,,,,,,,2442.0,106.0,,,,,,,,,,,,,,
141,CA 0,1991MM11,6501.0,99.0,4059.0,101,,,,,,,2442.0,96.0,,,,,,,,,,,,,,
142,CA 0,1991MM12,6501.0,97.0,4059.0,100,,,,,,,2442.0,93.0,,,,,,,,,,,,,,
