ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
319,A052790,A019154,2024JJ00,24497.0
320,A052790,A019155,2021JJ00,
321,A052790,A019155,2022JJ00,
322,A052790,A019155,2023JJ00,
323,A052790,A019155,2024JJ00,
324,A052790,A019156,2021JJ00,4775.0
325,A052790,A019156,2022JJ00,4512.0
326,A052790,A019156,2023JJ00,4718.0
327,A052790,A019156,2024JJ00,4951.0
328,A052790,A041720,2021JJ00,1771.0
329,A052790,A041720,2022JJ00,1870.0
330,A052790,A041720,2023JJ00,1942.0
331,A052790,A041720,2024JJ00,2043.0
332,A052790,A019157,2021JJ00,25.0
333,A052790,A019157,2022JJ00,24.0
334,A052790,A019157,2023JJ00,24.0
335,A052790,A019157,2024JJ00,25.0
336,A052790,A019158,2021JJ00,25.0
337,A052790,A019158,2022JJ00,24.0
338,A052790,A019158,2023JJ00,24.0
339,A052790,A019158,2024JJ00,25.0
340,A052790,A019161,2021JJ00,0.0
341,A052790,A019161,2022JJ00,0.0
342,A052790,A019161,2023JJ00,0.0
343,A052790,A019161,2024JJ00,0.0
344,A052790,A019162,2021JJ00,0.0
345,A052790,A019162,2022JJ00,0.0
346,A052790,A019162,2023JJ00,0.0
347,A052790,A019162,2024JJ00,0.0
348,A052790,A019163,2021JJ00,1747.0
349,A052790,A019163,2022JJ00,1846.0
350,A052790,A019163,2023JJ00,1918.0
351,A052790,A019163,2024JJ00,2018.0
352,A052790,A019164,2021JJ00,30.0
353,A052790,A019164,2022JJ00,31.0
354,A052790,A019164,2023JJ00,32.0
355,A052790,A019164,2024JJ00,34.0
356,A052790,A019165,2021JJ00,1717.0
357,A052790,A019165,2022JJ00,1815.0
358,A052790,A019165,2023JJ00,1886.0
359,A052790,A019165,2024JJ00,1984.0
360,A052791,A019149,2021JJ00,19206.0
361,A052791,A019149,2022JJ00,19502.0
362,A052791,A019149,2023JJ00,20983.0
363,A052791,A019149,2024JJ00,22989.0
364,A052791,A019150,2021JJ00,17849.0
365,A052791,A019150,2022JJ00,18070.0
366,A052791,A019150,2023JJ00,19494.0
367,A052791,A019150,2024JJ00,21426.0
368,A052791,A019151,2021JJ00,512.0
369,A052791,A019151,2022JJ00,288.0
370,A052791,A019151,2023JJ00,257.0
371,A052791,A019151,2024JJ00,279.0
372,A052791,A019152,2021JJ00,17336.0
373,A052791,A019152,2022JJ00,17782.0
374,A052791,A019152,2023JJ00,19237.0
375,A052791,A019152,2024JJ00,21147.0
376,A052791,A019154,2021JJ00,12869.0
377,A052791,A019154,2022JJ00,13579.0
378,A052791,A019154,2023JJ00,14862.0
379,A052791,A019154,2024JJ00,16573.0
380,A052791,A019155,2021JJ00,
381,A052791,A019155,2022JJ00,
382,A052791,A019155,2023JJ00,
383,A052791,A019155,2024JJ00,
384,A052791,A019156,2021JJ00,4468.0
385,A052791,A019156,2022JJ00,4203.0
386,A052791,A019156,2023JJ00,4375.0
387,A052791,A019156,2024JJ00,4574.0
388,A052791,A041720,2021JJ00,1357.0
389,A052791,A041720,2022JJ00,1432.0
390,A052791,A041720,2023JJ00,1489.0
391,A052791,A041720,2024JJ00,1564.0
392,A052791,A019157,2021JJ00,25.0
393,A052791,A019157,2022JJ00,24.0
394,A052791,A019157,2023JJ00,24.0
395,A052791,A019157,2024JJ00,25.0
396,A052791,A019158,2021JJ00,25.0
397,A052791,A019158,2022JJ00,24.0
398,A052791,A019158,2023JJ00,24.0
399,A052791,A019158,2024JJ00,25.0
400,A052791,A019161,2021JJ00,0.0
401,A052791,A019161,2022JJ00,0.0
402,A052791,A019161,2023JJ00,0.0
403,A052791,A019161,2024JJ00,0.0
404,A052791,A019162,2021JJ00,0.0
405,A052791,A019162,2022JJ00,0.0
406,A052791,A019162,2023JJ00,0.0
407,A052791,A019162,2024JJ00,0.0
408,A052791,A019163,2021JJ00,1333.0
409,A052791,A019163,2022JJ00,1407.0
410,A052791,A019163,2023JJ00,1465.0
411,A052791,A019163,2024JJ00,1539.0
412,A052791,A019164,2021JJ00,30.0
413,A052791,A019164,2022JJ00,31.0
414,A052791,A019164,2023JJ00,32.0
415,A052791,A019164,2024JJ00,34.0
416,A052791,A019165,2021JJ00,1303.0
417,A052791,A019165,2022JJ00,1377.0
418,A052791,A019165,2023JJ00,1433.0
419,A052791,A019165,2024JJ00,1505.0
420,A052792,A019149,2021JJ00,7499.0
421,A052792,A019149,2022JJ00,7777.0
422,A052792,A019149,2023JJ00,8331.0
423,A052792,A019149,2024JJ00,9097.0
424,A052792,A019150,2021JJ00,7084.0
425,A052792,A019150,2022JJ00,7338.0
426,A052792,A019150,2023JJ00,7879.0
427,A052792,A019150,2024JJ00,8618.0
428,A052792,A019151,2021JJ00,342.0
429,A052792,A019151,2022JJ00,277.0
430,A052792,A019151,2023JJ00,283.0
431,A052792,A019151,2024JJ00,317.0
432,A052792,A019152,2021JJ00,6742.0
433,A052792,A019152,2022JJ00,7061.0
434,A052792,A019152,2023JJ00,7595.0
435,A052792,A019152,2024JJ00,8301.0
436,A052792,A019154,2021JJ00,6435.0
437,A052792,A019154,2022JJ00,6752.0
438,A052792,A019154,2023JJ00,7253.0
439,A052792,A019154,2024JJ00,7924.0
440,A052792,A019155,2021JJ00,
441,A052792,A019155,2022JJ00,
442,A052792,A019155,2023JJ00,
443,A052792,A019155,2024JJ00,
444,A052792,A019156,2021JJ00,307.0
445,A052792,A019156,2022JJ00,309.0
446,A052792,A019156,2023JJ00,342.0
447,A052792,A019156,2024JJ00,377.0
448,A052792,A041720,2021JJ00,414.0
449,A052792,A041720,2022JJ00,438.0
450,A052792,A041720,2023JJ00,453.0
451,A052792,A041720,2024JJ00,479.0
452,A052792,A019157,2021JJ00,0.0
453,A052792,A019157,2022JJ00,0.0
454,A052792,A019157,2023JJ00,0.0
455,A052792,A019157,2024JJ00,0.0
456,A052792,A019158,2021JJ00,0.0
457,A052792,A019158,2022JJ00,0.0
458,A052792,A019158,2023JJ00,0.0
459,A052792,A019158,2024JJ00,0.0
460,A052792,A019161,2021JJ00,0.0
461,A052792,A019161,2022JJ00,0.0
462,A052792,A019161,2023JJ00,0.0
463,A052792,A019161,2024JJ00,0.0
464,A052792,A019162,2021JJ00,0.0
465,A052792,A019162,2022JJ00,0.0
466,A052792,A019162,2023JJ00,0.0
467,A052792,A019162,2024JJ00,0.0
468,A052792,A019163,2021JJ00,414.0
469,A052792,A019163,2022JJ00,438.0
470,A052792,A019163,2023JJ00,453.0
471,A052792,A019163,2024JJ00,479.0
472,A052792,A019164,2021JJ00,0.0
473,A052792,A019164,2022JJ00,0.0
474,A052792,A019164,2023JJ00,0.0
475,A052792,A019164,2024JJ00,0.0
476,A052792,A019165,2021JJ00,414.0
477,A052792,A019165,2022JJ00,438.0
478,A052792,A019165,2023JJ00,453.0
479,A052792,A019165,2024JJ00,479.0
480,A052795,A019149,2021JJ00,18230.0
481,A052795,A019149,2022JJ00,19535.0
482,A052795,A019149,2023JJ00,21387.0
483,A052795,A019149,2024JJ00,23133.0
484,A052795,A019150,2021JJ00,11191.0
485,A052795,A019150,2022JJ00,11946.0
486,A052795,A019150,2023JJ00,13007.0
487,A052795,A019150,2024JJ00,14328.0
488,A052795,A019151,2021JJ00,1624.0
489,A052795,A019151,2022JJ00,1766.0
490,A052795,A019151,2023JJ00,1774.0
491,A052795,A019151,2024JJ00,1986.0
492,A052795,A019152,2021JJ00,9567.0
493,A052795,A019152,2022JJ00,10180.0
